unique_id,cell_line,split,ecDNA_gt,density_bin
colo320dm_qpcr_jq1_24h_ctrl_78_a,COLO320DM,train,26,10-49
colo320dm_qpcr_jq1_24h_ctrl_78_b,COLO320DM,train,52,50-149
colo320dm_qpcr_jq1_24h_ctrl_79,COLO320DM,train,10,10-49
colo320dm_qpcr_jq1_24h_ctrl_8,COLO320DM,train,36,10-49
colo320dm_qpcr_jq1_24h_ctrl_81,COLO320DM,train,59,50-149
colo320dm_qpcr_jq1_24h_ctrl_82,COLO320DM,train,30,10-49
colo320dm_qpcr_jq1_24h_ctrl_87_b,COLO320DM,train,45,10-49
colo320dm_qpcr_jq1_24h_ctrl_88,COLO320DM,train,53,50-149
colo320dm_qpcr_jq1_24h_ctrl_89,COLO320DM,train,15,10-49
colo320dm_qpcr_jq1_24h_ctrl_9,COLO320DM,train,23,10-49
colo320dm_qpcr_jq1_24h_ctrl_90,COLO320DM,train,89,50-149
colo320dm_qpcr_jq1_24h_ctrl_92,COLO320DM,train,55,50-149
colo320dm_qpcr_jq1_24h_ctrl_95,COLO320DM,train,32,10-49
colo320dm_qpcr_jq1_24h_ctrl_97,COLO320DM,train,87,50-149
colo320dm_qpcr_jq1_24h_dmso_104,COLO320DM,train,4,0-9
colo320dm_qpcr_jq1_24h_dmso_49,COLO320DM,train,1,0-9
colo320dm_qpcr_jq1_24h_dmso_6,COLO320DM,train,4,0-9
ncih2170_antibiotics_blank_ctrl_1,NCI-H2170,train,235,150-299
ncih2170_antibiotics_blank_ctrl_102,NCI-H2170,train,402,300+
ncih2170_antibiotics_blank_ctrl_106,NCI-H2170,train,101,50-149
ncih2170_antibiotics_blank_ctrl_111,NCI-H2170,train,108,50-149
ncih2170_antibiotics_blank_ctrl_114,NCI-H2170,train,154,150-299
ncih2170_antibiotics_blank_ctrl_116,NCI-H2170,train,282,150-299
ncih2170_antibiotics_blank_ctrl_117,NCI-H2170,train,307,300+
ncih2170_antibiotics_blank_ctrl_118,NCI-H2170,train,453,300+
ncih2170_antibiotics_blank_ctrl_12,NCI-H2170,train,122,50-149
ncih2170_antibiotics_blank_ctrl_13,NCI-H2170,train,86,50-149
ncih2170_antibiotics_blank_ctrl_14,NCI-H2170,train,329,300+
ncih2170_antibiotics_blank_ctrl_15,NCI-H2170,train,210,150-299
ncih2170_antibiotics_blank_ctrl_16,NCI-H2170,train,91,50-149
ncih2170_antibiotics_blank_ctrl_17,NCI-H2170,train,604,300+
ncih2170_antibiotics_blank_ctrl_19,NCI-H2170,train,92,50-149
ncih2170_antibiotics_blank_ctrl_2,NCI-H2170,train,373,300+
ncih2170_antibiotics_blank_ctrl_20,NCI-H2170,train,128,50-149
ncih2170_antibiotics_blank_ctrl_21,NCI-H2170,train,224,150-299
ncih2170_antibiotics_blank_ctrl_22,NCI-H2170,train,375,300+
ncih2170_antibiotics_blank_ctrl_24,NCI-H2170,train,153,150-299
ncih2170_antibiotics_blank_ctrl_25,NCI-H2170,train,42,10-49
ncih2170_antibiotics_blank_ctrl_27,NCI-H2170,train,318,300+
ncih2170_antibiotics_blank_ctrl_28,NCI-H2170,train,256,150-299
ncih2170_antibiotics_blank_ctrl_29,NCI-H2170,train,104,50-149
ncih2170_antibiotics_blank_ctrl_30,NCI-H2170,train,339,300+
ncih2170_antibiotics_blank_ctrl_31,NCI-H2170,train,88,50-149
ncih2170_antibiotics_blank_ctrl_32,NCI-H2170,train,138,50-149
ncih2170_antibiotics_blank_ctrl_33,NCI-H2170,train,207,150-299
ncih2170_antibiotics_blank_ctrl_38,NCI-H2170,train,402,300+
ncih2170_antibiotics_blank_ctrl_39,NCI-H2170,train,391,300+
ncih2170_antibiotics_blank_ctrl_41,NCI-H2170,train,76,50-149
ncih2170_antibiotics_blank_ctrl_42,NCI-H2170,train,153,150-299
ncih2170_antibiotics_blank_ctrl_44,NCI-H2170,train,181,150-299
ncih2170_antibiotics_blank_ctrl_48,NCI-H2170,train,71,50-149
ncih2170_antibiotics_blank_ctrl_5,NCI-H2170,train,597,300+
ncih2170_antibiotics_blank_ctrl_50,NCI-H2170,train,197,150-299
ncih2170_antibiotics_blank_ctrl_55,NCI-H2170,train,254,150-299
ncih2170_antibiotics_blank_ctrl_56,NCI-H2170,train,240,150-299
ncih2170_antibiotics_blank_ctrl_57,NCI-H2170,train,214,150-299
ncih2170_antibiotics_blank_ctrl_58,NCI-H2170,train,181,150-299
ncih2170_antibiotics_blank_ctrl_59,NCI-H2170,train,207,150-299
ncih2170_antibiotics_blank_ctrl_60,NCI-H2170,train,314,300+
ncih2170_antibiotics_blank_ctrl_61,NCI-H2170,train,259,150-299
ncih2170_antibiotics_blank_ctrl_62,NCI-H2170,train,299,150-299
ncih2170_antibiotics_blank_ctrl_64,NCI-H2170,train,124,50-149
ncih2170_antibiotics_blank_ctrl_65,NCI-H2170,train,139,50-149
ncih2170_antibiotics_blank_ctrl_66,NCI-H2170,train,329,300+
ncih2170_antibiotics_blank_ctrl_67,NCI-H2170,train,250,150-299
ncih2170_antibiotics_blank_ctrl_69,NCI-H2170,train,335,300+
ncih2170_antibiotics_blank_ctrl_7,NCI-H2170,train,328,300+
ncih2170_antibiotics_blank_ctrl_74,NCI-H2170,train,375,300+
ncih2170_antibiotics_blank_ctrl_75,NCI-H2170,train,133,50-149
ncih2170_antibiotics_blank_ctrl_76,NCI-H2170,train,456,300+
ncih2170_antibiotics_blank_ctrl_77,NCI-H2170,train,261,150-299
ncih2170_antibiotics_blank_ctrl_79,NCI-H2170,train,337,300+
ncih2170_antibiotics_blank_ctrl_80,NCI-H2170,train,146,50-149
ncih2170_antibiotics_blank_ctrl_81,NCI-H2170,train,93,50-149
ncih2170_antibiotics_blank_ctrl_82,NCI-H2170,train,99,50-149
ncih2170_antibiotics_blank_ctrl_86,NCI-H2170,train,287,150-299
ncih2170_antibiotics_blank_ctrl_87,NCI-H2170,train,90,50-149
ncih2170_antibiotics_blank_ctrl_9,NCI-H2170,train,769,300+
ncih2170_antibiotics_blank_ctrl_96,NCI-H2170,train,106,50-149
ncih2170_antibiotics_blank_ctrl_97,NCI-H2170,train,146,50-149
ncih2170_antibiotics_blank_ctrl_98,NCI-H2170,train,219,150-299
ncih2170_antibiotics_ps_10,NCI-H2170,train,160,150-299
ncih2170_antibiotics_ps_106,NCI-H2170,train,122,50-149
ncih2170_antibiotics_ps_107_b,NCI-H2170,train,205,150-299
ncih2170_antibiotics_ps_111,NCI-H2170,train,186,150-299
ncih2170_antibiotics_ps_113_b,NCI-H2170,train,142,50-149
ncih2170_antibiotics_ps_13,NCI-H2170,train,398,300+
ncih2170_antibiotics_ps_14,NCI-H2170,train,65,50-149
ncih2170_antibiotics_ps_16,NCI-H2170,train,236,150-299
ncih2170_antibiotics_ps_17,NCI-H2170,train,197,150-299
ncih2170_antibiotics_ps_18,NCI-H2170,train,132,50-149
ncih2170_antibiotics_ps_19,NCI-H2170,train,201,150-299
ncih2170_antibiotics_ps_20,NCI-H2170,train,69,50-149
ncih2170_antibiotics_ps_21,NCI-H2170,train,70,50-149
ncih2170_antibiotics_ps_22,NCI-H2170,train,95,50-149
ncih2170_antibiotics_ps_23,NCI-H2170,train,115,50-149
ncih2170_antibiotics_ps_24,NCI-H2170,train,133,50-149
ncih2170_antibiotics_ps_28,NCI-H2170,train,121,50-149
ncih2170_antibiotics_ps_29_a,NCI-H2170,train,93,50-149
ncih2170_antibiotics_ps_30,NCI-H2170,train,95,50-149
ncih2170_antibiotics_ps_31,NCI-H2170,train,305,300+
ncih2170_antibiotics_ps_33,NCI-H2170,train,141,50-149
ncih2170_antibiotics_ps_34_b,NCI-H2170,train,76,50-149
ncih2170_antibiotics_ps_35,NCI-H2170,train,96,50-149
ncih2170_antibiotics_ps_37,NCI-H2170,train,81,50-149
ncih2170_antibiotics_ps_38,NCI-H2170,train,354,300+
ncih2170_antibiotics_ps_39,NCI-H2170,train,131,50-149
ncih2170_antibiotics_ps_40,NCI-H2170,train,75,50-149
ncih2170_antibiotics_ps_41,NCI-H2170,train,150,150-299
ncih2170_antibiotics_ps_42,NCI-H2170,train,96,50-149
ncih2170_antibiotics_ps_43,NCI-H2170,train,63,50-149
ncih2170_antibiotics_ps_44,NCI-H2170,train,829,300+
ncih2170_antibiotics_ps_45,NCI-H2170,train,90,50-149
ncih2170_antibiotics_ps_46,NCI-H2170,train,211,150-299
ncih2170_antibiotics_ps_47,NCI-H2170,train,220,150-299
ncih2170_antibiotics_ps_48,NCI-H2170,train,76,50-149
ncih2170_antibiotics_ps_49,NCI-H2170,train,109,50-149
ncih2170_antibiotics_ps_5,NCI-H2170,train,235,150-299
ncih2170_antibiotics_ps_50,NCI-H2170,train,147,50-149
ncih2170_antibiotics_ps_54,NCI-H2170,train,125,50-149
ncih2170_antibiotics_ps_56_b,NCI-H2170,train,434,300+
ncih2170_antibiotics_ps_57,NCI-H2170,train,70,50-149
ncih2170_antibiotics_ps_58,NCI-H2170,train,212,150-299
ncih2170_antibiotics_ps_61,NCI-H2170,train,246,150-299
ncih2170_antibiotics_ps_62,NCI-H2170,train,458,300+
ncih2170_antibiotics_ps_63,NCI-H2170,train,862,300+
ncih2170_antibiotics_ps_65,NCI-H2170,train,131,50-149
ncih2170_antibiotics_ps_67,NCI-H2170,train,153,150-299
ncih2170_antibiotics_ps_69,NCI-H2170,train,190,150-299
ncih2170_antibiotics_ps_7,NCI-H2170,train,191,150-299
ncih2170_antibiotics_ps_73,NCI-H2170,train,370,300+
ncih2170_antibiotics_ps_75,NCI-H2170,train,88,50-149
ncih2170_antibiotics_ps_76,NCI-H2170,train,209,150-299
ncih2170_antibiotics_ps_77,NCI-H2170,train,264,150-299
ncih2170_antibiotics_ps_79,NCI-H2170,train,505,300+
ncih2170_antibiotics_ps_8,NCI-H2170,train,69,50-149
ncih2170_antibiotics_ps_80,NCI-H2170,train,286,150-299
ncih2170_antibiotics_ps_81,NCI-H2170,train,462,300+
ncih2170_antibiotics_ps_82,NCI-H2170,train,125,50-149
ncih2170_antibiotics_ps_83,NCI-H2170,train,126,50-149
ncih2170_antibiotics_ps_85,NCI-H2170,train,181,150-299
ncih2170_antibiotics_ps_86,NCI-H2170,train,119,50-149
ncih2170_antibiotics_ps_87,NCI-H2170,train,150,150-299
ncih2170_antibiotics_ps_88,NCI-H2170,train,425,300+
ncih2170_antibiotics_ps_89,NCI-H2170,train,117,50-149
ncih2170_antibiotics_ps_9,NCI-H2170,train,243,150-299
ncih2170_antibiotics_ps_94,NCI-H2170,train,147,50-149
ncih2170_antibiotics_ps_95,NCI-H2170,train,350,300+
ncih2170_antibiotics_ps_97,NCI-H2170,train,136,50-149
ncih2170_antibiotics_ps_98_a,NCI-H2170,train,98,50-149
ncih2170_antibiotics_ps_98_b,NCI-H2170,train,229,150-299
ncih2170_antibiotics_ps_g_100,NCI-H2170,train,274,150-299
ncih2170_antibiotics_ps_g_101,NCI-H2170,train,93,50-149
ncih2170_antibiotics_ps_g_103,NCI-H2170,train,801,300+
ncih2170_antibiotics_ps_g_106,NCI-H2170,train,246,150-299
ncih2170_antibiotics_ps_g_108,NCI-H2170,train,83,50-149
ncih2170_antibiotics_ps_g_110,NCI-H2170,train,66,50-149
ncih2170_antibiotics_ps_g_111,NCI-H2170,train,152,150-299
ncih2170_antibiotics_ps_g_112,NCI-H2170,train,184,150-299
ncih2170_antibiotics_ps_g_116,NCI-H2170,train,107,50-149
ncih2170_antibiotics_ps_g_37,NCI-H2170,train,283,150-299
ncih2170_antibiotics_ps_g_40,NCI-H2170,train,98,50-149
ncih2170_antibiotics_ps_g_43,NCI-H2170,train,491,300+
ncih2170_antibiotics_ps_g_46,NCI-H2170,train,148,50-149
ncih2170_antibiotics_ps_g_47,NCI-H2170,train,506,300+
ncih2170_antibiotics_ps_g_48,NCI-H2170,train,362,300+
ncih2170_antibiotics_ps_g_49,NCI-H2170,train,446,300+
ncih2170_antibiotics_ps_g_50,NCI-H2170,train,285,150-299
ncih2170_antibiotics_ps_g_55,NCI-H2170,train,375,300+
ncih2170_antibiotics_ps_g_60,NCI-H2170,train,76,50-149
ncih2170_antibiotics_ps_g_61,NCI-H2170,train,181,150-299
ncih2170_antibiotics_ps_g_62,NCI-H2170,train,244,150-299
ncih2170_antibiotics_ps_g_66,NCI-H2170,train,79,50-149
ncih2170_antibiotics_ps_g_71,NCI-H2170,train,157,150-299
ncih2170_antibiotics_ps_g_74,NCI-H2170,train,213,150-299
ncih2170_antibiotics_ps_g_77,NCI-H2170,train,112,50-149
ncih2170_antibiotics_ps_g_81,NCI-H2170,train,150,150-299
ncih2170_antibiotics_ps_g_85,NCI-H2170,train,289,150-299
ncih2170_antibiotics_ps_g_88_a,NCI-H2170,train,115,50-149
ncih2170_antibiotics_ps_g_88_b,NCI-H2170,train,121,50-149
ncih2170_antibiotics_ps_g_90,NCI-H2170,train,127,50-149
ncih2170_antibiotics_ps_g_91,NCI-H2170,train,560,300+
ncih2170_antibiotics_ps_g_92,NCI-H2170,train,145,50-149
ncih2170_antibiotics_ps_g_94,NCI-H2170,train,235,150-299
ncih2170_antibiotics_ps_g_95,NCI-H2170,train,180,150-299
ncih2170_antibiotics_ps_g_97,NCI-H2170,train,252,150-299
ncih2170_antibiotics_ps_g_98,NCI-H2170,train,167,150-299
ncih2170_cart_72h_blank_ctrl_19,NCI-H2170,train,210,150-299
ncih2170_cart_72h_blank_ctrl_28,NCI-H2170,train,191,150-299
ncih2170_cart_72h_blank_ctrl_32,NCI-H2170,train,99,50-149
ncih2170_cart_72h_blank_ctrl_34,NCI-H2170,train,88,50-149
ncih2170_cart_72h_blank_ctrl_35,NCI-H2170,train,168,150-299
ncih2170_cart_72h_blank_ctrl_36,NCI-H2170,train,86,50-149
ncih2170_cart_72h_blank_ctrl_38,NCI-H2170,train,156,150-299
ncih2170_cart_72h_blank_ctrl_39,NCI-H2170,train,189,150-299
ncih2170_cart_72h_blank_ctrl_50,NCI-H2170,train,149,50-149
ncih2170_cart_72h_blank_ctrl_55,NCI-H2170,train,56,50-149
ncih2170_cart_72h_blank_ctrl_56,NCI-H2170,train,132,50-149
ncih2170_cart_72h_blank_ctrl_57,NCI-H2170,train,75,50-149
ncih2170_cart_72h_blank_ctrl_61,NCI-H2170,train,47,10-49
ncih2170_cart_72h_blank_ctrl_64,NCI-H2170,train,47,10-49
ncih2170_cart_72h_blank_ctrl_7,NCI-H2170,train,196,150-299
ncih2170_cart_72h_blank_ctrl_71,NCI-H2170,train,133,50-149
ncih2170_cart_72h_blank_ctrl_74,NCI-H2170,train,43,10-49
ncih2170_cart_72h_blank_ctrl_8,NCI-H2170,train,132,50-149
ncih2170_cart_72h_blank_ctrl_80,NCI-H2170,train,76,50-149
ncih2170_cart_72h_blank_ctrl_82,NCI-H2170,train,105,50-149
ncih2170_cart_72h_blank_ctrl_83,NCI-H2170,train,35,10-49
ncih2170_cart_72h_blank_ctrl_89,NCI-H2170,train,238,150-299
ncih2170_cart_72h_blank_ctrl_92,NCI-H2170,train,176,150-299
ncih2170_cart_72h_blank_ctrl_98,NCI-H2170,train,257,150-299
ncih2170_cart_72h_cart_1,NCI-H2170,train,75,50-149
ncih2170_cart_72h_cart_100,NCI-H2170,train,664,300+
ncih2170_cart_72h_cart_16,NCI-H2170,train,16,10-49
ncih2170_cart_72h_cart_17,NCI-H2170,train,44,10-49
ncih2170_cart_72h_cart_20,NCI-H2170,train,53,50-149
ncih2170_cart_72h_cart_22,NCI-H2170,train,15,10-49
ncih2170_cart_72h_cart_27,NCI-H2170,train,71,50-149
ncih2170_cart_72h_cart_31,NCI-H2170,train,119,50-149
ncih2170_cart_72h_cart_32,NCI-H2170,train,74,50-149
ncih2170_cart_72h_cart_33,NCI-H2170,train,117,50-149
ncih2170_cart_72h_cart_4,NCI-H2170,train,41,10-49
ncih2170_cart_72h_cart_40,NCI-H2170,train,22,10-49
ncih2170_cart_72h_cart_47,NCI-H2170,train,81,50-149
ncih2170_cart_72h_cart_49,NCI-H2170,train,18,10-49
ncih2170_cart_72h_cart_5,NCI-H2170,train,27,10-49
ncih2170_cart_72h_cart_57,NCI-H2170,train,99,50-149
ncih2170_cart_72h_cart_60,NCI-H2170,train,30,10-49
ncih2170_cart_72h_cart_64,NCI-H2170,train,78,50-149
ncih2170_cart_72h_cart_73,NCI-H2170,train,73,50-149
ncih2170_cart_72h_cart_78,NCI-H2170,train,112,50-149
ncih2170_cart_72h_cart_80,NCI-H2170,train,244,150-299
ncih2170_cart_72h_cart_82,NCI-H2170,train,69,50-149
ncih2170_cart_72h_cart_83,NCI-H2170,train,102,50-149
ncih2170_cart_72h_cart_88,NCI-H2170,train,111,50-149
ncih2170_cart_72h_cart_89,NCI-H2170,train,497,300+
ncih2170_cart_72h_cart_90,NCI-H2170,train,175,150-299
ncih2170_cart_72h_cart_91,NCI-H2170,train,382,300+
ncih2170_cart_72h_cart_93,NCI-H2170,train,184,150-299
ncih2170_cart_72h_cart_95,NCI-H2170,train,318,300+
ncih2170_cart_72h_cart_96,NCI-H2170,train,105,50-149
ncih2170_cart_72h_cart_97,NCI-H2170,train,181,150-299
ncih2170_cart_72h_cart_99,NCI-H2170,train,179,150-299
ncih2170_cart_72h_nt_ctrl_10,NCI-H2170,train,76,50-149
ncih2170_cart_72h_nt_ctrl_100,NCI-H2170,train,143,50-149
ncih2170_cart_72h_nt_ctrl_12,NCI-H2170,train,209,150-299
ncih2170_cart_72h_nt_ctrl_13,NCI-H2170,train,78,50-149
ncih2170_cart_72h_nt_ctrl_16,NCI-H2170,train,74,50-149
ncih2170_cart_72h_nt_ctrl_21,NCI-H2170,train,186,150-299
ncih2170_cart_72h_nt_ctrl_24,NCI-H2170,train,35,10-49
ncih2170_cart_72h_nt_ctrl_26,NCI-H2170,train,130,50-149
ncih2170_cart_72h_nt_ctrl_28,NCI-H2170,train,162,150-299
ncih2170_cart_72h_nt_ctrl_39,NCI-H2170,train,53,50-149
ncih2170_cart_72h_nt_ctrl_4,NCI-H2170,train,77,50-149
ncih2170_cart_72h_nt_ctrl_41,NCI-H2170,train,142,50-149
ncih2170_cart_72h_nt_ctrl_43,NCI-H2170,train,142,50-149
ncih2170_cart_72h_nt_ctrl_44,NCI-H2170,train,75,50-149
ncih2170_cart_72h_nt_ctrl_45,NCI-H2170,train,188,150-299
ncih2170_cart_72h_nt_ctrl_47,NCI-H2170,train,157,150-299
ncih2170_cart_72h_nt_ctrl_48,NCI-H2170,train,60,50-149
ncih2170_cart_72h_nt_ctrl_52,NCI-H2170,train,136,50-149
ncih2170_cart_72h_nt_ctrl_54,NCI-H2170,train,245,150-299
ncih2170_cart_72h_nt_ctrl_55,NCI-H2170,train,216,150-299
ncih2170_cart_72h_nt_ctrl_56,NCI-H2170,train,246,150-299
ncih2170_cart_72h_nt_ctrl_58,NCI-H2170,train,211,150-299
ncih2170_cart_72h_nt_ctrl_6,NCI-H2170,train,51,50-149
ncih2170_cart_72h_nt_ctrl_65,NCI-H2170,train,74,50-149
ncih2170_cart_72h_nt_ctrl_66,NCI-H2170,train,291,150-299
ncih2170_cart_72h_nt_ctrl_67,NCI-H2170,train,87,50-149
ncih2170_cart_72h_nt_ctrl_74,NCI-H2170,train,348,300+
ncih2170_cart_72h_nt_ctrl_75,NCI-H2170,train,99,50-149
ncih2170_cart_72h_nt_ctrl_77,NCI-H2170,train,159,150-299
ncih2170_cart_72h_nt_ctrl_81,NCI-H2170,train,478,300+
ncih2170_cart_72h_nt_ctrl_87,NCI-H2170,train,231,150-299
ncih2170_cart_72h_nt_ctrl_88,NCI-H2170,train,534,300+
ncih2170_cart_72h_nt_ctrl_9,NCI-H2170,train,84,50-149
ncih2170_cart_72h_nt_ctrl_91,NCI-H2170,train,113,50-149
ncih2170_cart_72h_nt_ctrl_94,NCI-H2170,train,226,150-299
ncih2170_cart_72h_nt_ctrl_99,NCI-H2170,train,66,50-149
ncih2170_ctrl_1_24,NCI-H2170,train,355,300+
ncih2170_ctrl_1_25,NCI-H2170,train,441,300+
ncih2170_ctrl_1_27,NCI-H2170,train,504,300+
ncih2170_ctrl_1_29,NCI-H2170,train,226,150-299
ncih2170_ctrl_1_33,NCI-H2170,train,431,300+
ncih2170_ctrl_1_37,NCI-H2170,train,223,150-299
ncih2170_ctrl_1_39,NCI-H2170,train,194,150-299
ncih2170_ctrl_1_41,NCI-H2170,train,489,300+
ncih2170_ctrl_1_44,NCI-H2170,train,178,150-299
ncih2170_ctrl_1_50,NCI-H2170,train,243,150-299
ncih2170_ctrl_1_51,NCI-H2170,train,280,150-299
ncih2170_ctrl_1_53,NCI-H2170,train,613,300+
ncih2170_ctrl_1_55,NCI-H2170,train,589,300+
ncih2170_ctrl_1_65,NCI-H2170,train,230,150-299
ncih2170_ctrl_1_66,NCI-H2170,train,283,150-299
ncih2170_ctrl_1_68,NCI-H2170,train,226,150-299
ncih2170_ctrl_1_82,NCI-H2170,train,404,300+
ncih2170_ctrl_1_86,NCI-H2170,train,359,300+
ncih2170_ctrl_1_89,NCI-H2170,train,832,300+
ncih2170_ctrl_1_95,NCI-H2170,train,215,150-299
ncih2170_ctrl_1_98,NCI-H2170,train,119,50-149
ncih2170_ctrl_1_99,NCI-H2170,train,221,150-299
ncih2170_ctrl_2_102,NCI-H2170,train,257,150-299
ncih2170_ctrl_2_103,NCI-H2170,train,107,50-149
ncih2170_ctrl_2_106,NCI-H2170,train,909,300+
ncih2170_ctrl_2_107,NCI-H2170,train,116,50-149
ncih2170_ctrl_2_112,NCI-H2170,train,217,150-299
ncih2170_ctrl_2_114,NCI-H2170,train,503,300+
ncih2170_ctrl_2_115,NCI-H2170,train,371,300+
ncih2170_ctrl_2_116,NCI-H2170,train,94,50-149
ncih2170_ctrl_2_117,NCI-H2170,train,172,150-299
ncih2170_ctrl_2_118,NCI-H2170,train,523,300+
ncih2170_ctrl_2_119,NCI-H2170,train,282,150-299
ncih2170_ctrl_2_121,NCI-H2170,train,418,300+
ncih2170_ctrl_2_122,NCI-H2170,train,194,150-299
ncih2170_ctrl_2_124,NCI-H2170,train,163,150-299
ncih2170_ctrl_2_125,NCI-H2170,train,413,300+
ncih2170_ctrl_2_127,NCI-H2170,train,378,300+
ncih2170_ctrl_2_129,NCI-H2170,train,220,150-299
ncih2170_ctrl_2_130,NCI-H2170,train,228,150-299
ncih2170_ctrl_2_134,NCI-H2170,train,390,300+
ncih2170_ctrl_2_136,NCI-H2170,train,314,300+
ncih2170_ctrl_2_141,NCI-H2170,train,114,50-149
ncih2170_ctrl_2_22,NCI-H2170,train,438,300+
ncih2170_ctrl_2_28,NCI-H2170,train,259,150-299
ncih2170_ctrl_2_29,NCI-H2170,train,170,150-299
ncih2170_ctrl_2_30,NCI-H2170,train,572,300+
ncih2170_ctrl_2_35,NCI-H2170,train,604,300+
ncih2170_ctrl_2_40,NCI-H2170,train,297,150-299
ncih2170_ctrl_2_41,NCI-H2170,train,742,300+
ncih2170_ctrl_2_92,NCI-H2170,train,436,300+
ncih2170_ctrl_2_93,NCI-H2170,train,287,150-299
ncih2170_ctrl_2_94,NCI-H2170,train,146,50-149
ncih2170_ctrl_2_99,NCI-H2170,train,290,150-299
ncih2170_facs_fish_0223_high_her2_10,NCI-H2170,train,138,50-149
ncih2170_facs_fish_0223_high_her2_11,NCI-H2170,train,101,50-149
ncih2170_facs_fish_0223_high_her2_16,NCI-H2170,train,130,50-149
ncih2170_facs_fish_0223_high_her2_18,NCI-H2170,train,46,10-49
ncih2170_facs_fish_0223_high_her2_2,NCI-H2170,train,86,50-149
ncih2170_facs_fish_0223_high_her2_3,NCI-H2170,train,116,50-149
ncih2170_facs_fish_0223_high_her2_4,NCI-H2170,train,77,50-149
ncih2170_facs_fish_0223_high_her2_5,NCI-H2170,train,152,150-299
ncih2170_facs_fish_0223_high_her2_6,NCI-H2170,train,332,300+
ncih2170_facs_fish_0223_high_her2_8,NCI-H2170,train,228,150-299
ncih2170_facs_fish_0223_high_her2_9,NCI-H2170,train,94,50-149
ncih2170_facs_fish_0223_low_her2_10,NCI-H2170,train,24,10-49
ncih2170_facs_fish_0223_low_her2_9,NCI-H2170,train,24,10-49
ncih2170_facs_fish_0423_high_her2_21,NCI-H2170,train,115,50-149
ncih2170_facs_fish_0423_high_her2_23,NCI-H2170,train,187,150-299
ncih2170_facs_fish_0423_high_her2_24,NCI-H2170,train,174,150-299
ncih2170_facs_fish_0423_high_her2_25,NCI-H2170,train,97,50-149
ncih2170_facs_fish_0423_low_her2_101,NCI-H2170,train,104,50-149
ncih2170_facs_fish_0423_low_her2_104,NCI-H2170,train,61,50-149
ncih2170_facs_fish_0423_low_her2_105,NCI-H2170,train,62,50-149
ncih2170_facs_fish_0423_low_her2_109,NCI-H2170,train,109,50-149
ncih2170_facs_fish_0423_low_her2_111,NCI-H2170,train,107,50-149
ncih2170_facs_fish_0423_low_her2_118,NCI-H2170,train,43,10-49
ncih2170_facs_fish_0423_low_her2_16,NCI-H2170,train,61,50-149
ncih2170_facs_fish_0423_low_her2_18,NCI-H2170,train,99,50-149
ncih2170_facs_fish_0423_low_her2_20,NCI-H2170,train,213,150-299
ncih2170_facs_fish_0423_low_her2_22,NCI-H2170,train,64,50-149
ncih2170_facs_fish_0423_low_her2_3,NCI-H2170,train,128,50-149
ncih2170_facs_fish_0423_low_her2_30,NCI-H2170,train,96,50-149
ncih2170_facs_fish_0423_low_her2_31_b,NCI-H2170,train,197,150-299
ncih2170_facs_fish_0423_low_her2_35,NCI-H2170,train,211,150-299
ncih2170_facs_fish_0423_low_her2_37,NCI-H2170,train,60,50-149
