model,cell_line,n_images,obj_tp,obj_fp,obj_fn,obj_ignored,pred_count,gt_count,obj_precision,obj_recall,obj_f1,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,count_mae,count_trimmed_mae,count_mdape,count_rmse,count_bias,count_pearson_r,count_spearman_rho
MIA,NCI-H716,70,4634,4184,8706,0,8818,13340,0.5255159900204128,0.34737631184407797,0.4182687968228179,54482,369580,119081,350402137,0.12847649636138112,0.3139033088849582,0.18232838318343442,0.10030875846692308,0.18232838318343442,64.91428571428571,63.08064516129032,34.159268171257885,75.38150587890526,-64.6,0.8685727017259346,0.7689776774679904
MIA,SNU16,123,5382,9757,29491,0,15139,34873,0.3555056476649713,0.1543314311931867,0.21522834519715267,55623,493496,398480,615713393,0.10129498341889463,0.12248983160208146,0.11088871655525896,0.05869888001148165,0.11088871655525896,160.8617886178862,147.72727272727272,54.14364640883978,212.16564321916408,-160.4390243902439,0.6261680306785906,0.6229087395083149
Label Engine,COLO320DM,64,958,1610,1985,0,2568,2943,0.37305295950155765,0.3255181787291879,0.3476682997641081,8421,62685,29850,320763300,0.1184288245717661,0.2200360586344752,0.1539811843440577,0.0834125757755854,0.15398118434405772,12.640625,11.457627118644067,23.368794326241137,15.251536807810549,-5.859375,0.8892254291946176,0.8141399333966556
Label Engine,NCI-H2170,888,100766,60532,76117,8,161306,176883,0.6247194633535443,0.5696760005201178,0.5959293987539217,1045186,4460392,1258856,4445227118,0.18984128460263391,0.45363148762045136,0.2676662885005928,0.15451196655921248,0.2676662885005929,23.89752252252252,19.820048309178745,10.01392757660167,35.90504556879572,-17.541666666666668,0.9797318756543327,0.9571446294819204
Label Engine,NCI-H716,70,4261,4408,9079,0,8669,13340,0.4915215134386896,0.3194152923538231,0.3872052342223636,41483,244073,132080,350527644,0.14527098012298814,0.23900831398397124,0.18070696268287742,0.09932812305452596,0.18070696268287742,67.07142857142857,64.0952380952381,35.75471414845064,77.09391304487941,-66.72857142857143,0.8750771244591433,0.7893626889352513
Label Engine,SNU16,123,7704,14858,27169,0,22562,34873,0.3414590905061608,0.22091589481834084,0.26826847740924525,67300,494509,386803,615712380,0.11979160177213252,0.1482042620286587,0.13249179062753466,0.07094576075360633,0.13249179062753466,118.10569105691057,100.74545454545455,38.01652892561984,175.03692990128766,-100.08943089430895,0.5824325111237222,0.646255300744947
Classic (after opt),COLO320DM,64,1154,2099,1789,0,3253,2943,0.3547494620350446,0.39211688752973156,0.3724983860555197,21074,245553,17197,320580432,0.07903925708949207,0.5506519296595334,0.13823639381038905,0.07425023958509498,0.13823639381038905,9.34375,7.689655172413793,16.084895496660202,13.356880249519346,4.84375,0.9142087309125475,0.8766033002828854
Classic (after opt),NCI-H2170,888,65533,82869,111350,2,148404,176883,0.44159108367811756,0.37048783659254986,0.40292666430975915,1532517,23007785,771525,4426679725,0.06244898697660689,0.6651428229172905,0.11417801828198895,0.06054549124407337,0.11417801828198894,48.965090090090094,41.97125,21.889880952380953,73.56807994903352,-32.070945945945944,0.9195670783480816,0.8965813198076598
Classic (after opt),NCI-H716,70,7773,6169,5567,13,13955,13340,0.5575240281164826,0.5826836581709145,0.5698262590719155,98826,607072,74737,350164645,0.1400003966578741,0.569395550895064,0.22474220005207735,0.1265969371088921,0.22474220005207735,19.67142857142857,17.306451612903224,7.226668475311991,28.16050932980946,8.785714285714286,0.9478522617996001,0.9254530658317
Classic (after opt),SNU16,123,21486,13046,13387,89,34621,34873,0.622205490559481,0.6161213546296562,0.619148476334558,201262,722635,252841,615484254,0.21784030037980423,0.44320781849051866,0.2921074020319303,0.17103382401180212,0.2921074020319303,48.63414634146341,39.25688073394495,10.596026490066226,78.08271619958985,-2.048780487804878,0.8924702155753435,0.8763589870106502
ecSeg,COLO320DM,64,205,455,2738,0,660,2943,0.3106060606060606,0.06965681277607882,0.1137940605051346,2193,27008,36078,320798977,0.07510016780247251,0.05730187348122599,0.06500474270808632,0.03359426461802417,0.06500474270808632,37.328125,35.482142857142854,89.8989898989899,45.524203727248214,-35.671875,0.3946625449472969,0.23484877386690806
ecSeg,NCI-H2170,888,44054,40063,132829,3,84120,176883,0.5237229097566485,0.24905728645488825,0.33757854406130267,514446,3564935,1789596,4446122575,0.12610883857134209,0.22327978396227152,0.16118186120518727,0.08765513989916812,0.16118186120518724,108.23085585585585,94.9041095890411,64.73100176015917,153.46242240395557,-104.46283783783784,0.6952215636039404,0.594646446849392
ecSeg,NCI-H716,70,1436,2479,11904,0,3915,13340,0.36679438058748404,0.10764617691154423,0.16644450883801798,15494,161169,158069,350610548,0.08770370705807101,0.0892701785518803,0.088480010050653,0.046287776489848595,0.08848001005065301,134.7,132.74193548387098,74.2244276002188,148.9504711544843,-134.64285714285714,0.5828506419373772,0.4025450092885187
ecSeg,SNU16,123,799,2899,34074,0,3698,34873,0.21606273661438616,0.022911708198319617,0.041430089963962566,8213,137957,445890,616068932,0.05618800027365396,0.018086205112056074,0.027364215948410143,0.013871904874505962,0.02736421594841014,253.45528455284554,233.70642201834863,91.3657770800628,305.66128498423114,-253.45528455284554,0.13707681764974153,0.19292870476033916
