model,density_bin,n_images,obj_tp,obj_fp,obj_fn,obj_ignored,pred_count,gt_count,obj_precision,obj_recall,obj_f1,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,count_mae,count_trimmed_mae,count_mdape,count_rmse,count_bias,count_pearson_r,count_spearman_rho
MIA,50-149,450,31212,4487,13467,1126,36825,44679,0.8743102047676405,0.6985832270194051,0.7766304212595486,219607,1434341,362325,2254060527,0.13277745128625568,0.37737570712729324,0.1964389859920926,0.10891729443383907,0.19643898599209259,22.546666666666667,20.094202898550726,18.659519882719444,30.896529830315174,-17.453333333333333,0.6427157678980389,0.6466763988624249
MIA,150-299,403,59969,5279,26076,1857,67105,86045,0.9190933055419324,0.6969492707304318,0.792753134646018,433355,2627046,687167,2016694544,0.14160072487232883,0.3867438568809894,0.20730111508870172,0.11563632734616157,0.2073011150887017,53.59801488833747,48.24657534246575,17.98941798941799,73.95163062743495,-46.997518610421835,0.5080874980376298,0.4815834822882705
MIA,300+,206,68957,4011,25650,1972,74940,94607,0.9450306983883346,0.7288784128024354,0.822998657317619,489842,2900788,742467,1028648727,0.1444693169116064,0.39749932849634306,0.2119180028116313,0.11851693778297485,0.2119180028116313,101.95631067961165,84.31016042780749,12.599206349206348,163.48003945733214,-95.47087378640776,0.7164529667412574,0.643640546961674
Label Engine,0-9,7,11,137,22,1,149,33,0.07432432432432433,0.3333333333333333,0.12154696132596685,31,3753,410,35090334,0.008192389006342496,0.07029478458049887,0.014674556213017753,0.007391511683357177,0.014674556213017751,18.0,16.0,450.0,22.73449235978545,16.571428571428573,-0.6363245893991882,-0.6759563566144126
Label Engine,10-49,79,1590,535,1085,68,2193,2675,0.7482352941176471,0.594392523364486,0.6625,8078,47269,26697,395984772,0.14595190344553455,0.23229331416247304,0.17926810323783318,0.09845936326849007,0.17926810323783315,9.848101265822784,8.945945945945946,25.714285714285715,12.202925567463865,-6.10126582278481,0.5743439179305305,0.5862995874558302
Label Engine,50-149,450,32611,4580,12068,1105,38296,44679,0.8768519265413676,0.7298954766221267,0.7966532307316477,201426,962561,380506,2254532307,0.17304832442286727,0.34613322518782264,0.23073922673388625,0.13041561211348968,0.23073922673388628,18.80666666666667,16.048076923076923,14.064523725420933,26.843455647720006,-14.184444444444445,0.725919101102952,0.7508219236411617
Label Engine,150-299,403,64114,6486,21931,1831,72431,86045,0.9081303116147309,0.745121738625138,0.8185898049730281,426055,1917699,694467,2017403891,0.18178315642341303,0.3802290361099559,0.24597058663917074,0.14023173429450986,0.2459705866391708,40.94292803970223,35.2010582010582,12.23021582733813,58.715996442310335,-33.78163771712159,0.6119567283838334,0.6340718279846774
Label Engine,300+,206,74039,5901,20568,2096,82036,94607,0.9261821366024519,0.7825953682074265,0.8483560301809828,526800,2330377,705509,1029219138,0.1843777966853296,0.4274901830628519,0.2576362897439923,0.14786596405071903,0.2576362897439923,74.68446601941747,58.58378378378379,8.851258469885527,132.4740494829375,-61.02427184466019,0.7782597093480998,0.7378871687572054
Classic (after opt),0-9,7,15,162,18,2,179,33,0.0847457627118644,0.45454545454545453,0.14285714285714285,114,11037,327,35083050,0.010223298358891578,0.2585034013605442,0.019668737060041405,0.009932043910088865,0.019668737060041408,21.714285714285715,18.4,375.0,27.836255905871084,20.857142857142858,-0.8816093681329238,-0.9145291883606756
Classic (after opt),10-49,79,2088,878,587,224,3190,2675,0.7039784221173297,0.7805607476635514,0.7402942740648821,21944,397087,12831,395634954,0.05236844052110703,0.6310280373831776,0.09671092933985007,0.05081252807609838,0.09671092933985007,12.746835443037975,9.849315068493151,20.833333333333332,21.254039080024057,6.518987341772152,0.5268192204000823,0.6817384494829746
Classic (after opt),50-149,450,31890,10177,12789,2315,44382,44679,0.7580764019302542,0.7137581414087155,0.7352500403476817,359805,6605593,222127,2248889275,0.051656057557658584,0.6182938900077672,0.09534630127475544,0.05005965196642794,0.09534630127475545,24.197777777777777,19.413301662707838,18.146027201145312,39.423540626833045,-0.66,0.5063191147389026,0.6588199284566607
Classic (after opt),150-299,403,62139,9528,23906,4123,75790,86045,0.8670517811545062,0.7221686326921959,0.7880059855939942,687286,8893857,433236,2010427733,0.0717331950895629,0.6133623436219905,0.12844468594372932,0.0686299170422849,0.12844468594372932,44.63771712158809,41.7275204359673,18.835616438356166,55.31751345898837,-25.44665012406948,0.5957582867761416,0.6371105378330071
Classic (after opt),300+,206,66408,6975,28199,3309,76692,94607,0.904950737909325,0.7019353747608528,0.7906184891957855,784530,8675471,447779,1022874044,0.08293128087407178,0.6366341558813576,0.1467465870331107,0.07918322772609,0.14674658703311072,103.8883495145631,95.96216216216216,22.30013618199272,133.09677842526642,-86.96601941747574,0.8154501050166192,0.7056337511064066
ecSeg,0-9,7,1,38,32,0,39,33,0.02564102564102564,0.030303030303030304,0.027777777777777776,10,1775,431,35092312,0.0056022408963585435,0.022675736961451247,0.008984725965858042,0.004512635379061372,0.008984725965858042,6.571428571428571,6.4,100.0,7.329003050503235,0.8571428571428571,-0.560297441776943,-0.7057779605826955
ecSeg,10-49,79,425,547,2250,27,999,2675,0.43724279835390945,0.1588785046728972,0.23306827529476282,2709,41261,32066,395990780,0.06161018876506709,0.07790079079798706,0.06880436853133533,0.035627860487137675,0.06880436853133533,24.025316455696203,23.985915492957748,82.5,27.140049345589123,-21.21518987341772,0.2998606753816485,0.24922914730795176
ecSeg,50-149,450,12163,5775,32516,507,18445,44679,0.6780577544876798,0.2722308019427471,0.3884887490617564,87961,775524,493971,2254719344,0.10186743255528469,0.15115339936624897,0.1217102054286064,0.06479841703893165,0.12171020542860642,61.733333333333334,61.03694581280788,72.44472256987902,71.40261433122272,-58.297777777777775,0.29218516240329423,0.27364419251926464
ecSeg,150-299,403,27300,6163,58745,967,34430,86045,0.8158264351671995,0.3172758440350979,0.45687318003815647,198561,1437029,921961,2017884561,0.12140022866366265,0.17720401741331274,0.14408775840749577,0.0776371614876888,0.14408775840749577,130.4739454094293,129.3653846153846,71.83673469387755,148.64412010465583,-128.07692307692307,0.2546322082500446,0.2022270139049865
ecSeg,300+,206,33857,3774,60750,849,38480,94607,0.8997103451941219,0.3578699250583995,0.5120615859284018,251105,1635480,981204,1029914035,0.13310028437626717,0.20376788613894728,0.1610218237618848,0.08756048649325317,0.1610218237618848,275.7135922330097,261.37297297297295,68.03553254073884,332.92848148875424,-272.4611650485437,0.38486288720653494,0.2808685320396297
