model,split,cell_line_display,density_bin,gt_count,pred_count,abs_error,signed_error,gt_count_plot,pred_count_plot
Classic (after opt),train,NCI-H2170,10-49,42,100,58,58,43,101
Classic (after opt),train,NCI-H2170,10-49,43,42,1,-1,44,43
Classic (after opt),train,NCI-H2170,10-49,43,36,7,-7,44,37
Classic (after opt),train,NCI-H2170,10-49,43,35,8,-8,44,36
Classic (after opt),train,COLO320DM,10-49,44,81,37,37,45,82
Classic (after opt),train,NCI-H2170,10-49,44,35,9,-9,45,36
Classic (after opt),test,NCI-H2170,10-49,44,27,17,-17,45,28
Classic (after opt),train,COLO320DM,10-49,45,49,4,4,46,50
Classic (after opt),train,COLO320DM,10-49,45,58,13,13,46,59
Classic (after opt),train,NCI-H2170,10-49,45,35,10,-10,46,36
Classic (after opt),train,COLO320DM,10-49,46,55,9,9,47,56
Classic (after opt),test,NCI-H2170,10-49,46,106,60,60,47,107
Classic (after opt),val,NCI-H2170,10-49,46,66,20,20,47,67
Classic (after opt),train,NCI-H2170,10-49,46,53,7,7,47,54
Classic (after opt),train,NCI-H2170,10-49,46,58,12,12,47,59
Classic (after opt),train,COLO320DM,10-49,47,60,13,13,48,61
Classic (after opt),train,NCI-H2170,10-49,47,35,12,-12,48,36
Classic (after opt),train,NCI-H2170,10-49,47,41,6,-6,48,42
Classic (after opt),val,NCI-H2170,10-49,47,56,9,9,48,57
Classic (after opt),test,NCI-H2170,10-49,48,45,3,-3,49,46
Classic (after opt),val,NCI-H2170,10-49,48,22,26,-26,49,23
Classic (after opt),val,NCI-H2170,10-49,48,43,5,-5,49,44
Classic (after opt),test,COLO320DM,10-49,49,37,12,-12,50,38
Classic (after opt),train,NCI-H2170,10-49,49,45,4,-4,50,46
Classic (after opt),train,NCI-H2170,50-149,50,41,9,-9,51,42
Classic (after opt),train,NCI-H2170,50-149,50,111,61,61,51,112
Classic (after opt),train,COLO320DM,50-149,51,59,8,8,52,60
Classic (after opt),test,NCI-H2170,50-149,51,37,14,-14,52,38
Classic (after opt),train,NCI-H2170,50-149,51,44,7,-7,52,45
Classic (after opt),val,NCI-H2170,50-149,51,55,4,4,52,56
Classic (after opt),train,NCI-H2170,50-149,51,65,14,14,52,66
Classic (after opt),train,COLO320DM,50-149,52,63,11,11,53,64
Classic (after opt),val,NCI-H2170,50-149,52,52,0,0,53,53
Classic (after opt),test,NCI-H2170,50-149,52,100,48,48,53,101
Classic (after opt),test,NCI-H2170,50-149,52,46,6,-6,53,47
Classic (after opt),val,NCI-H2170,50-149,52,44,8,-8,53,45
Classic (after opt),train,COLO320DM,50-149,53,53,0,0,54,54
Classic (after opt),train,COLO320DM,50-149,53,52,1,-1,54,53
Classic (after opt),train,NCI-H2170,50-149,53,42,11,-11,54,43
Classic (after opt),train,NCI-H2170,50-149,53,39,14,-14,54,40
Classic (after opt),train,NCI-H2170,50-149,53,38,15,-15,54,39
Classic (after opt),train,NCI-H2170,50-149,53,55,2,2,54,56
Classic (after opt),train,NCI-H2170,50-149,53,45,8,-8,54,46
Classic (after opt),test,COLO320DM,50-149,54,46,8,-8,55,47
Classic (after opt),train,NCI-H2170,50-149,54,56,2,2,55,57
Classic (after opt),train,NCI-H2170,50-149,54,68,14,14,55,69
Classic (after opt),train,NCI-H2170,50-149,54,56,2,2,55,57
Classic (after opt),val,NCI-H2170,50-149,54,43,11,-11,55,44
Classic (after opt),train,COLO320DM,50-149,55,79,24,24,56,80
Classic (after opt),test,NCI-H2170,50-149,55,117,62,62,56,118
Classic (after opt),test,NCI-H2170,50-149,55,128,73,73,56,129
Classic (after opt),val,NCI-H2170,50-149,56,58,2,2,57,59
Classic (after opt),train,NCI-H2170,50-149,56,69,13,13,57,70
Classic (after opt),test,COLO320DM,50-149,57,59,2,2,58,60
Classic (after opt),val,COLO320DM,50-149,57,61,4,4,58,62
Classic (after opt),train,SNU16,50-149,57,57,0,0,58,58
Classic (after opt),val,NCI-H2170,50-149,58,55,3,-3,59,56
Classic (after opt),val,NCI-H2170,50-149,58,41,17,-17,59,42
Classic (after opt),train,NCI-H2170,50-149,58,45,13,-13,59,46
Classic (after opt),train,NCI-H2170,50-149,58,74,16,16,59,75
Classic (after opt),val,COLO320DM,50-149,59,69,10,10,60,70
Classic (after opt),train,COLO320DM,50-149,59,54,5,-5,60,55
Classic (after opt),train,COLO320DM,50-149,59,57,2,-2,60,58
Classic (after opt),test,NCI-H2170,50-149,59,103,44,44,60,104
Classic (after opt),train,NCI-H2170,50-149,60,59,1,-1,61,60
Classic (after opt),train,NCI-H2170,50-149,60,46,14,-14,61,47
Classic (after opt),train,COLO320DM,50-149,61,56,5,-5,62,57
Classic (after opt),test,NCI-H2170,50-149,61,55,6,-6,62,56
Classic (after opt),train,NCI-H2170,50-149,61,56,5,-5,62,57
Classic (after opt),train,NCI-H2170,50-149,61,45,16,-16,62,46
Classic (after opt),test,NCI-H2170,50-149,61,113,52,52,62,114
Classic (after opt),val,NCI-H2170,50-149,61,57,4,-4,62,58
Classic (after opt),test,NCI-H2170,50-149,62,66,4,4,63,67
Classic (after opt),train,NCI-H2170,50-149,62,59,3,-3,63,60
Classic (after opt),train,NCI-H2170,50-149,62,56,6,-6,63,57
Classic (after opt),train,NCI-H2170,50-149,62,63,1,1,63,64
Classic (after opt),train,COLO320DM,50-149,63,79,16,16,64,80
Classic (after opt),train,NCI-H2170,50-149,63,73,10,10,64,74
Classic (after opt),test,NCI-H2170,50-149,63,45,18,-18,64,46
Classic (after opt),train,NCI-H2170,50-149,63,58,5,-5,64,59
Classic (after opt),train,NCI-H2170,50-149,64,34,30,-30,65,35
Classic (after opt),train,NCI-H2170,50-149,64,97,33,33,65,98
Classic (after opt),train,NCI-H2170,50-149,64,78,14,14,65,79
Classic (after opt),test,NCI-H2170,50-149,64,69,5,5,65,70
Classic (after opt),train,COLO320DM,50-149,65,51,14,-14,66,52
Classic (after opt),train,NCI-H2170,50-149,65,111,46,46,66,112
Classic (after opt),test,NCI-H2170,50-149,65,61,4,-4,66,62
Classic (after opt),train,NCI-H2170,50-149,65,76,11,11,66,77
Classic (after opt),train,NCI-H2170,50-149,65,57,8,-8,66,58
Classic (after opt),train,NCI-H2170,50-149,66,87,21,21,67,88
Classic (after opt),train,NCI-H2170,50-149,66,44,22,-22,67,45
Classic (after opt),train,NCI-H2170,50-149,66,55,11,-11,67,56
Classic (after opt),test,NCI-H2170,50-149,67,87,20,20,68,88
Classic (after opt),test,NCI-H2170,50-149,67,61,6,-6,68,62
Classic (after opt),train,NCI-H2170,50-149,67,54,13,-13,68,55
Classic (after opt),train,NCI-H2170,50-149,68,47,21,-21,69,48
Classic (after opt),train,NCI-H2170,50-149,69,171,102,102,70,172
Classic (after opt),train,NCI-H2170,50-149,69,73,4,4,70,74
Classic (after opt),train,NCI-H2170,50-149,69,58,11,-11,70,59
Classic (after opt),train,NCI-H2170,50-149,69,247,178,178,70,248
Classic (after opt),train,NCI-H2170,50-149,69,73,4,4,70,74
Classic (after opt),train,NCI-H2170,50-149,70,115,45,45,71,116
Classic (after opt),train,NCI-H2170,50-149,70,68,2,-2,71,69
Classic (after opt),val,NCI-H2170,50-149,70,46,24,-24,71,47
Classic (after opt),train,NCI-H2170,50-149,70,74,4,4,71,75
Classic (after opt),train,NCI-H2170,50-149,70,71,1,1,71,72
Classic (after opt),val,COLO320DM,50-149,71,53,18,-18,72,54
Classic (after opt),train,NCI-H2170,50-149,71,109,38,38,72,110
Classic (after opt),val,NCI-H2170,50-149,71,49,22,-22,72,50
Classic (after opt),train,NCI-H2170,50-149,71,47,24,-24,72,48
Classic (after opt),test,NCI-H2170,50-149,71,64,7,-7,72,65
Classic (after opt),train,NCI-H2170,50-149,71,50,21,-21,72,51
Classic (after opt),train,NCI-H2170,50-149,71,60,11,-11,72,61
Classic (after opt),test,NCI-H716,50-149,71,99,28,28,72,100
Classic (after opt),train,NCI-H2170,50-149,72,59,13,-13,73,60
Classic (after opt),test,NCI-H2170,50-149,72,93,21,21,73,94
Classic (after opt),train,NCI-H716,50-149,72,70,2,-2,73,71
Classic (after opt),train,NCI-H2170,50-149,73,61,12,-12,74,62
Classic (after opt),train,NCI-H2170,50-149,73,157,84,84,74,158
Classic (after opt),train,NCI-H2170,50-149,73,63,10,-10,74,64
Classic (after opt),train,COLO320DM,50-149,74,71,3,-3,75,72
Classic (after opt),val,COLO320DM,50-149,74,78,4,4,75,79
Classic (after opt),train,NCI-H2170,50-149,74,56,18,-18,75,57
Classic (after opt),train,NCI-H2170,50-149,74,72,2,-2,75,73
Classic (after opt),train,NCI-H2170,50-149,74,49,25,-25,75,50
Classic (after opt),train,NCI-H2170,50-149,74,70,4,-4,75,71
Classic (after opt),train,NCI-H2170,50-149,75,86,11,11,76,87
Classic (after opt),train,NCI-H2170,50-149,75,68,7,-7,76,69
Classic (after opt),train,NCI-H2170,50-149,75,70,5,-5,76,71
Classic (after opt),val,NCI-H2170,50-149,75,58,17,-17,76,59
Classic (after opt),train,NCI-H2170,50-149,75,62,13,-13,76,63
Classic (after opt),train,NCI-H2170,50-149,75,50,25,-25,76,51
Classic (after opt),train,NCI-H2170,50-149,75,74,1,-1,76,75
Classic (after opt),train,NCI-H2170,50-149,76,191,115,115,77,192
Classic (after opt),train,NCI-H2170,50-149,76,104,28,28,77,105
Classic (after opt),train,NCI-H2170,50-149,76,71,5,-5,77,72
Classic (after opt),train,NCI-H2170,50-149,76,63,13,-13,77,64
Classic (after opt),train,NCI-H2170,50-149,76,42,34,-34,77,43
Classic (after opt),train,NCI-H2170,50-149,76,77,1,1,77,78
Classic (after opt),train,NCI-H716,50-149,76,84,8,8,77,85
Classic (after opt),train,NCI-H2170,50-149,77,444,367,367,78,445
Classic (after opt),train,NCI-H2170,50-149,77,63,14,-14,78,64
Classic (after opt),val,NCI-H2170,50-149,77,48,29,-29,78,49
Classic (after opt),train,SNU16,50-149,77,79,2,2,78,80
Classic (after opt),val,NCI-H2170,50-149,78,92,14,14,79,93
Classic (after opt),test,NCI-H2170,50-149,78,63,15,-15,79,64
Classic (after opt),train,NCI-H2170,50-149,78,54,24,-24,79,55
Classic (after opt),train,NCI-H2170,50-149,78,57,21,-21,79,58
Classic (after opt),train,NCI-H2170,50-149,78,77,1,-1,79,78
Classic (after opt),train,NCI-H2170,50-149,78,53,25,-25,79,54
Classic (after opt),train,NCI-H2170,50-149,78,63,15,-15,79,64
Classic (after opt),train,NCI-H2170,50-149,78,120,42,42,79,121
Classic (after opt),test,NCI-H2170,50-149,79,77,2,-2,80,78
Classic (after opt),val,NCI-H2170,50-149,79,90,11,11,80,91
Classic (after opt),train,NCI-H2170,50-149,79,75,4,-4,80,76
Classic (after opt),test,NCI-H2170,50-149,79,73,6,-6,80,74
Classic (after opt),train,NCI-H2170,50-149,79,114,35,35,80,115
Classic (after opt),train,COLO320DM,50-149,80,76,4,-4,81,77
Classic (after opt),test,NCI-H2170,50-149,80,51,29,-29,81,52
Classic (after opt),train,NCI-H2170,50-149,81,83,2,2,82,84
Classic (after opt),train,NCI-H2170,50-149,81,73,8,-8,82,74
Classic (after opt),val,NCI-H2170,50-149,81,65,16,-16,82,66
Classic (after opt),val,NCI-H2170,50-149,81,73,8,-8,82,74
Classic (after opt),train,NCI-H2170,50-149,82,67,15,-15,83,68
Classic (after opt),train,NCI-H2170,50-149,82,86,4,4,83,87
Classic (after opt),train,COLO320DM,50-149,83,72,11,-11,84,73
Classic (after opt),test,NCI-H2170,50-149,83,123,40,40,84,124
Classic (after opt),train,NCI-H2170,50-149,83,105,22,22,84,106
Classic (after opt),train,NCI-H2170,50-149,83,77,6,-6,84,78
Classic (after opt),test,NCI-H2170,50-149,84,82,2,-2,85,83
Classic (after opt),train,NCI-H2170,50-149,84,67,17,-17,85,68
Classic (after opt),train,NCI-H2170,50-149,84,51,33,-33,85,52
Classic (after opt),test,NCI-H2170,50-149,84,101,17,17,85,102
Classic (after opt),val,NCI-H2170,50-149,85,98,13,13,86,99
Classic (after opt),test,NCI-H2170,50-149,85,64,21,-21,86,65
Classic (after opt),test,NCI-H2170,50-149,85,73,12,-12,86,74
Classic (after opt),train,NCI-H2170,50-149,85,83,2,-2,86,84
Classic (after opt),train,NCI-H2170,50-149,86,127,41,41,87,128
Classic (after opt),val,NCI-H2170,50-149,86,85,1,-1,87,86
Classic (after opt),train,NCI-H2170,50-149,86,61,25,-25,87,62
Classic (after opt),train,NCI-H2170,50-149,86,70,16,-16,87,71
Classic (after opt),train,NCI-H2170,50-149,86,64,22,-22,87,65
Classic (after opt),train,NCI-H2170,50-149,86,72,14,-14,87,73
Classic (after opt),test,NCI-H2170,50-149,86,173,87,87,87,174
Classic (after opt),train,COLO320DM,50-149,87,93,6,6,88,94
Classic (after opt),train,NCI-H2170,50-149,87,77,10,-10,88,78
Classic (after opt),test,NCI-H2170,50-149,87,61,26,-26,88,62
Classic (after opt),val,NCI-H2170,50-149,87,60,27,-27,88,61
Classic (after opt),test,NCI-H2170,50-149,87,62,25,-25,88,63
Classic (after opt),train,NCI-H2170,50-149,87,75,12,-12,88,76
Classic (after opt),train,NCI-H2170,50-149,88,134,46,46,89,135
Classic (after opt),train,NCI-H2170,50-149,88,118,30,30,89,119
Classic (after opt),train,NCI-H2170,50-149,88,60,28,-28,89,61
Classic (after opt),train,NCI-H2170,50-149,88,62,26,-26,89,63
Classic (after opt),train,NCI-H2170,50-149,88,76,12,-12,89,77
Classic (after opt),train,COLO320DM,50-149,89,105,16,16,90,106
Classic (after opt),val,NCI-H2170,50-149,89,78,11,-11,90,79
Classic (after opt),val,NCI-H2170,50-149,89,93,4,4,90,94
Classic (after opt),test,NCI-H2170,50-149,89,76,13,-13,90,77
Classic (after opt),train,NCI-H2170,50-149,89,83,6,-6,90,84
Classic (after opt),test,NCI-H2170,50-149,89,58,31,-31,90,59
Classic (after opt),train,NCI-H716,50-149,89,85,4,-4,90,86
Classic (after opt),train,NCI-H2170,50-149,90,120,30,30,91,121
Classic (after opt),train,NCI-H2170,50-149,90,74,16,-16,91,75
Classic (after opt),test,NCI-H2170,50-149,90,108,18,18,91,109
Classic (after opt),test,NCI-H2170,50-149,90,93,3,3,91,94
Classic (after opt),train,SNU16,50-149,90,82,8,-8,91,83
Classic (after opt),test,COLO320DM,50-149,91,106,15,15,92,107
Classic (after opt),train,NCI-H2170,50-149,91,122,31,31,92,123
Classic (after opt),val,NCI-H2170,50-149,91,175,84,84,92,176
Classic (after opt),val,NCI-H2170,50-149,91,64,27,-27,92,65
Classic (after opt),train,NCI-H2170,50-149,92,145,53,53,93,146
Classic (after opt),val,NCI-H2170,50-149,92,78,14,-14,93,79
Classic (after opt),val,NCI-H2170,50-149,92,69,23,-23,93,70
Classic (after opt),train,NCI-H2170,50-149,93,119,26,26,94,120
Classic (after opt),train,NCI-H2170,50-149,93,79,14,-14,94,80
Classic (after opt),train,NCI-H2170,50-149,93,149,56,56,94,150
Classic (after opt),test,NCI-H2170,50-149,93,70,23,-23,94,71
Classic (after opt),train,NCI-H2170,50-149,93,68,25,-25,94,69
Classic (after opt),test,NCI-H2170,50-149,93,81,12,-12,94,82
Classic (after opt),train,NCI-H2170,50-149,93,64,29,-29,94,65
Classic (after opt),train,NCI-H2170,50-149,93,76,17,-17,94,77
Classic (after opt),val,NCI-H2170,50-149,94,121,27,27,95,122
Classic (after opt),val,NCI-H2170,50-149,94,66,28,-28,95,67
Classic (after opt),val,NCI-H2170,50-149,94,53,41,-41,95,54
Classic (after opt),train,NCI-H2170,50-149,94,70,24,-24,95,71
Classic (after opt),train,NCI-H2170,50-149,94,72,22,-22,95,73
Classic (after opt),train,NCI-H2170,50-149,94,77,17,-17,95,78
Classic (after opt),train,NCI-H2170,50-149,94,102,8,8,95,103
Classic (after opt),train,NCI-H2170,50-149,95,122,27,27,96,123
Classic (after opt),train,NCI-H2170,50-149,95,158,63,63,96,159
Classic (after opt),train,NCI-H2170,50-149,96,106,10,10,97,107
Classic (after opt),train,NCI-H2170,50-149,96,115,19,19,97,116
Classic (after opt),test,NCI-H2170,50-149,96,81,15,-15,97,82
Classic (after opt),val,NCI-H2170,50-149,96,76,20,-20,97,77
Classic (after opt),train,NCI-H2170,50-149,96,75,21,-21,97,76
Classic (after opt),train,NCI-H2170,50-149,97,89,8,-8,98,90
Classic (after opt),train,NCI-H2170,50-149,97,106,9,9,98,107
Classic (after opt),train,NCI-H2170,50-149,97,83,14,-14,98,84
Classic (after opt),test,NCI-H2170,50-149,97,74,23,-23,98,75
Classic (after opt),train,NCI-H2170,50-149,97,71,26,-26,98,72
Classic (after opt),train,NCI-H2170,50-149,97,82,15,-15,98,83
Classic (after opt),val,SNU16,50-149,97,192,95,95,98,193
Classic (after opt),train,SNU16,50-149,97,119,22,22,98,120
Classic (after opt),train,NCI-H2170,50-149,98,97,1,-1,99,98
Classic (after opt),train,NCI-H2170,50-149,98,141,43,43,99,142
Classic (after opt),train,NCI-H2170,50-149,98,107,9,9,99,108
Classic (after opt),train,NCI-H2170,50-149,98,80,18,-18,99,81
Classic (after opt),train,NCI-H2170,50-149,99,137,38,38,100,138
Classic (after opt),train,NCI-H2170,50-149,99,67,32,-32,100,68
Classic (after opt),train,NCI-H2170,50-149,99,83,16,-16,100,84
Classic (after opt),train,NCI-H2170,50-149,99,83,16,-16,100,84
Classic (after opt),train,NCI-H2170,50-149,99,72,27,-27,100,73
Classic (after opt),train,NCI-H2170,50-149,99,89,10,-10,100,90
Classic (after opt),train,NCI-H2170,50-149,99,71,28,-28,100,72
Classic (after opt),train,NCI-H2170,50-149,99,67,32,-32,100,68
Classic (after opt),train,NCI-H2170,50-149,99,133,34,34,100,134
Classic (after opt),train,NCI-H2170,50-149,100,102,2,2,101,103
Classic (after opt),train,COLO320DM,50-149,101,83,18,-18,102,84
Classic (after opt),train,NCI-H2170,50-149,101,103,2,2,102,104
Classic (after opt),train,NCI-H2170,50-149,101,76,25,-25,102,77
Classic (after opt),test,NCI-H2170,50-149,101,88,13,-13,102,89
Classic (after opt),train,NCI-H2170,50-149,101,71,30,-30,102,72
Classic (after opt),train,NCI-H2170,50-149,101,76,25,-25,102,77
Classic (after opt),train,NCI-H2170,50-149,101,82,19,-19,102,83
Classic (after opt),test,NCI-H716,50-149,101,105,4,4,102,106
Classic (after opt),train,SNU16,50-149,101,148,47,47,102,149
Classic (after opt),train,SNU16,50-149,101,118,17,17,102,119
Classic (after opt),test,NCI-H2170,50-149,102,118,16,16,103,119
Classic (after opt),train,NCI-H2170,50-149,102,86,16,-16,103,87
Classic (after opt),val,NCI-H2170,50-149,102,79,23,-23,103,80
Classic (after opt),train,NCI-H2170,50-149,102,108,6,6,103,109
Classic (after opt),val,NCI-H2170,50-149,102,77,25,-25,103,78
Classic (after opt),test,NCI-H2170,50-149,103,102,1,-1,104,103
Classic (after opt),val,NCI-H2170,50-149,103,102,1,-1,104,103
Classic (after opt),test,NCI-H2170,50-149,103,72,31,-31,104,73
Classic (after opt),val,NCI-H2170,50-149,103,93,10,-10,104,94
Classic (after opt),train,NCI-H2170,50-149,103,61,42,-42,104,62
Classic (after opt),train,NCI-H2170,50-149,103,152,49,49,104,153
Classic (after opt),train,NCI-H2170,50-149,104,158,54,54,105,159
Classic (after opt),train,NCI-H2170,50-149,104,95,9,-9,105,96
Classic (after opt),val,NCI-H2170,50-149,104,73,31,-31,105,74
Classic (after opt),train,NCI-H2170,50-149,105,97,8,-8,106,98
Classic (after opt),train,NCI-H2170,50-149,105,113,8,8,106,114
Classic (after opt),val,NCI-H2170,50-149,105,80,25,-25,106,81
Classic (after opt),train,NCI-H2170,50-149,105,82,23,-23,106,83
Classic (after opt),train,NCI-H2170,50-149,105,89,16,-16,106,90
Classic (after opt),test,NCI-H2170,50-149,105,115,10,10,106,116
Classic (after opt),train,SNU16,50-149,105,106,1,1,106,107
Classic (after opt),train,NCI-H2170,50-149,106,203,97,97,107,204
Classic (after opt),train,NCI-H2170,50-149,106,131,25,25,107,132
Classic (after opt),train,NCI-H2170,50-149,106,125,19,19,107,126
Classic (after opt),val,NCI-H2170,50-149,106,87,19,-19,107,88
Classic (after opt),test,COLO320DM,50-149,107,93,14,-14,108,94
Classic (after opt),train,NCI-H2170,50-149,107,140,33,33,108,141
Classic (after opt),val,NCI-H2170,50-149,107,74,33,-33,108,75
Classic (after opt),train,NCI-H2170,50-149,107,100,7,-7,108,101
Classic (after opt),train,NCI-H2170,50-149,107,118,11,11,108,119
Classic (after opt),test,NCI-H2170,50-149,107,133,26,26,108,134
Classic (after opt),train,NCI-H2170,50-149,107,97,10,-10,108,98
Classic (after opt),train,NCI-H2170,50-149,108,130,22,22,109,131
Classic (after opt),val,NCI-H2170,50-149,108,81,27,-27,109,82
Classic (after opt),train,NCI-H2170,50-149,109,74,35,-35,110,75
Classic (after opt),train,NCI-H2170,50-149,109,109,0,0,110,110
Classic (after opt),train,NCI-H2170,50-149,109,97,12,-12,110,98
Classic (after opt),test,NCI-H2170,50-149,110,86,24,-24,111,87
Classic (after opt),val,NCI-H2170,50-149,110,92,18,-18,111,93
Classic (after opt),val,NCI-H2170,50-149,110,255,145,145,111,256
Classic (after opt),train,NCI-H2170,50-149,110,83,27,-27,111,84
Classic (after opt),val,NCI-H2170,50-149,110,88,22,-22,111,89
Classic (after opt),train,NCI-H2170,50-149,110,70,40,-40,111,71
Classic (after opt),test,NCI-H716,50-149,110,111,1,1,111,112
Classic (after opt),train,SNU16,50-149,110,111,1,1,111,112
Classic (after opt),train,NCI-H2170,50-149,111,84,27,-27,112,85
Classic (after opt),train,NCI-H2170,50-149,111,122,11,11,112,123
Classic (after opt),train,NCI-H2170,50-149,111,122,11,11,112,123
Classic (after opt),train,NCI-H2170,50-149,111,128,17,17,112,129
Classic (after opt),train,SNU16,50-149,111,102,9,-9,112,103
Classic (after opt),train,NCI-H2170,50-149,112,120,8,8,113,121
Classic (after opt),train,NCI-H2170,50-149,112,82,30,-30,113,83
Classic (after opt),train,SNU16,50-149,112,155,43,43,113,156
Classic (after opt),train,NCI-H2170,50-149,113,120,7,7,114,121
Classic (after opt),val,NCI-H2170,50-149,113,107,6,-6,114,108
Classic (after opt),train,NCI-H2170,50-149,114,78,36,-36,115,79
Classic (after opt),train,NCI-H2170,50-149,114,102,12,-12,115,103
Classic (after opt),train,NCI-H2170,50-149,115,106,9,-9,116,107
Classic (after opt),train,NCI-H2170,50-149,115,130,15,15,116,131
Classic (after opt),val,NCI-H2170,50-149,115,100,15,-15,116,101
Classic (after opt),train,NCI-H2170,50-149,115,112,3,-3,116,113
Classic (after opt),train,NCI-H2170,50-149,115,141,26,26,116,142
Classic (after opt),train,NCI-H2170,50-149,115,81,34,-34,116,82
Classic (after opt),train,NCI-H2170,50-149,116,97,19,-19,117,98
Classic (after opt),train,NCI-H2170,50-149,116,95,21,-21,117,96
Classic (after opt),test,NCI-H2170,50-149,116,95,21,-21,117,96
Classic (after opt),train,NCI-H2170,50-149,116,76,40,-40,117,77
Classic (after opt),train,NCI-H716,50-149,116,117,1,1,117,118
Classic (after opt),train,NCI-H2170,50-149,117,146,29,29,118,147
Classic (after opt),train,NCI-H2170,50-149,117,137,20,20,118,138
Classic (after opt),train,NCI-H2170,50-149,117,94,23,-23,118,95
Classic (after opt),train,NCI-H2170,50-149,118,169,51,51,119,170
Classic (after opt),train,SNU16,50-149,118,99,19,-19,119,100
Classic (after opt),train,NCI-H2170,50-149,119,108,11,-11,120,109
Classic (after opt),train,NCI-H2170,50-149,119,66,53,-53,120,67
