uid,model,split_manual,cell_line_manual,obj_f1_manual,obj_precision_manual,obj_recall_manual,pred_count_manual,gt_count_manual,pix_dice_manual,split_pred,cell_line_pred,obj_f1_pred,obj_precision_pred,obj_recall_pred,pred_count_pred,gt_count_pred,pix_dice_pred,split,subset,delta_obj_f1,delta_pred_ct,delta_gt_ct
colo320dm_qpcr_jq1_24h_ctrl_21,ecCount (peaks),val,COLO320DM,0.95,0.94999999997625,0.94999999997625,40,40,0.2673076923076923,val,COLO320DM,0.7843137254901961,0.6451612903121748,0.999999999975,62,40,0.2328502415458937,val,val+test (held out),-0.1656862745098039,22,0
colo320dm_qpcr_jq1_24h_ctrl_22,ecCount (peaks),train,COLO320DM,0.8888888888888888,0.9999999999807692,0.7999999999876922,52,65,0.2406311637080868,train,COLO320DM,0.8983050847457628,0.999999999981132,0.815384615372071,53,65,0.288479262672811,train,train (SEEN by ROI model),0.009416195856873921,1,0
colo320dm_qpcr_jq1_24h_ctrl_23,ecCount (peaks),test,COLO320DM,0.9636363636363636,0.999999999981132,0.9298245613871962,56,57,0.2273655547991831,test,COLO320DM,0.954954954954955,0.981481481463306,0.9298245613871962,56,57,0.2632794457274827,test,val+test (held out),-0.008681408681408653,0,0
colo320dm_qpcr_jq1_24h_ctrl_25,ecCount (peaks),train,COLO320DM,0.9622641509433962,0.9622641509252404,0.9622641509252404,54,53,0.2214234363767074,train,COLO320DM,0.9523809523809524,0.9615384615199704,0.9433962263972944,53,53,0.2551521099116781,train,train (SEEN by ROI model),-0.009883198562443796,-1,0
colo320dm_qpcr_jq1_24h_ctrl_26,ecCount (peaks),train,COLO320DM,0.9302325581395348,0.9523809523356008,0.9090909090495868,22,22,0.43006993006993,train,COLO320DM,0.9302325581395348,0.9523809523356008,0.9090909090495868,22,22,0.4330143540669856,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_27,ecCount (peaks),val,COLO320DM,0.9090909090909092,0.9999999999333332,0.8333333332870371,15,18,0.3216783216783216,val,COLO320DM,0.9090909090909092,0.9999999999333332,0.8333333332870371,15,18,0.3284072249589491,val,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_28,ecCount (peaks),train,COLO320DM,0.9393939393939394,0.999999999967742,0.8857142856889797,31,35,0.2377622377622377,train,COLO320DM,0.9393939393939394,0.999999999967742,0.8857142856889797,31,35,0.2601626016260163,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_3,ecCount (peaks),train,COLO320DM,0.9679715302491104,0.9927007299197614,0.944444444437886,146,144,0.2143236074270557,train,COLO320DM,0.9574468085106383,0.9782608695581286,0.9374999999934897,147,144,0.237975592246949,train,train (SEEN by ROI model),-0.010524721738472076,1,0
colo320dm_qpcr_jq1_24h_ctrl_31,ecCount (peaks),val,COLO320DM,0.939929328621908,0.9499999999932144,0.9300699300634262,148,143,0.2067142479513613,val,COLO320DM,0.9152542372881356,0.9310344827505944,0.8999999999925,123,120,0.2445887445887445,val,val+test (held out),-0.024675091333772436,-25,-23
colo320dm_qpcr_jq1_24h_ctrl_33,ecCount (peaks),test,COLO320DM,0.8636363636363636,0.9499999999525,0.7916666666336806,20,24,0.1748251748251748,test,COLO320DM,0.8636363636363636,0.9499999999525,0.7916666666336806,20,24,0.2266009852216748,test,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_35,ecCount (peaks),val,COLO320DM,0.925925925925926,0.9803921568435218,0.8771929824407511,52,57,0.2498235709244883,val,COLO320DM,0.925925925925926,0.9803921568435218,0.8771929824407511,52,57,0.2900538951494365,val,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_36,ecCount (peaks),train,COLO320DM,0.918918918918919,0.98076923075037,0.864406779646366,54,59,0.2586793737236215,train,COLO320DM,0.918918918918919,0.98076923075037,0.864406779646366,54,59,0.2928672649976381,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_37,ecCount (peaks),train,COLO320DM,0.8571428571428571,0.9999999998888888,0.7499999999375,9,12,0.4175824175824176,train,COLO320DM,0.8571428571428571,0.9999999998888888,0.7499999999375,9,12,0.4514435695538057,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_38,ecCount (peaks),train,COLO320DM,0.9876543209876544,0.999999999975,0.9756097560737657,40,41,0.2298195631528964,train,COLO320DM,0.9876543209876544,0.999999999975,0.9756097560737657,40,41,0.2752772341813437,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_39,ecCount (peaks),test,COLO320DM,0.9397590361445785,0.9285714285493198,0.9512195121719216,49,41,0.2547008547008547,test,COLO320DM,0.9041095890410958,0.9428571428302042,0.8684210526087258,41,38,0.2397891963109354,test,val+test (held out),-0.03564944710348261,-8,-3
colo320dm_qpcr_jq1_24h_ctrl_4,ecCount (peaks),train,COLO320DM,0.967741935483871,0.9574468084902672,0.978260869543951,47,46,0.2448304383788254,train,COLO320DM,0.967741935483871,0.9574468084902672,0.978260869543951,47,46,0.2820078962210942,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_41,ecCount (peaks),train,COLO320DM,0.9312169312169312,0.9999999999886364,0.8712871287042446,90,101,0.2343938783729359,train,COLO320DM,0.925531914893617,0.9999999999885058,0.8613861386053328,88,101,0.2824256035934868,train,train (SEEN by ROI model),-0.005685016323314196,-2,0
colo320dm_qpcr_jq1_24h_ctrl_43,ecCount (peaks),train,COLO320DM,0.9534883720930232,0.9761904761672336,0.9318181817970042,43,44,0.3748894783377542,train,COLO320DM,0.9534883720930232,0.9761904761672336,0.9318181817970042,43,44,0.3582270795385549,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_47,ecCount (peaks),test,COLO320DM,0.8085106382978723,0.7599999999696,0.8636363635971074,26,22,0.25,test,COLO320DM,0.8085106382978723,0.7599999999696,0.8636363635971074,26,22,0.2692307692307692,test,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_48,ecCount (peaks),test,COLO320DM,0.9523809523809524,0.9677419354526536,0.9374999999707032,31,32,0.1929181929181929,test,COLO320DM,0.9523809523809524,0.9677419354526536,0.9374999999707032,31,32,0.2384550797649034,test,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_49,ecCount (peaks),train,COLO320DM,0.9428571428571428,0.9999999999848485,0.8918918918798393,67,74,0.226950354609929,train,COLO320DM,0.9428571428571428,0.9999999999848485,0.8918918918798393,67,74,0.2768297307546454,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_50,ecCount (peaks),train,COLO320DM,0.8333333333333334,0.9999999998,0.7142857141836735,5,7,0.358974358974359,train,COLO320DM,0.8333333333333334,0.9999999998,0.7142857141836735,5,7,0.4259259259259259,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_55,ecCount (peaks),train,COLO320DM,0.9117647058823528,0.9117647058555364,0.9117647058555364,36,34,0.2131868131868131,train,COLO320DM,0.8985507246376812,0.8857142856889797,0.9117647058555364,36,34,0.2472567666422823,train,train (SEEN by ROI model),-0.013213981244671658,0,0
colo320dm_qpcr_jq1_24h_ctrl_58,ecCount (peaks),train,COLO320DM,0.9333333333333332,0.9333333332711112,0.9333333332711112,15,15,0.3179487179487179,train,COLO320DM,0.9032258064516128,0.8749999999453125,0.9333333332711112,16,15,0.3361344537815126,train,train (SEEN by ROI model),-0.03010752688172047,1,0
colo320dm_qpcr_jq1_24h_ctrl_65,ecCount (peaks),train,COLO320DM,0.912280701754386,0.9629629629272975,0.8666666666377778,27,30,0.2887989203778677,train,COLO320DM,0.912280701754386,0.9285714285382654,0.8965517241070154,28,29,0.2971216341689879,train,train (SEEN by ROI model),0.0,1,-1
colo320dm_qpcr_jq1_24h_ctrl_66_a,ecCount (peaks),train,COLO320DM,0.9310344827586208,0.9818181818003306,0.8852459016248321,58,61,0.2417582417582417,train,COLO320DM,0.918918918918919,0.98076923075037,0.864406779646366,54,59,0.2913165266106443,train,train (SEEN by ROI model),-0.012115563839701804,-4,-2
colo320dm_qpcr_jq1_24h_ctrl_67,ecCount (peaks),test,COLO320DM,0.9555555555555556,0.9662921348206034,0.9450549450445598,93,91,0.3193979933110368,test,COLO320DM,0.9555555555555556,0.9662921348206034,0.9450549450445598,93,91,0.3340935005701254,test,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_69,ecCount (peaks),test,COLO320DM,0.8865979381443299,0.9999999999767444,0.7962962962815501,45,54,0.2331002331002331,test,COLO320DM,0.8865979381443299,0.9999999999767444,0.7962962962815501,45,54,0.2900930487137383,test,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_72,ecCount (peaks),train,COLO320DM,0.9722222222222222,0.9999999999714286,0.94594594592038,36,37,0.3814541622760801,train,COLO320DM,0.9722222222222222,0.9999999999714286,0.94594594592038,36,37,0.3968139029688631,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_75,ecCount (peaks),train,COLO320DM,0.8863636363636364,0.9512195121719216,0.8297872340248982,48,47,0.2251012145748988,train,COLO320DM,0.8837209302325582,0.94999999997625,0.8260869565037808,46,46,0.2723112128146453,train,train (SEEN by ROI model),-0.0026427061310781985,-2,-1
colo320dm_qpcr_jq1_24h_ctrl_78_a,ecCount (peaks),train,COLO320DM,0.9454545454545454,0.8965517241070154,0.9999999999615384,30,26,0.3598901098901099,train,COLO320DM,0.4848484848484848,0.3199999999957333,0.9999999999583332,76,24,0.162748643761302,train,train (SEEN by ROI model),-0.46060606060606063,46,-2
colo320dm_qpcr_jq1_24h_ctrl_78_b,ecCount (peaks),train,COLO320DM,0.9615384615384616,0.9615384615199704,0.9615384615199704,52,52,0.2662721893491124,train,COLO320DM,0.7619047619047619,0.6315789473601108,0.9599999999808,76,50,0.24,train,train (SEEN by ROI model),-0.1996336996336997,24,-2
colo320dm_qpcr_jq1_24h_ctrl_79,ecCount (peaks),train,COLO320DM,0.9523809523809524,0.9090909090082644,0.9999999999,11,10,0.4175824175824176,train,COLO320DM,0.9523809523809524,0.9090909090082644,0.9999999999,11,10,0.4246913580246914,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_8,ecCount (peaks),train,COLO320DM,0.9315068493150684,0.9189189188940834,0.94444444441821,38,36,0.2266112266112266,train,COLO320DM,0.9315068493150684,0.9189189188940834,0.94444444441821,38,36,0.2708039492242595,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_81,ecCount (peaks),train,COLO320DM,0.9914529914529916,0.9999999999827588,0.9830508474409652,61,59,0.2679487179487179,train,COLO320DM,0.991304347826087,0.9999999999824564,0.9827586206727112,60,58,0.290150842945874,train,train (SEEN by ROI model),-0.00014864362690458766,-1,-1
colo320dm_qpcr_jq1_24h_ctrl_82,ecCount (peaks),train,COLO320DM,0.9,0.89999999997,0.89999999997,31,30,0.2471626733921816,train,COLO320DM,0.9,0.89999999997,0.89999999997,31,30,0.2746781115879828,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_87_a,ecCount (peaks),test,COLO320DM,0.896551724137931,0.9629629629272975,0.8387096773922997,27,31,0.2068965517241379,test,COLO320DM,0.2702702702702703,0.1639344262268207,0.7692307691715976,61,13,0.080607476635514,test,val+test (held out),-0.6262814538676608,34,-18
colo320dm_qpcr_jq1_24h_ctrl_87_b,ecCount (peaks),train,COLO320DM,0.945054945054945,0.9347826086753308,0.955555555534321,51,45,0.2403846153846154,train,COLO320DM,0.8514851485148515,0.7678571428434312,0.955555555534321,61,45,0.2211808809746954,train,train (SEEN by ROI model),-0.09356979654009356,10,0
colo320dm_qpcr_jq1_24h_ctrl_88,ecCount (peaks),train,COLO320DM,0.9904761904761904,0.9999999999807692,0.9811320754531864,53,53,0.2641509433962264,train,COLO320DM,0.981132075471698,0.9811320754531864,0.9811320754531864,54,53,0.2864149092692496,train,train (SEEN by ROI model),-0.009344115004492393,1,0
colo320dm_qpcr_jq1_24h_ctrl_89,ecCount (peaks),train,COLO320DM,0.9375,0.8823529411245675,0.9999999999333332,18,15,0.289044289044289,train,COLO320DM,0.9375,0.8823529411245675,0.9999999999333332,18,15,0.3193798449612403,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_9,ecCount (peaks),train,COLO320DM,0.9787234042553192,0.9583333332934028,0.9999999999565218,24,23,0.3240589198036006,train,COLO320DM,0.9787234042553192,0.9583333332934028,0.9999999999565218,24,23,0.3403781979977753,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_90,ecCount (peaks),train,COLO320DM,0.9772727272727272,0.9885057471150746,0.9662921348206034,94,89,0.230348886086591,train,COLO320DM,0.9770114942528736,0.9883720930117632,0.9659090908981146,92,88,0.2612456747404844,train,train (SEEN by ROI model),-0.0002612330198535906,-2,-1
colo320dm_qpcr_jq1_24h_ctrl_92,ecCount (peaks),train,COLO320DM,0.9345794392523364,0.9615384615199704,0.9090909090743802,57,55,0.2637362637362637,train,COLO320DM,0.9345794392523364,0.9615384615199704,0.9090909090743802,57,55,0.2869158878504673,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_95,ecCount (peaks),train,COLO320DM,0.96875,0.9687499999697268,0.9687499999697268,32,32,0.2644230769230769,train,COLO320DM,0.96875,0.9687499999697268,0.9687499999697268,32,32,0.2911184210526316,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_96,ecCount (peaks),test,COLO320DM,0.8636363636363636,0.9743589743339908,0.775510204065806,41,49,0.229059829059829,test,COLO320DM,0.8636363636363636,0.9743589743339908,0.775510204065806,41,49,0.2659446450060168,test,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_97,ecCount (peaks),train,COLO320DM,0.96,0.9545454545346074,0.9655172413682124,89,87,0.2377622377622377,train,COLO320DM,0.9545454545454546,0.9438202247084964,0.9655172413682124,90,87,0.2555456965394853,train,train (SEEN by ROI model),-0.005454545454545379,1,0
colo320dm_qpcr_jq1_24h_ctrl_99,ecCount (peaks),val,COLO320DM,0.9798657718120806,0.9733333333203557,0.9864864864731556,77,74,0.2761079979623026,val,COLO320DM,0.9798657718120806,0.9733333333203557,0.9864864864731556,77,74,0.3138205749913405,val,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_dmso_104,ecCount (peaks),train,COLO320DM,0.0,0.0,0.0,3,4,0.0,train,COLO320DM,0.0,0.0,0.0,3,4,0.0,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_dmso_111,ecCount (peaks),test,COLO320DM,0.0444444444444444,0.0243902439018441,0.2499999999375,41,4,0.0,test,COLO320DM,0.0444444444444444,0.0243902439018441,0.2499999999375,41,4,0.0,test,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_dmso_49,ecCount (peaks),train,COLO320DM,0.0327868852459016,0.0166666666663888,0.999999999,60,1,0.0,train,COLO320DM,0.0327868852459016,0.0166666666663888,0.999999999,60,1,0.0,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_dmso_6,ecCount (peaks),train,COLO320DM,0.1333333333333333,0.0769230769201183,0.499999999875,26,4,0.0,train,COLO320DM,0.1333333333333333,0.0769230769201183,0.499999999875,26,4,0.0,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_dmso_88,ecCount (peaks),val,COLO320DM,0.0769230769230769,0.0454545454524793,0.2499999999375,22,4,0.0,val,COLO320DM,0.0,0.0,0.0,18,3,0.0,val,val+test (held out),-0.0769230769230769,-4,-1
ncih2170_antibiotics_blank_ctrl_1,ecCount (peaks),train,NCI-H2170,0.9873949579831932,0.975103734435788,0.9999999999957448,242,235,0.3357522980164489,train,NCI-H2170,0.9872881355932204,0.9748953974854608,0.9999999999957082,240,233,0.3690331155166685,train,train (SEEN by ROI model),-0.00010682238997283822,-2,-2
ncih2170_antibiotics_blank_ctrl_100,ecCount (peaks),test,NCI-H2170,0.9375,0.9999999999888888,0.88235294116782,90,102,0.2171474358974359,test,NCI-H2170,0.8854166666666666,0.9139784946138282,0.858585858577186,93,99,0.2492384381057878,test,val+test (held out),-0.05208333333333337,3,-3
ncih2170_antibiotics_blank_ctrl_101,ecCount (peaks),val,NCI-H2170,0.981203007518797,0.9812030075151082,0.9812030075151082,269,266,0.2240115025161754,val,NCI-H2170,0.9700374531835206,0.9628252788068296,0.9773584905623496,272,265,0.2604197169350903,val,val+test (held out),-0.011165554335276329,3,-1
ncih2170_antibiotics_blank_ctrl_102,ecCount (peaks),train,NCI-H2170,0.9775,0.9824120602990392,0.9726368159179786,400,402,0.2346057932092844,train,NCI-H2170,0.9836477987421384,0.9923857867995116,0.9750623441372194,396,401,0.2818765301396149,train,train (SEEN by ROI model),0.006147798742138333,-4,-1
ncih2170_antibiotics_blank_ctrl_103,ecCount (peaks),val,NCI-H2170,0.9569160997732428,0.9906103286338468,0.9254385964871692,215,228,0.2281646119117902,val,NCI-H2170,0.949074074074074,0.9903381642464236,0.9111111111070618,209,225,0.2601006999877195,val,val+test (held out),-0.007842025699168809,-6,-3
ncih2170_antibiotics_blank_ctrl_104,ecCount (peaks),test,NCI-H2170,0.9492635024549918,0.9830508474542948,0.9177215189844375,316,316,0.2188412852969815,test,NCI-H2170,0.9466666666666668,0.982698961934316,0.913183279739829,309,311,0.2536808258588593,test,val+test (held out),-0.002596835788325036,-7,-5
ncih2170_antibiotics_blank_ctrl_105,ecCount (peaks),test,NCI-H2170,0.9826589595375722,0.994152046777812,0.9714285714230204,173,175,0.1666666666666666,test,NCI-H2170,0.8733850129198967,0.7934272300432234,0.97126436781051,215,174,0.171718485755171,test,val+test (held out),-0.10927394661767553,42,-1
ncih2170_antibiotics_blank_ctrl_106,ecCount (peaks),train,NCI-H2170,0.96,0.9696969696871748,0.9504950494955396,99,101,0.2043628013777267,train,NCI-H2170,0.9587628865979382,0.9687499999899088,0.9489795918270512,96,98,0.2544763971785133,train,train (SEEN by ROI model),-0.0012371134020617847,-3,-3
ncih2170_antibiotics_blank_ctrl_107,ecCount (peaks),test,NCI-H2170,0.98220640569395,0.9769911504407488,0.9874776386386628,578,559,0.2187943982139232,test,NCI-H2170,0.974267968056788,0.9665492957729462,0.9821109123417135,577,559,0.2537258509659613,test,val+test (held out),-0.007938437637162066,-1,0
ncih2170_antibiotics_blank_ctrl_109,ecCount (peaks),test,NCI-H2170,0.9178470254957508,0.9473684210470916,0.8901098901049994,181,182,0.209366391184573,test,NCI-H2170,0.8888888888888888,0.97959183672803,0.8135593220293019,150,177,0.2358584187892821,test,val+test (held out),-0.028958136606861973,-31,-5
ncih2170_antibiotics_blank_ctrl_11,ecCount (peaks),val,NCI-H2170,0.9621621621621622,0.9417989417939588,0.9834254143592076,203,181,0.2520032051282051,val,NCI-H2170,0.9343832020997376,0.88999999999555,0.9834254143592076,215,181,0.2639751552795031,val,val+test (held out),-0.02777896006242464,12,0
ncih2170_antibiotics_blank_ctrl_110,ecCount (peaks),test,NCI-H2170,0.9817739975698664,0.9805825242694648,0.982968369827292,413,411,0.2434652725914861,test,NCI-H2170,0.9664268585131894,0.9527186761206792,0.9805352798029672,424,411,0.2766104246377721,test,val+test (held out),-0.01534713905667695,11,0
ncih2170_antibiotics_blank_ctrl_111,ecCount (peaks),train,NCI-H2170,0.8333333333333334,0.9523809523696144,0.740740740733882,84,108,0.1113782051282051,train,NCI-H2170,0.7647058823529411,0.6265060240926115,0.981132075462442,167,106,0.1347019629029353,train,train (SEEN by ROI model),-0.06862745098039225,83,-2
ncih2170_antibiotics_blank_ctrl_113,ecCount (peaks),test,NCI-H2170,0.976401179941003,0.9821958456944148,0.9706744868006726,341,341,0.2420482743063388,test,NCI-H2170,0.9717682020802376,0.9761194029821608,0.9674556212989128,339,338,0.2757871878393051,test,val+test (held out),-0.0046329778607653305,-2,-3
ncih2170_antibiotics_blank_ctrl_114,ecCount (peaks),train,NCI-H2170,0.9636963696369636,0.9798657718055044,0.948051948045792,150,154,0.1902834008097166,train,NCI-H2170,0.9666666666666668,0.9863945578164192,0.9477124182944596,148,153,0.2281596062576902,train,train (SEEN by ROI model),0.002970297029703195,-2,-1
ncih2170_antibiotics_blank_ctrl_115,ecCount (peaks),val,NCI-H2170,0.9635627530364372,0.9754098360575786,0.951999999992384,122,125,0.1544690127686079,val,NCI-H2170,0.9635627530364372,0.9754098360575786,0.951999999992384,122,125,0.1809625668449198,val,val+test (held out),0.0,0,0
ncih2170_antibiotics_blank_ctrl_116,ecCount (peaks),train,NCI-H2170,0.9619377162629758,0.9391891891860162,0.9858156028333837,300,282,0.1929685434840074,train,NCI-H2170,0.9547038327526132,0.9351535836145558,0.9750889679680602,296,281,0.2166981896784652,train,train (SEEN by ROI model),-0.007233883510362582,-4,-1
ncih2170_antibiotics_blank_ctrl_117,ecCount (peaks),train,NCI-H2170,0.9671052631578948,0.9767441860432666,0.9576547231239164,303,307,0.1765447667087011,train,NCI-H2170,0.960655737704918,0.9638157894705138,0.957516339866152,307,306,0.2049257701879344,train,train (SEEN by ROI model),-0.006449525452976834,4,-1
ncih2170_antibiotics_blank_ctrl_118,ecCount (peaks),train,NCI-H2170,0.9656699889258028,0.968888888886736,0.9624724061788908,475,453,0.1535145888594164,train,NCI-H2170,0.9592959295929592,0.9561403508750962,0.9624724061788908,480,453,0.1816557807179143,train,train (SEEN by ROI model),-0.006374059332843629,5,0
ncih2170_antibiotics_blank_ctrl_12,ecCount (peaks),train,NCI-H2170,1.0,0.9999999999918032,0.9999999999918032,123,122,0.234850863422292,train,NCI-H2170,1.0,0.9999999999918032,0.9999999999918032,123,122,0.2660373310448402,train,train (SEEN by ROI model),0.0,0,0
ncih2170_antibiotics_blank_ctrl_13,ecCount (peaks),train,NCI-H2170,0.9826589595375722,0.9770114942416436,0.9883720930117632,89,86,0.2435164835164835,train,NCI-H2170,0.96045197740113,0.9340659340556696,0.9883720930117632,93,86,0.263723496950334,train,train (SEEN by ROI model),-0.022206982136442233,4,0
ncih2170_antibiotics_blank_ctrl_14,ecCount (peaks),train,NCI-H2170,0.919831223628692,0.8560209424061361,0.993920972641356,411,329,0.2066528066528066,train,NCI-H2170,0.9106145251396648,0.8402061855648448,0.99390243902136,418,328,0.2207421503330161,train,train (SEEN by ROI model),-0.009216698489027175,7,-1
ncih2170_antibiotics_blank_ctrl_15,ecCount (peaks),train,NCI-H2170,0.9636803874092008,0.980295566497634,0.9476190476145352,207,210,0.2094221567905778,train,NCI-H2170,0.9078341013824884,0.8794642857103596,0.938095238090771,228,210,0.2328767123287671,train,train (SEEN by ROI model),-0.05584628602671238,21,0
ncih2170_antibiotics_blank_ctrl_16,ecCount (peaks),train,NCI-H2170,0.900523560209424,0.8599999999914,0.9450549450445598,105,91,0.1781789638932496,train,NCI-H2170,0.8865979381443299,0.8349514563025733,0.9450549450445598,108,91,0.2039660056657223,train,train (SEEN by ROI model),-0.013925622065094179,3,0
ncih2170_antibiotics_blank_ctrl_17,ecCount (peaks),train,NCI-H2170,0.965,0.971476510065484,0.9586092715215916,606,604,0.2663699936427209,train,NCI-H2170,0.9471947194719472,0.9425287356306362,0.95190713101003,619,603,0.2881551407458032,train,train (SEEN by ROI model),-0.017805280528052747,13,-1
