uid,split,cell_line,cond,model,pred_count,gt_count,experiment,agent,dose,timepoint_h,arm,batch_group,confirmed,group_label
colo320dm_qpcr_jq1_24h_ctrl_82,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),31,30,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_87_a,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),27,31,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_87_b,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),51,45,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_88,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),53,53,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_89,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),18,15,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_9,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),24,23,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_90,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),94,89,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_92,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),57,55,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_95,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),32,32,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_96,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),41,49,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_97,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),89,87,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_99,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),77,74,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_dmso_104,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),3,4,drug,JQ1,,24.0,DMSO,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_dmso_111,test,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),41,4,drug,JQ1,,24.0,DMSO,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_dmso_49,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),60,1,drug,JQ1,,24.0,DMSO,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_dmso_6,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),26,4,drug,JQ1,,24.0,DMSO,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_dmso_88,val,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),22,4,drug,JQ1,,24.0,DMSO,colo_jq1,True,COLO320DM · JQ1 24 h
ncih2170_antibiotics_blank_ctrl_1,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),242,235,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_100,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),90,102,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_101,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),269,266,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_102,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),400,402,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_103,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),215,228,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_104,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),316,316,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_105,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),173,175,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_106,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),99,101,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_107,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),578,559,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_109,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),181,182,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_11,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),203,181,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_110,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),413,411,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_111,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),84,108,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_113,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),341,341,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_114,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),150,154,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_115,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),122,125,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_116,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),300,282,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_117,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),303,307,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_118,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),475,453,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_12,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),123,122,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_13,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),89,86,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_14,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),411,329,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_15,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),207,210,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_16,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),105,91,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_17,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),606,604,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_18,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),164,157,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_19,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),97,92,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_2,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),385,373,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_20,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),160,128,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_21,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),225,224,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_22,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),383,375,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_23,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),293,281,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_24,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),154,153,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_25,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),49,42,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_27,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),334,318,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_28,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),312,256,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_29,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),113,104,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_30,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),387,339,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_31,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),88,88,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_32,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),137,138,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_33,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),201,207,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_34,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),80,91,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_35,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),94,84,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_37,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),577,539,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_38,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),401,402,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_39,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),421,391,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_40,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),248,248,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_41,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),76,76,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_42,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),160,153,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_43,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),253,239,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_44,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),181,181,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_47,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),292,296,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_48,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),78,71,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_5,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),604,597,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_50,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),194,197,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_51,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),176,159,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_52,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),328,324,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_53,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),308,302,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_55,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),288,254,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_56,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),251,240,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_57,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),237,214,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_58,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),178,181,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_59,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),207,207,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_6,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),399,402,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_60,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),309,314,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_61,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),271,259,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_62,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),309,299,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_63,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),790,763,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_64,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),124,124,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
ncih2170_antibiotics_blank_ctrl_65,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),137,139,antibiotic,control,,,control,h2170_abx,True,NCI-H2170 · control
