subset,contrast,cell_line,model,batch_matched,n_treated,n_control,median_treated,median_control,median_diff,log2_fc,log2_fc_lo,log2_fc_hi,cliffs_delta,p_mwu,sig_005,gt_log2fc,gt_sig,log2fc_error,direction_agrees,sig_agrees
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,ecCount (threshold mask),False,72,77,112.0,259.0,-147.0,-1.2058095371408437,-1.5176376530217361,-0.9215180033524394,-0.7377344877344877,8.065458353489335e-15,True,-1.1206297051855387,True,-0.08517983195530499,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,Classic (after opt),False,72,77,110.5,214.0,-103.5,-0.9504179711494396,-1.3494042213744004,-0.7391209785529671,-0.7117604617604618,6.715512067256665e-14,True,-1.1206297051855387,True,0.17021173403609913,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,Label Engine,False,72,77,104.5,271.0,-166.5,-1.3705628701382389,-1.7015833527954214,-1.1128940564059335,-0.7864357864357865,1.2381193378878655e-16,True,-1.1206297051855387,True,-0.24993316495270013,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,MIA,False,72,77,80.5,255.0,-174.5,-1.6573294780529968,-2.025505543461212,-1.42083271115378,-0.8501082251082251,3.556516093993564e-19,True,-1.1206297051855387,True,-0.5366997728674581,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,ecSeg,False,72,77,19.0,64.0,-45.0,-1.725825036561006,-2.403349220888433,-1.236298023361666,-0.5375180375180375,1.522805057958272e-08,True,-1.1206297051855387,True,-0.6051953313754672,True,True
all benchmark drug images,H2170 neratinib 24 h,NCI-H2170,Ground truth,False,16,77,140.0,280.0,-140.0,-0.9974306403878669,-1.5148749603093419,-0.46042893096176885,-0.5560064935064936,0.0004988241305092986,True,-0.9974306403878669,True,0.0,True,True
all benchmark drug images,H2170 neratinib 24 h,NCI-H2170,ecCount (peaks),False,16,77,143.5,279.0,-135.5,-0.9567794714008776,-1.3998637054978706,-0.46849299009139544,-0.5324675324675324,0.000856500666780978,True,-0.9974306403878669,True,0.04065116898698928,True,True
all benchmark drug images,H2170 neratinib 24 h,NCI-H2170,ecCount (threshold mask),False,16,77,132.0,259.0,-127.0,-0.9697421789073193,-1.439849633314531,-0.5470500844250795,-0.5673701298701299,0.000381361728726271,True,-0.9974306403878669,True,0.0276884614805476,True,True
all benchmark drug images,H2170 neratinib 24 h,NCI-H2170,Classic (after opt),False,16,77,124.5,214.0,-89.5,-0.7790495528374585,-1.1584034828781833,-0.42048688461553096,-0.5040584415584416,0.0016008646483085382,True,-0.9974306403878669,True,0.21838108755040841,True,True
all benchmark drug images,H2170 neratinib 24 h,NCI-H2170,Label Engine,False,16,77,127.5,271.0,-143.5,-1.0848083878043615,-1.7450957385673216,-0.8011290807170438,-0.6501623376623377,4.664560211296323e-05,True,-0.9974306403878669,True,-0.08737774741649462,True,True
all benchmark drug images,H2170 neratinib 24 h,NCI-H2170,MIA,False,16,77,99.5,255.0,-155.5,-1.3533232911628967,-2.0225230166261396,-0.9002676534147835,-0.6964285714285714,1.2892996708618274e-05,True,-0.9974306403878669,True,-0.35589265077502985,True,True
all benchmark drug images,H2170 neratinib 24 h,NCI-H2170,ecSeg,False,16,77,21.5,64.0,-42.5,-1.5517956367859569,-2.6114347120823473,-0.9024258246528397,-0.5300324675324676,0.0009038114493061051,True,-0.9974306403878669,True,-0.55436499639809,True,True
all benchmark drug images,H2170 neratinib 72 h,NCI-H2170,Ground truth,False,8,77,233.0,280.0,-47.0,-0.264578220899131,-0.8567048384403018,0.5840722846058782,-0.1185064935064935,0.5879364974642198,False,-0.264578220899131,False,0.0,True,True
all benchmark drug images,H2170 neratinib 72 h,NCI-H2170,ecCount (peaks),False,8,77,227.0,279.0,-52.0,-0.2969817377571315,-0.8207076849826208,0.5190483839898155,-0.1461038961038961,0.5030042095410111,False,-0.264578220899131,False,-0.03240351685800047,True,True
all benchmark drug images,H2170 neratinib 72 h,NCI-H2170,ecCount (threshold mask),False,8,77,219.0,259.0,-40.0,-0.24151359882252257,-0.8243720459994737,0.35171156391001457,-0.15584415584415584,0.47466070200761945,False,-0.264578220899131,False,0.02306462207660845,True,True
all benchmark drug images,H2170 neratinib 72 h,NCI-H2170,Classic (after opt),False,8,77,178.5,214.0,-35.5,-0.26101806023528906,-0.7740787671833055,0.06217100786850188,-0.22727272727272727,0.2955280899160333,False,-0.264578220899131,False,0.0035601606638419603,True,True
all benchmark drug images,H2170 neratinib 72 h,NCI-H2170,Label Engine,False,8,77,206.0,271.0,-65.0,-0.39481041638491626,-1.0855009438549965,0.3704219276595462,-0.237012987012987,0.2751900831066675,False,-0.264578220899131,False,-0.13023219548578524,True,True
all benchmark drug images,H2170 neratinib 72 h,NCI-H2170,MIA,False,8,77,177.0,255.0,-78.0,-0.5255042665455769,-1.3467586686540902,0.15015866547810877,-0.3327922077922078,0.12474111723335844,False,-0.264578220899131,False,-0.2609260456464459,True,True
all benchmark drug images,H2170 neratinib 72 h,NCI-H2170,ecSeg,False,8,77,13.5,64.0,-50.5,-2.2038723333656502,-3.9751966089994273,1.3939142077130897,-0.349025974025974,0.10726335803260324,False,-0.264578220899131,False,-1.9392941124665193,True,True
all benchmark drug images,H2170 antibiotics P/S,NCI-H2170,Ground truth,True,95,94,150.0,239.5,-89.5,-0.6732709188488165,-0.9226719912794638,-0.32869250184508486,-0.30335946248600226,0.00031703419498704376,True,-0.6732709188488165,True,0.0,True,True
all benchmark drug images,H2170 antibiotics P/S,NCI-H2170,ecCount (peaks),True,95,94,148.0,249.5,-101.5,-0.7514651638613213,-1.007475345350744,-0.34846672121868766,-0.32015677491601346,0.00014445145305878797,True,-0.6732709188488165,True,-0.07819424501250483,True,True
all benchmark drug images,H2170 antibiotics P/S,NCI-H2170,ecCount (threshold mask),True,95,94,141.0,241.0,-100.0,-0.7712211360038908,-1.0127855434239064,-0.3319059060829385,-0.32911534154535277,9.352213803258488e-05,True,-0.6732709188488165,True,-0.09795021715507424,True,True
all benchmark drug images,H2170 antibiotics P/S,NCI-H2170,Classic (after opt),True,95,94,147.0,233.5,-86.5,-0.6657935753342009,-0.8934922622359627,-0.43002319870387945,-0.4287793952967525,3.575408943246415e-07,True,-0.6732709188488165,True,0.0074773435146155975,True,True
all benchmark drug images,H2170 antibiotics P/S,NCI-H2170,Label Engine,True,95,94,151.0,242.0,-91.0,-0.6786669536015391,-0.9455651012041454,-0.28132129673682477,-0.29227323628219487,0.0005217959214884448,True,-0.6732709188488165,True,-0.005396034752722545,True,True
all benchmark drug images,H2170 antibiotics P/S,NCI-H2170,MIA,True,95,94,146.0,246.5,-100.5,-0.7536103771624298,-1.0653531801597034,-0.3505887915520018,-0.34456886898096306,4.3081765564361114e-05,True,-0.6732709188488165,True,-0.08033945831361333,True,True
all benchmark drug images,H2170 antibiotics P/S,NCI-H2170,ecSeg,True,95,94,136.0,204.5,-68.5,-0.5867229585855935,-0.9353470416577464,-0.23007220441421156,-0.32530795072788354,0.00011263831250567845,True,-0.6732709188488165,True,0.08654796026322298,True,True
all benchmark drug images,H2170 antibiotics P/S+G,NCI-H2170,Ground truth,True,64,94,162.0,239.5,-77.5,-0.5625946876927016,-0.9406456319374819,-0.10820749178668493,-0.24102393617021275,0.01028196806932648,True,-0.5625946876927016,True,0.0,True,True
all benchmark drug images,H2170 antibiotics P/S+G,NCI-H2170,ecCount (peaks),True,64,94,161.0,249.5,-88.5,-0.6303939299681621,-1.0382700169277173,-0.0918317941626318,-0.24135638297872342,0.010178246585220133,True,-0.5625946876927016,True,-0.06779924227546053,True,True
all benchmark drug images,H2170 antibiotics P/S+G,NCI-H2170,ecCount (threshold mask),True,64,94,155.5,241.0,-85.5,-0.6304771599735248,-1.0425713542143547,-0.06650724083705681,-0.2481715425531915,0.008233364286109643,True,-0.5625946876927016,True,-0.06788247228082323,True,True
all benchmark drug images,H2170 antibiotics P/S+G,NCI-H2170,Classic (after opt),True,64,94,152.5,233.5,-81.0,-0.6129768768907528,-0.8186286361966518,-0.28072942842414705,-0.34408244680851063,0.0002481206160663171,True,-0.5625946876927016,True,-0.05038218919805115,True,True
all benchmark drug images,H2170 antibiotics P/S+G,NCI-H2170,Label Engine,True,64,94,156.0,242.0,-86.0,-0.6318220901418716,-0.9871531204443966,-0.0719697863743307,-0.23404255319148937,0.01270983251950435,True,-0.5625946876927016,True,-0.06922740244917003,True,True
all benchmark drug images,H2170 antibiotics P/S+G,NCI-H2170,MIA,True,64,94,156.0,246.5,-90.5,-0.6583483846520592,-1.0177872477128398,-0.11202462697477471,-0.27061170212765956,0.003958791313187495,True,-0.5625946876927016,True,-0.09575369695935765,True,True
all benchmark drug images,H2170 antibiotics P/S+G,NCI-H2170,ecSeg,True,64,94,137.5,204.5,-67.0,-0.570955642727277,-1.0095018677671548,-0.1378723910747764,-0.30751329787234044,0.0010581162843316526,True,-0.5625946876927016,True,-0.008360955034575346,True,True
held-out val+test,SNU16 JQ1 24 h,SNU16,Ground truth,True,16,21,229.0,254.0,-25.0,-0.1491715026618874,-0.6925950172893075,0.3196662260557915,-0.03869047619047619,0.8540505576098134,False,-0.1491715026618874,False,0.0,True,True
held-out val+test,SNU16 JQ1 24 h,SNU16,ecCount (peaks),True,16,21,222.5,240.0,-17.5,-0.10899318384973714,-0.560003633824734,0.5570685210524666,0.09821428571428571,0.6237308729758981,False,-0.1491715026618874,False,0.040178318812150254,True,True
held-out val+test,SNU16 JQ1 24 h,SNU16,ecCount (threshold mask),True,16,21,213.5,232.0,-18.5,-0.11961991959424682,-0.5367517217094787,0.5246307118117325,0.10416666666666667,0.6021848734114341,False,-0.1491715026618874,False,0.029551583067640566,True,True
held-out val+test,SNU16 JQ1 24 h,SNU16,Classic (after opt),True,16,21,230.0,264.0,-34.0,-0.19850097168468778,-0.6823966516267829,0.314259729188967,-0.03273809523809524,0.8781664944834855,False,-0.1491715026618874,False,-0.04932946902280039,True,True
held-out val+test,SNU16 JQ1 24 h,SNU16,Label Engine,True,16,21,101.0,185.0,-84.0,-0.8699394594356271,-1.5718171246642338,-0.46377615420109874,-0.5863095238095238,0.0026565323189059833,True,-0.1491715026618874,False,-0.7207679567737397,True,False
held-out val+test,SNU16 JQ1 24 h,SNU16,MIA,True,16,21,74.5,114.0,-39.5,-0.6103850976010631,-1.3723806463203256,0.07010161691987384,-0.41369047619047616,0.034369739353775894,True,-0.1491715026618874,False,-0.4612135949391757,True,False
held-out val+test,SNU16 JQ1 24 h,SNU16,ecSeg,True,16,21,16.0,28.0,-12.0,-0.7884958948062882,-2.1043366598147357,0.17365864091919297,-0.4166666666666667,0.032992361922439505,True,-0.1491715026618874,False,-0.6393243921444008,True,False
held-out val+test,H2170 JQ1 24 h,NCI-H2170,Ground truth,False,13,23,110.0,246.0,-136.0,-1.15754127698648,-2.0894350835819444,-0.022195746114196196,-0.5719063545150501,0.005118935791269843,True,-1.15754127698648,True,0.0,True,True
held-out val+test,H2170 JQ1 24 h,NCI-H2170,ecCount (peaks),False,13,23,99.0,257.0,-158.0,-1.3718040015269317,-2.1986673864283306,-0.06091437952360707,-0.6053511705685619,0.0030354386698138963,True,-1.15754127698648,True,-0.2142627245404518,True,True
held-out val+test,H2170 JQ1 24 h,NCI-H2170,ecCount (threshold mask),False,13,23,89.0,241.0,-152.0,-1.4320636015715167,-2.1606215465522207,-0.21006439229552662,-0.6421404682274248,0.001655910355587219,True,-1.15754127698648,True,-0.2745223245850368,True,True
held-out val+test,H2170 JQ1 24 h,NCI-H2170,Classic (after opt),False,13,23,113.0,196.0,-83.0,-0.7918370149676914,-1.6306935891194159,0.269996316886978,-0.4180602006688963,0.04115614019491198,True,-1.15754127698648,True,0.3657042620187885,True,True
held-out val+test,H2170 JQ1 24 h,NCI-H2170,Label Engine,False,13,23,87.0,232.0,-145.0,-1.4098757941630649,-2.215900430242699,-0.2963258678984849,-0.6789297658862876,0.0008783793383705905,True,-1.15754127698648,True,-0.25233451717658495,True,True
held-out val+test,H2170 JQ1 24 h,NCI-H2170,MIA,False,13,23,86.0,241.0,-155.0,-1.4812511511990487,-2.3988900767022465,-0.48101261798781275,-0.7290969899665551,0.00035142286806220534,True,-1.15754127698648,True,-0.3237098742125688,True,True
held-out val+test,H2170 JQ1 24 h,NCI-H2170,ecSeg,False,13,23,15.0,70.0,-55.0,-2.1853550420119183,-4.191620072541632,-0.6989977439671857,-0.5986622073578596,0.003366404431941419,True,-1.15754127698648,True,-1.0278137650254384,True,True
held-out val+test,H2170 lapatinib 24 h,NCI-H2170,Ground truth,False,24,23,149.0,246.0,-97.0,-0.7214421621798065,-1.5020607522025244,-0.22805375642687448,-0.48731884057971014,0.004346228781471027,True,-0.7214421621798065,True,0.0,True,True
held-out val+test,H2170 lapatinib 24 h,NCI-H2170,ecCount (peaks),False,24,23,133.5,257.0,-123.5,-0.9423394316128082,-1.558120888502515,-0.352767913542167,-0.5126811594202898,0.0026891798498386147,True,-0.7214421621798065,True,-0.2208972694330017,True,True
held-out val+test,H2170 lapatinib 24 h,NCI-H2170,ecCount (threshold mask),False,24,23,126.5,241.0,-114.5,-0.9271946920636074,-1.6258663886486286,-0.3981939891154296,-0.5597826086956522,0.0010472066084926553,True,-0.7214421621798065,True,-0.20575252988380088,True,True
held-out val+test,H2170 lapatinib 24 h,NCI-H2170,Classic (after opt),False,24,23,114.0,196.0,-82.0,-0.7791817141616624,-1.448029009576056,-0.4331673033843828,-0.5434782608695652,0.0014615312845439688,True,-0.7214421621798065,True,-0.057739551981855874,True,True
held-out val+test,H2170 lapatinib 24 h,NCI-H2170,Label Engine,False,24,23,115.5,232.0,-116.5,-1.0031059108678217,-1.751772291279071,-0.5444574527756562,-0.6231884057971014,0.0002620520267225026,True,-0.7214421621798065,True,-0.28166374868801525,True,True
held-out val+test,H2170 lapatinib 24 h,NCI-H2170,MIA,False,24,23,89.0,241.0,-152.0,-1.4320636015715167,-2.0253717897083114,-0.827097399381219,-0.7282608695652174,1.9785881258880395e-05,True,-0.7214421621798065,True,-0.7106214393917102,True,True
held-out val+test,H2170 lapatinib 24 h,NCI-H2170,ecSeg,False,24,23,28.5,70.0,-41.5,-1.2815703572712216,-2.5374667644716187,-0.400878786182416,-0.4963768115942029,0.003666657656000374,True,-0.7214421621798065,True,-0.5601281950914151,True,True
held-out val+test,H2170 antibiotics P/S,NCI-H2170,Ground truth,True,25,30,157.0,281.0,-124.0,-0.8377830936929507,-1.1099122121742984,-0.2652305316696327,-0.544,0.0005812582307169381,True,-0.8377830936929507,True,0.0,True,True
held-out val+test,H2170 antibiotics P/S,NCI-H2170,ecCount (peaks),True,25,30,156.0,288.0,-132.0,-0.8824086617128643,-1.1203927078340525,-0.32443321679766707,-0.5466666666666666,0.0005466190062362665,True,-0.8377830936929507,True,-0.044625568019913575,True,True
held-out val+test,H2170 antibiotics P/S,NCI-H2170,ecCount (threshold mask),True,25,30,151.0,276.0,-125.0,-0.8679616867617561,-1.1087846827995054,-0.30988832222658713,-0.552,0.0004810058509015322,True,-0.8377830936929507,True,-0.030178593068805437,True,True
held-out val+test,H2170 antibiotics P/S,NCI-H2170,Classic (after opt),True,25,30,175.0,237.5,-62.5,-0.43949054300338275,-0.8766045041285145,-0.09666638973109103,-0.4666666666666667,0.0031797847622994126,True,-0.8377830936929507,True,0.3982925506895679,True,True
held-out val+test,H2170 antibiotics P/S,NCI-H2170,Label Engine,True,25,30,147.0,275.5,-128.5,-0.9039533125289654,-1.1077058464014564,-0.32247583891861065,-0.5413333333333333,0.0006186416657589809,True,-0.8377830936929507,True,-0.0661702188360147,True,True
held-out val+test,H2170 antibiotics P/S,NCI-H2170,MIA,True,25,30,154.0,285.5,-131.5,-0.8884083088740149,-1.1250279771665403,-0.3470552687285326,-0.568,0.0003280239637463656,True,-0.8377830936929507,True,-0.05062521518106422,True,True
held-out val+test,H2170 antibiotics P/S,NCI-H2170,ecSeg,True,25,30,142.0,230.0,-88.0,-0.6938048313772339,-1.087151949095082,-0.18947779886371285,-0.49333333333333335,0.0018163126493303912,True,-0.8377830936929507,True,0.14397826231571675,True,True
held-out val+test,H2170 antibiotics P/S+G,NCI-H2170,Ground truth,True,28,30,120.5,281.0,-160.5,-1.218127874805635,-1.7217540735968289,-0.39422519543346546,-0.475,0.0019556697573532315,True,-1.218127874805635,True,0.0,True,True
held-out val+test,H2170 antibiotics P/S+G,NCI-H2170,ecCount (peaks),True,28,30,118.5,288.0,-169.5,-1.277609745337539,-1.6870137721908536,-0.32270561850676893,-0.44166666666666665,0.003990913324391547,True,-1.218127874805635,True,-0.05948187053190401,True,True
held-out val+test,H2170 antibiotics P/S+G,NCI-H2170,ecCount (threshold mask),True,28,30,112.0,276.0,-164.0,-1.29735447901767,-1.6594562269452908,-0.3096844991326153,-0.4511904761904762,0.003271179630014631,True,-1.218127874805635,True,-0.07922660421203509,True,True
held-out val+test,H2170 antibiotics P/S+G,NCI-H2170,Classic (after opt),True,28,30,126.5,237.5,-111.0,-0.9061330765357777,-1.3808700715319928,-0.18069790511310982,-0.4607142857142857,0.0026708767563413637,True,-1.218127874805635,True,0.3119947982698573,True,True
held-out val+test,H2170 antibiotics P/S+G,NCI-H2170,Label Engine,True,28,30,124.0,275.5,-151.5,-1.148522524710088,-1.822943115409795,-0.37204490750863795,-0.44047619047619047,0.004089339874793604,True,-1.218127874805635,True,0.06960535009554691,True,True
held-out val+test,H2170 antibiotics P/S+G,NCI-H2170,MIA,True,28,30,117.5,285.5,-168.0,-1.2772282874165481,-1.720041161503817,-0.356447035442538,-0.475,0.0019553554807893447,True,-1.218127874805635,True,-0.059100412610913144,True,True
held-out val+test,H2170 antibiotics P/S+G,NCI-H2170,ecSeg,True,28,30,114.5,230.0,-115.5,-1.0031328894849627,-1.8372573423664835,-0.17670987465216476,-0.4857142857142857,0.001541437800566833,True,-1.218127874805635,True,0.2149949853206723,True,True
