uid,split,cell_line,cond,model,gt_count,pred_count
colo320dm_qpcr_jq1_24h_ctrl_66_a,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),61,58
colo320dm_qpcr_jq1_24h_ctrl_67,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),91,93
colo320dm_qpcr_jq1_24h_ctrl_69,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),54,45
colo320dm_qpcr_jq1_24h_ctrl_72,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),37,36
colo320dm_qpcr_jq1_24h_ctrl_75,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),47,48
colo320dm_qpcr_jq1_24h_ctrl_78_a,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),26,30
colo320dm_qpcr_jq1_24h_ctrl_78_b,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),52,52
colo320dm_qpcr_jq1_24h_ctrl_79,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),10,11
colo320dm_qpcr_jq1_24h_ctrl_8,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),36,38
colo320dm_qpcr_jq1_24h_ctrl_81,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),59,61
colo320dm_qpcr_jq1_24h_ctrl_82,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),30,31
colo320dm_qpcr_jq1_24h_ctrl_87_a,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),31,27
colo320dm_qpcr_jq1_24h_ctrl_87_b,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),45,51
colo320dm_qpcr_jq1_24h_ctrl_88,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),53,53
colo320dm_qpcr_jq1_24h_ctrl_89,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),15,18
colo320dm_qpcr_jq1_24h_ctrl_9,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),23,24
colo320dm_qpcr_jq1_24h_ctrl_90,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),89,94
colo320dm_qpcr_jq1_24h_ctrl_92,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),55,57
colo320dm_qpcr_jq1_24h_ctrl_95,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),32,32
colo320dm_qpcr_jq1_24h_ctrl_96,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),49,41
colo320dm_qpcr_jq1_24h_ctrl_97,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),87,89
colo320dm_qpcr_jq1_24h_ctrl_99,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),74,77
colo320dm_qpcr_jq1_24h_dmso_104,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),4,3
colo320dm_qpcr_jq1_24h_dmso_111,test,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),4,41
colo320dm_qpcr_jq1_24h_dmso_49,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),1,60
colo320dm_qpcr_jq1_24h_dmso_6,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),4,26
colo320dm_qpcr_jq1_24h_dmso_88,val,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (peaks),4,22
ncih2170_antibiotics_blank_ctrl_1,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),235,242
ncih2170_antibiotics_blank_ctrl_100,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),102,90
ncih2170_antibiotics_blank_ctrl_101,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),266,269
ncih2170_antibiotics_blank_ctrl_102,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),402,400
ncih2170_antibiotics_blank_ctrl_103,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),228,215
ncih2170_antibiotics_blank_ctrl_104,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),316,316
ncih2170_antibiotics_blank_ctrl_105,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),175,173
ncih2170_antibiotics_blank_ctrl_106,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),101,99
ncih2170_antibiotics_blank_ctrl_107,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),559,578
ncih2170_antibiotics_blank_ctrl_109,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),182,181
ncih2170_antibiotics_blank_ctrl_11,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),181,203
ncih2170_antibiotics_blank_ctrl_110,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),411,413
ncih2170_antibiotics_blank_ctrl_111,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),108,84
ncih2170_antibiotics_blank_ctrl_113,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),341,341
ncih2170_antibiotics_blank_ctrl_114,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),154,150
ncih2170_antibiotics_blank_ctrl_115,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),125,122
ncih2170_antibiotics_blank_ctrl_116,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),282,300
ncih2170_antibiotics_blank_ctrl_117,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),307,303
ncih2170_antibiotics_blank_ctrl_118,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),453,475
ncih2170_antibiotics_blank_ctrl_12,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),122,123
ncih2170_antibiotics_blank_ctrl_13,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),86,89
ncih2170_antibiotics_blank_ctrl_14,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),329,411
ncih2170_antibiotics_blank_ctrl_15,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),210,207
ncih2170_antibiotics_blank_ctrl_16,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),91,105
ncih2170_antibiotics_blank_ctrl_17,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),604,606
ncih2170_antibiotics_blank_ctrl_18,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),157,164
ncih2170_antibiotics_blank_ctrl_19,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),92,97
ncih2170_antibiotics_blank_ctrl_2,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),373,385
ncih2170_antibiotics_blank_ctrl_20,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),128,160
ncih2170_antibiotics_blank_ctrl_21,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),224,225
ncih2170_antibiotics_blank_ctrl_22,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),375,383
ncih2170_antibiotics_blank_ctrl_23,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),281,293
ncih2170_antibiotics_blank_ctrl_24,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),153,154
ncih2170_antibiotics_blank_ctrl_25,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),42,49
ncih2170_antibiotics_blank_ctrl_27,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),318,334
ncih2170_antibiotics_blank_ctrl_28,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),256,312
ncih2170_antibiotics_blank_ctrl_29,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),104,113
ncih2170_antibiotics_blank_ctrl_30,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),339,387
ncih2170_antibiotics_blank_ctrl_31,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),88,88
ncih2170_antibiotics_blank_ctrl_32,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),138,137
ncih2170_antibiotics_blank_ctrl_33,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),207,201
ncih2170_antibiotics_blank_ctrl_34,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),91,80
ncih2170_antibiotics_blank_ctrl_35,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),84,94
ncih2170_antibiotics_blank_ctrl_37,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),539,577
ncih2170_antibiotics_blank_ctrl_38,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),402,401
ncih2170_antibiotics_blank_ctrl_39,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),391,421
ncih2170_antibiotics_blank_ctrl_40,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),248,248
ncih2170_antibiotics_blank_ctrl_41,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),76,76
ncih2170_antibiotics_blank_ctrl_42,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),153,160
ncih2170_antibiotics_blank_ctrl_43,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),239,253
ncih2170_antibiotics_blank_ctrl_44,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),181,181
ncih2170_antibiotics_blank_ctrl_47,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),296,292
ncih2170_antibiotics_blank_ctrl_48,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),71,78
ncih2170_antibiotics_blank_ctrl_5,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),597,604
ncih2170_antibiotics_blank_ctrl_50,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),197,194
ncih2170_antibiotics_blank_ctrl_51,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),159,176
ncih2170_antibiotics_blank_ctrl_52,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),324,328
ncih2170_antibiotics_blank_ctrl_53,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),302,308
ncih2170_antibiotics_blank_ctrl_55,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),254,288
ncih2170_antibiotics_blank_ctrl_56,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),240,251
ncih2170_antibiotics_blank_ctrl_57,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),214,237
ncih2170_antibiotics_blank_ctrl_58,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),181,178
ncih2170_antibiotics_blank_ctrl_59,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),207,207
ncih2170_antibiotics_blank_ctrl_6,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),402,399
ncih2170_antibiotics_blank_ctrl_60,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),314,309
ncih2170_antibiotics_blank_ctrl_61,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),259,271
ncih2170_antibiotics_blank_ctrl_62,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),299,309
ncih2170_antibiotics_blank_ctrl_63,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),763,790
ncih2170_antibiotics_blank_ctrl_64,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),124,124
ncih2170_antibiotics_blank_ctrl_65,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),139,137
ncih2170_antibiotics_blank_ctrl_66,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),329,317
ncih2170_antibiotics_blank_ctrl_67,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),250,256
ncih2170_antibiotics_blank_ctrl_69,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),335,322
ncih2170_antibiotics_blank_ctrl_7,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),328,341
ncih2170_antibiotics_blank_ctrl_70,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),446,459
ncih2170_antibiotics_blank_ctrl_71,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),330,330
ncih2170_antibiotics_blank_ctrl_74,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),375,375
ncih2170_antibiotics_blank_ctrl_75,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),133,140
ncih2170_antibiotics_blank_ctrl_76,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),456,483
ncih2170_antibiotics_blank_ctrl_77,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),261,280
ncih2170_antibiotics_blank_ctrl_78,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),300,307
ncih2170_antibiotics_blank_ctrl_79,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),337,358
ncih2170_antibiotics_blank_ctrl_80,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),146,154
ncih2170_antibiotics_blank_ctrl_81,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),93,101
ncih2170_antibiotics_blank_ctrl_82,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),99,107
ncih2170_antibiotics_blank_ctrl_84,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),281,284
ncih2170_antibiotics_blank_ctrl_86,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),287,327
ncih2170_antibiotics_blank_ctrl_87,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),90,90
ncih2170_antibiotics_blank_ctrl_88_a,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),343,380
ncih2170_antibiotics_blank_ctrl_89,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),94,100
ncih2170_antibiotics_blank_ctrl_9,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),769,801
ncih2170_antibiotics_blank_ctrl_96,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),106,103
ncih2170_antibiotics_blank_ctrl_97,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),146,147
ncih2170_antibiotics_blank_ctrl_98,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (peaks),219,234
ncih2170_antibiotics_ps_10,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),160,146
ncih2170_antibiotics_ps_102_b,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),252,253
ncih2170_antibiotics_ps_104,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),158,158
ncih2170_antibiotics_ps_105,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),237,235
ncih2170_antibiotics_ps_106,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),122,122
ncih2170_antibiotics_ps_107_a,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),246,242
ncih2170_antibiotics_ps_107_b,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),205,233
ncih2170_antibiotics_ps_111,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),186,192
ncih2170_antibiotics_ps_112,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),79,86
ncih2170_antibiotics_ps_113_a,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),121,121
ncih2170_antibiotics_ps_113_b,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),142,148
ncih2170_antibiotics_ps_12,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),129,149
ncih2170_antibiotics_ps_13,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),398,435
ncih2170_antibiotics_ps_14,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),65,69
ncih2170_antibiotics_ps_16,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),236,238
ncih2170_antibiotics_ps_17,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),197,208
ncih2170_antibiotics_ps_18,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),132,155
ncih2170_antibiotics_ps_19,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),201,229
ncih2170_antibiotics_ps_20,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),69,82
ncih2170_antibiotics_ps_21,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),70,83
ncih2170_antibiotics_ps_22,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),95,95
ncih2170_antibiotics_ps_23,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),115,110
ncih2170_antibiotics_ps_24,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),133,144
ncih2170_antibiotics_ps_25,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),284,314
ncih2170_antibiotics_ps_28,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),121,105
ncih2170_antibiotics_ps_29_a,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),93,93
ncih2170_antibiotics_ps_29_b,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),52,54
ncih2170_antibiotics_ps_3,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),157,156
ncih2170_antibiotics_ps_30,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),95,80
ncih2170_antibiotics_ps_31,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),305,310
ncih2170_antibiotics_ps_32,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),67,52
ncih2170_antibiotics_ps_33,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),141,122
ncih2170_antibiotics_ps_34_b,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),76,93
ncih2170_antibiotics_ps_34_c,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),153,148
ncih2170_antibiotics_ps_35,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),96,80
ncih2170_antibiotics_ps_36,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),142,124
ncih2170_antibiotics_ps_37,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),81,72
ncih2170_antibiotics_ps_38,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),354,358
ncih2170_antibiotics_ps_39,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),131,119
ncih2170_antibiotics_ps_4,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),148,144
ncih2170_antibiotics_ps_40,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),75,72
ncih2170_antibiotics_ps_41,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),150,127
ncih2170_antibiotics_ps_42,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),96,97
ncih2170_antibiotics_ps_43,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),63,68
ncih2170_antibiotics_ps_44,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),829,829
ncih2170_antibiotics_ps_45,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),90,69
ncih2170_antibiotics_ps_46,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),211,196
ncih2170_antibiotics_ps_47,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),220,209
ncih2170_antibiotics_ps_48,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),76,74
ncih2170_antibiotics_ps_49,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),109,93
ncih2170_antibiotics_ps_5,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),235,248
ncih2170_antibiotics_ps_50,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),147,139
ncih2170_antibiotics_ps_54,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),125,131
ncih2170_antibiotics_ps_55,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),212,220
ncih2170_antibiotics_ps_56_a,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),233,221
ncih2170_antibiotics_ps_56_b,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),434,444
ncih2170_antibiotics_ps_57,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),70,56
ncih2170_antibiotics_ps_58,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),212,213
ncih2170_antibiotics_ps_61,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),246,248
ncih2170_antibiotics_ps_62,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (peaks),458,452
