cell_line,group_label,cond,arm,model,n_images,mean_abs_error,mean_signed_error,p_bias_vs_zero,p_ae_vs_eccount,q_bias_vs_zero,q_ae_vs_eccount,bias_significant,worse_than_eccount
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,MIA,95,15.74736842105263,-5.347368421052631,0.00022167164111736945,0.0005563241212554336,0.0008866865644694778,0.0016689723637663008,True,True
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,ecSeg,95,43.305263157894736,-25.326315789473686,1.8380486016767735e-05,2.0743349588019953e-13,0.00011028291610060641,1.2446009752811971e-12,True,True
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,ecCount (peaks),64,9.25,3.53125,0.15537265377580328,,0.31074530755160656,1.0,False,False
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,ecCount (threshold mask),64,18.359375,-11.265625,0.0008091356999060972,0.05477772451148677,0.004045678499530486,0.1643331735344603,True,False
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,Classic (after opt),64,46.375,-21.9375,0.16016719296780468,2.2181881945277267e-09,0.31074530755160656,1.1090940972638633e-08,False,True
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,Label Engine,64,13.59375,-4.4375,0.002527803852300665,0.035424374038192506,0.01011121540920266,0.14169749615277002,True,False
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,MIA,64,11.640625,-5.234375,0.003571098924798867,0.6392725602174587,0.0107132967743966,1.0,True,False
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,ecSeg,64,48.65625,-42.65625,5.7805118165738065e-09,2.1518005820455194e-10,3.468307089944284e-08,1.2910803492273117e-09,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,ecCount (peaks),94,11.425531914893616,8.51063829787234,4.2918765157994117e-07,,5.579439470539235e-06,1.0,True,False
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,ecCount (threshold mask),94,14.063829787234043,-6.425531914893617,0.0006765905663523429,0.357671984563002,0.005412724530818743,1.0,True,False
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,Classic (after opt),94,50.58510638297872,5.968085106382978,0.1540187509493914,1.3351703399685797e-13,0.48021995186372074,2.4033066119434434e-12,False,True
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,Label Engine,94,11.425531914893616,-2.5319148936170213,0.029718449517212912,0.6964554171794713,0.17831069710327746,1.0,False,False
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,MIA,94,12.063829787234043,3.25531914893617,0.12005498796593018,0.5077597063298251,0.48021995186372074,1.0,False,False
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,ecSeg,94,34.351063829787236,-23.77659574468085,2.0059247753360258e-07,6.440739753804858e-09,3.0088871630040385e-06,1.0305183606087773e-07,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,ecCount (peaks),33,9.0,5.363636363636363,0.005455046147928575,,0.03818532303550002,1.0,True,False
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,ecCount (threshold mask),33,16.181818181818183,-12.909090909090908,0.0003048015297501874,0.024813479124231687,0.0027432137677516864,0.17369435386962181,True,False
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,Classic (after opt),33,64.06060606060606,-64.06060606060606,5.38039240624037e-07,1.6764750964697507e-06,6.456470887488445e-06,2.179417625410676e-05,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,Label Engine,33,22.606060606060606,0.8484848484848485,0.610424925986194,9.26064378427144e-05,0.610424925986194,0.0008334579405844296,False,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,MIA,33,28.303030303030305,-10.545454545454545,0.0912100046622468,9.718346866943582e-06,0.456050023311234,0.00010690181553637941,False,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,ecSeg,33,196.12121212121212,-196.12121212121212,5.385990057983034e-07,2.3283064365386963e-10,6.456470887488445e-06,3.958120942115784e-09,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,ecCount (peaks),44,10.818181818181818,-3.772727272727273,0.16845901048866185,,0.48021995186372074,1.0,False,False
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,ecCount (threshold mask),44,26.477272727272727,-26.113636363636363,2.4122203944410096e-08,2.200723258775786e-05,3.8595526311056153e-07,0.0002200723258775786,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,Classic (after opt),44,86.36363636363636,-85.45454545454545,1.1119424587977932e-08,7.604826228942754e-09,1.8903021799562485e-07,1.140723934341413e-07,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,Label Engine,44,22.977272727272727,-17.795454545454547,0.0001831056488239752,0.00015500308435734754,0.0018310564882397522,0.0012400246748587803,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,MIA,44,39.81818181818182,-37.81818181818182,3.5760702236681395e-07,3.0447554783707367e-06,5.006498313135395e-06,3.6537065740448844e-05,True,True
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,ecSeg,44,254.8181818181818,-254.8181818181818,7.61149450249397e-09,7.607048412118016e-09,1.3700690104489144e-07,1.140723934341413e-07,True,True
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,ecCount (peaks),72,11.375,-8.680555555555555,5.5000223793873707e-08,,1.1000044758774741e-07,1.0,True,False
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,ecCount (threshold mask),72,22.166666666666668,-21.86111111111111,8.717412115288921e-13,1.318825269813006e-10,2.6152236345866763e-12,2.637650539626012e-10,True,True
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,Classic (after opt),72,47.27777777777778,-33.361111111111114,2.3579809646639453e-07,1.8800235739146946e-12,2.3579809646639453e-07,7.520094295658778e-12,True,True
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,Label Engine,72,29.90277777777778,-29.65277777777778,5.204806133306131e-13,2.4027640852182434e-12,2.0819224533224524e-12,7.520094295658778e-12,True,True
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,MIA,72,57.263888888888886,-57.263888888888886,1.6537002949852056e-13,2.4248656787402865e-13,9.922201769911234e-13,1.2124328393701432e-12,True,True
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,ecSeg,72,120.72222222222223,-120.72222222222223,1.6569460504681439e-13,1.655683110130142e-13,9.922201769911234e-13,9.93409866078085e-13,True,True
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,ecCount (peaks),16,11.25,2.75,0.9000368006604019,,0.9000368006604019,1.0,False,False
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,ecCount (threshold mask),16,24.4375,-15.3125,0.010428224435337068,0.02121575905432424,0.0312846733060112,0.04243151810864848,True,True
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,Classic (after opt),16,56.25,-32.25,0.116668701171875,0.00335693359375,0.23333740234375,0.013427734375,False,True
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,Label Engine,16,37.8125,-32.1875,0.004428814967861371,0.004094392346213797,0.017715259871445482,0.013427734375,True,True
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,MIA,16,64.9375,-58.0625,0.0019154068144157492,0.00030517578125,0.009577034072078746,0.00152587890625,True,True
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,ecSeg,16,156.1875,-156.1875,0.00043680902321148305,6.103515625e-05,0.002620854139268898,0.0003662109375,True,True
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,ecCount (peaks),8,10.25,4.75,0.640625,,0.640625,1.0,False,False
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,ecCount (threshold mask),8,54.875,-52.125,0.03125,0.0390625,0.0625,0.078125,False,False
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,Classic (after opt),8,147.75,-147.75,0.0078125,0.015625,0.046875,0.0625,True,False
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,Label Engine,8,34.0,-34.0,0.0078125,0.015625,0.046875,0.0625,True,False
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,MIA,8,106.5,-102.5,0.015625,0.0078125,0.046875,0.046875,True,True
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,ecSeg,8,322.75,-322.75,0.0078125,0.0078125,0.046875,0.046875,True,True
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,ecCount (peaks),29,17.0,12.310344827586206,0.000769638623227076,,0.004617831739362456,1.0,True,False
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,ecCount (threshold mask),29,13.931034482758621,3.0344827586206895,0.12135537867450578,0.02452180129200894,0.36406613602351734,0.14713080775205364,False,False
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,Classic (after opt),29,25.862068965517242,21.862068965517242,0.00108141789758253,0.12403788612319892,0.005407089487912651,0.4961515444927957,True,False
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,Label Engine,29,64.65517241379311,-64.65517241379311,3.725290298461914e-09,6.186606864397547e-06,4.470348358154297e-08,4.330624805078283e-05,True,True
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,MIA,29,63.62068965517241,-63.62068965517241,2.5561870245802228e-06,3.891525704347392e-06,2.0449496196641782e-05,3.1132205634779135e-05,True,True
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,ecSeg,29,141.41379310344828,-141.41379310344828,2.5596332107133318e-06,2.5596332107133318e-06,2.0449496196641782e-05,2.3036698896419986e-05,True,True
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,ecCount (peaks),35,10.714285714285714,7.0,0.0023998971468381816,,0.009599588587352726,1.0,True,False
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,ecCount (threshold mask),35,7.857142857142857,-0.42857142857142855,0.8171855188277877,0.08417305891494122,1.0,0.42086529457470606,False,False
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,Classic (after opt),35,15.4,0.02857142857142857,0.743395434171427,0.15625767416328132,1.0,0.4961515444927957,False,False
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,Label Engine,35,68.54285714285714,-67.85714285714286,2.939681916833768e-07,2.4713109341297844e-07,2.9720707750423752e-06,2.713420287799471e-06,True,True
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,MIA,35,60.714285714285715,-60.08571428571429,2.9423673907616493e-07,2.466745716181337e-07,2.9720707750423752e-06,2.713420287799471e-06,True,True
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,ecSeg,35,127.71428571428571,-127.6,2.701882522765796e-07,5.820766091346741e-11,2.9720707750423752e-06,6.984919309616089e-10,True,True
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,ecCount (peaks),50,19.02,5.18,0.13297603643576042,,0.26595207287152084,1.0,False,False
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,ecCount (threshold mask),50,21.78,-8.02,0.08608946590540882,0.5014744734850878,0.25826839771622645,1.0,False,False
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,Classic (after opt),50,27.02,-3.78,0.5621396544061729,0.015473541142837019,0.5621396544061729,0.046420623428511054,False,True
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,Label Engine,50,134.42,-134.14,8.516981014250151e-10,7.550097219539461e-10,4.529034016552821e-09,3.775048609769731e-09,True,True
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,MIA,50,159.36,-158.72,8.528474683027008e-10,1.7763568394002505e-15,4.529034016552821e-09,1.0658141036401503e-14,True,True
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,ecSeg,50,241.82,-241.82,7.548390027588035e-10,7.553512643873762e-10,4.529034016552821e-09,3.775048609769731e-09,True,True
SNU16,SNU16 · control,snu16_jc_ctrl,control,ecCount (peaks),72,18.73611111111111,-12.569444444444445,1.640125111893144e-06,,3.280250223786288e-06,1.0,True,False
SNU16,SNU16 · control,snu16_jc_ctrl,control,ecCount (threshold mask),72,27.708333333333332,-25.09722222222222,7.229709006018796e-11,9.889645041801471e-07,2.8918836024075184e-10,1.9779290083602943e-06,True,True
SNU16,SNU16 · control,snu16_jc_ctrl,control,Classic (after opt),72,63.59722222222222,-0.1527777777777778,0.29041425757406936,6.967243236552479e-09,0.29041425757406936,2.0901729709657435e-08,False,True
SNU16,SNU16 · control,snu16_jc_ctrl,control,Label Engine,72,107.16666666666667,-76.58333333333333,9.308714288439512e-08,1.5075406386333957e-11,2.792614286531854e-07,6.030162554533583e-11,True,True
SNU16,SNU16 · control,snu16_jc_ctrl,control,MIA,72,162.83333333333334,-162.55555555555554,1.802449829427638e-13,3.271413479054131e-13,9.948175695000287e-13,1.6357067395270657e-12,True,True
SNU16,SNU16 · control,snu16_jc_ctrl,control,ecSeg,72,263.5,-263.5,1.6580292825000478e-13,1.8026455851754979e-13,9.948175695000287e-13,1.0815873511052988e-12,True,True
