cell_line,group_label,cond,arm,agent,timepoint_h,model,n_images,gt_mean,gt_median,pred_mean,pred_median,count_MAE,count_median_AE,count_bias,count_median_bias,relative_bias_pct,recovery_median
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,control,,Classic (after opt),94.0,254.72340425531914,239.5,260.6914893617021,233.5,50.58510638297872,40.0,5.968085106382978,10.0,2.342966922819913,1.0412677731830282
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,control,,Label Engine,94.0,254.72340425531914,239.5,252.19148936170214,242.0,11.425531914893616,8.0,-2.5319148936170213,-2.5,-0.9939859672569329,0.9841331431687571
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,control,,MIA,94.0,254.72340425531914,239.5,257.97872340425533,246.5,12.063829787234043,8.0,3.25531914893617,3.5,1.2779819579017708,1.0115897096365523
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,control,,ecCount (peaks),94.0,254.72340425531914,239.5,263.2340425531915,249.5,11.425531914893616,7.0,8.51063829787234,6.0,3.341129301703976,1.0223333333333335
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,control,,ecCount (threshold mask),94.0,254.72340425531914,239.5,248.29787234042553,241.0,14.063829787234043,8.0,-6.425531914893617,-5.0,-2.5225526227865016,0.9764910485933505
NCI-H2170,NCI-H2170 · control,ncih2170_antibiotics_blank_ctrl,control,control,,ecSeg,94.0,254.72340425531914,239.5,230.9468085106383,204.5,34.351063829787236,20.0,-23.77659574468085,-17.0,-9.334279986635483,0.9315387054719707
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,control,,Classic (after opt),33.0,320.5151515151515,251.0,256.45454545454544,208.0,64.06060606060606,51.0,-64.06060606060606,-51.0,-19.9867637326274,0.8093841642228738
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,control,,Label Engine,33.0,320.5151515151515,251.0,321.3636363636364,271.0,22.606060606060606,14.0,0.8484848484848485,-7.0,0.26472534745201853,0.9801980198019802
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,control,,MIA,33.0,320.5151515151515,251.0,309.969696969697,258.0,28.303030303030305,24.0,-10.545454545454545,-11.0,-3.2901578897608017,0.9592169657422512
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,control,,ecCount (peaks),33.0,320.5151515151515,251.0,325.8787878787879,264.0,9.0,8.0,5.363636363636363,5.0,1.6734423749645457,1.0167130919220055
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,control,,ecCount (threshold mask),33.0,320.5151515151515,251.0,307.6060606060606,251.0,16.181818181818183,11.0,-12.909090909090908,-11.0,-4.027607071948568,0.9693593314763231
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_1,control,control,,ecSeg,33.0,320.5151515151515,251.0,124.39393939393939,99.0,196.12121212121212,168.0,-196.12121212121212,-168.0,-61.18937316819514,0.37746478873239436
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,control,,Classic (after opt),44.0,331.25,284.5,245.79545454545453,220.5,86.36363636363636,75.5,-85.45454545454545,-75.5,-25.79759862778731,0.7559132030942703
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,control,,Label Engine,44.0,331.25,284.5,313.45454545454544,268.5,22.977272727272727,15.0,-17.795454545454547,-8.5,-5.372212692967411,0.9596298595483821
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,control,,MIA,44.0,331.25,284.5,293.4318181818182,253.0,39.81818181818182,23.0,-37.81818181818182,-23.0,-11.41680960548885,0.9380997219980272
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,control,,ecCount (peaks),44.0,331.25,284.5,327.47727272727275,287.0,10.818181818181818,8.0,-3.772727272727273,-2.5,-1.1389365351629503,0.987678919247333
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,control,,ecCount (threshold mask),44.0,331.25,284.5,305.1363636363636,264.5,26.477272727272727,16.0,-26.113636363636363,-16.0,-7.88336192109777,0.9311831759936883
NCI-H2170,NCI-H2170 · control,ncih2170_ctrl_2,control,control,,ecSeg,44.0,331.25,284.5,76.43181818181819,62.5,254.8181818181818,205.5,-254.8181818181818,-205.5,-76.92624356775299,0.20992610396583905
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,lapatinib,24.0,Classic (after opt),72.0,149.54166666666666,128.5,116.18055555555556,110.5,47.27777777777778,37.5,-33.361111111111114,-30.5,-22.308906844989323,0.7512376237623762
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,lapatinib,24.0,Label Engine,72.0,149.54166666666666,128.5,119.88888888888889,104.5,29.90277777777778,25.0,-29.65277777777778,-25.0,-19.82910745797344,0.8072009291521487
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,lapatinib,24.0,MIA,72.0,149.54166666666666,128.5,92.27777777777777,80.5,57.263888888888886,45.5,-57.263888888888886,-45.5,-38.2929321073651,0.6300322061191627
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,lapatinib,24.0,ecCount (peaks),72.0,149.54166666666666,128.5,140.86111111111111,124.0,11.375,8.0,-8.680555555555555,-7.0,-5.80477384601096,0.9417828106852497
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,lapatinib,24.0,ecCount (threshold mask),72.0,149.54166666666666,128.5,127.68055555555556,112.0,22.166666666666668,15.0,-21.86111111111111,-15.0,-14.618742453793999,0.8673978276488736
NCI-H2170,NCI-H2170 · lapatinib IC50 24 h,ncih2170_jc_lap_ic50_24h,treated,lapatinib,24.0,ecSeg,72.0,149.54166666666666,128.5,28.819444444444443,19.0,120.72222222222223,108.0,-120.72222222222223,-108.0,-80.72815083124362,0.15490904226859284
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,neratinib,24.0,Classic (after opt),16.0,187.5625,140.0,155.3125,124.5,56.25,46.0,-32.25,-26.5,-17.194268577140953,0.8261776982707215
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,neratinib,24.0,Label Engine,16.0,187.5625,140.0,155.375,127.5,37.8125,28.5,-32.1875,-21.0,-17.16094635121626,0.8504846236687806
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,neratinib,24.0,MIA,16.0,187.5625,140.0,129.5,99.5,64.9375,57.5,-58.0625,-52.0,-30.956347884038653,0.7067265725288832
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,neratinib,24.0,ecCount (peaks),16.0,187.5625,140.0,190.3125,143.5,11.25,4.5,2.75,0.5,1.466177940686438,1.0045871559633026
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,neratinib,24.0,ecCount (threshold mask),16.0,187.5625,140.0,172.25,132.0,24.4375,12.5,-15.3125,-8.5,-8.163945351549483,0.9407581253111443
NCI-H2170,NCI-H2170 · neratinib IC50 24 h,ncih2170_jc_ner_ic50_24h,treated,neratinib,24.0,ecSeg,16.0,187.5625,140.0,31.375,21.5,156.1875,130.5,-156.1875,-130.5,-83.27224258580473,0.16085271317829458
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,neratinib,72.0,Classic (after opt),8.0,420.875,233.0,273.125,178.5,147.75,54.5,-147.75,-54.5,-35.105435105435106,0.761947569887484
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,neratinib,72.0,Label Engine,8.0,420.875,233.0,386.875,206.0,34.0,31.5,-34.0,-31.5,-8.078408078408078,0.8841201716738198
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,neratinib,72.0,MIA,8.0,420.875,233.0,318.375,177.0,106.5,91.5,-102.5,-91.5,-24.354024354024354,0.7154894214349802
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,neratinib,72.0,ecCount (peaks),8.0,420.875,233.0,425.625,227.0,10.25,7.0,4.75,1.5,1.1286011286011286,1.005592737187829
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,neratinib,72.0,ecCount (threshold mask),8.0,420.875,233.0,368.75,219.0,54.875,14.5,-52.125,-14.5,-12.384912384912385,0.9257879354380052
NCI-H2170,NCI-H2170 · neratinib IC50 72 h,ncih2170_jc_ner_ic50_72h,treated,neratinib,72.0,ecSeg,8.0,420.875,233.0,98.125,13.5,322.75,180.0,-322.75,-180.0,-76.68547668547669,0.060717938882495846
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,control,,Classic (after opt),29.0,192.82758620689654,179.0,214.68965517241378,203.0,25.862068965517242,14.0,21.862068965517242,8.0,11.337625178826896,1.058139534883721
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,control,,Label Engine,29.0,192.82758620689654,179.0,128.17241379310346,130.0,64.65517241379311,61.0,-64.65517241379311,-61.0,-33.53004291845494,0.6964769647696477
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,control,,MIA,29.0,192.82758620689654,179.0,129.20689655172413,109.0,63.62068965517241,55.0,-63.62068965517241,-55.0,-32.993562231759654,0.6868327402135231
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,control,,ecCount (peaks),29.0,192.82758620689654,179.0,205.13793103448276,214.0,17.0,16.0,12.310344827586206,10.0,6.38412017167382,1.072992700729927
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,control,,ecCount (threshold mask),29.0,192.82758620689654,179.0,195.86206896551724,198.0,13.931034482758621,12.0,3.0344827586206895,6.0,1.5736766809728184,1.0336787564766838
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_1,control,control,,ecSeg,29.0,192.82758620689654,179.0,51.41379310344828,34.0,141.41379310344828,134.0,-141.41379310344828,-134.0,-73.33690987124464,0.24581005586592178
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,control,,Classic (after opt),35.0,190.65714285714284,169.0,190.68571428571428,159.0,15.4,13.0,0.02857142857142857,0.0,0.014985763524651582,1.0
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,control,,Label Engine,35.0,190.65714285714284,169.0,122.8,111.0,68.54285714285714,62.0,-67.85714285714286,-62.0,-35.59118837104751,0.6325301204819277
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,control,,MIA,35.0,190.65714285714284,169.0,130.57142857142858,121.0,60.714285714285715,60.0,-60.08571428571429,-60.0,-31.51506069234228,0.6685082872928176
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,control,,ecCount (peaks),35.0,190.65714285714284,169.0,197.65714285714284,174.0,10.714285714285714,9.0,7.0,7.0,3.6715120635396374,1.0378787878787878
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,control,,ecCount (threshold mask),35.0,190.65714285714284,169.0,190.22857142857143,169.0,7.857142857142857,6.0,-0.42857142857142855,2.0,-0.22478645286977372,1.0093896713615023
NCI-H716,NCI-H716 · control,ncih716_jc_ctrl_2,control,control,,ecSeg,35.0,190.65714285714284,169.0,63.05714285714286,50.0,127.71428571428571,122.0,-127.6,-122.0,-66.92641990109396,0.31843575418994413
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,JQ1,24.0,Classic (after opt),50.0,260.5,229.0,256.72,223.5,27.02,18.0,-3.78,-1.5,-1.4510556621881,0.9932126696832579
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,JQ1,24.0,Label Engine,50.0,260.5,229.0,126.36,106.5,134.42,110.0,-134.14,-110.0,-51.49328214971209,0.5277238901719271
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,JQ1,24.0,MIA,50.0,260.5,229.0,101.78,82.0,159.36,145.5,-158.72,-145.5,-60.92898272552783,0.42007147686660873
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,JQ1,24.0,ecCount (peaks),50.0,260.5,229.0,265.68,225.5,19.02,11.5,5.18,4.0,1.9884836852207293,1.0189368328313562
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,JQ1,24.0,ecCount (threshold mask),50.0,260.5,229.0,252.48,217.0,21.78,12.0,-8.02,-3.5,-3.0786948176583495,0.9810972393177422
SNU16,SNU16 · JQ1 IC50 24 h,snu16_jc_jq1_ic50_24h,treated,JQ1,24.0,ecSeg,50.0,260.5,229.0,18.68,13.5,241.82,211.5,-241.82,-211.5,-92.82917466410748,0.05297176691207112
SNU16,SNU16 · control,snu16_jc_ctrl,control,control,,Classic (after opt),72.0,301.72222222222223,255.0,301.56944444444446,246.5,63.59722222222222,37.0,-0.1527777777777778,-17.0,-0.050635242128521454,0.9278624487704918
SNU16,SNU16 · control,snu16_jc_ctrl,control,control,,Label Engine,72.0,301.72222222222223,255.0,225.13888888888889,184.5,107.16666666666667,84.0,-76.58333333333333,-60.0,-25.38206591787884,0.754143232095988
SNU16,SNU16 · control,snu16_jc_ctrl,control,control,,MIA,72.0,301.72222222222223,255.0,139.16666666666666,115.5,162.83333333333334,122.5,-162.55555555555554,-122.5,-53.87589762474682,0.4717370467011023
SNU16,SNU16 · control,snu16_jc_ctrl,control,control,,ecCount (peaks),72.0,301.72222222222223,255.0,289.15277777777777,241.0,18.73611111111111,16.5,-12.569444444444445,-13.5,-4.165899466028356,0.9474100104120184
SNU16,SNU16 · control,snu16_jc_ctrl,control,control,,ecCount (threshold mask),72.0,301.72222222222223,255.0,276.625,234.0,27.708333333333332,21.0,-25.09722222222222,-20.5,-8.317989320567115,0.9131684972499456
SNU16,SNU16 · control,snu16_jc_ctrl,control,control,,ecSeg,72.0,301.72222222222223,255.0,38.22222222222222,31.0,263.5,234.0,-263.5,-234.0,-87.33198306020991,0.10849915919282511
