row,column,count_bias,colour_relative_bias_pct,n_images,grouping
ecSeg,ncih2170_jc_lap_ic50_24h,-120.72222222222224,-80.72815083124362,72.0,cond
Ground truth,snu16_jc_ctrl,0.0,0.0,72.0,cond
ecCount (peaks),snu16_jc_ctrl,-12.569444444444445,-4.165899466028356,72.0,cond
ecCount (threshold mask),snu16_jc_ctrl,-25.09722222222222,-8.317989320567115,72.0,cond
Label Engine,snu16_jc_ctrl,-76.58333333333333,-25.38206591787884,72.0,cond
MIA,snu16_jc_ctrl,-162.55555555555554,-53.87589762474682,72.0,cond
Classic (after opt),snu16_jc_ctrl,-0.1527777777777778,-0.0506352421285214,72.0,cond
ecSeg,snu16_jc_ctrl,-263.5,-87.33198306020991,72.0,cond
Ground truth,snu16_jc_jq1_ic50_24h,0.0,0.0,50.0,cond
ecCount (peaks),snu16_jc_jq1_ic50_24h,5.18,1.9884836852207293,50.0,cond
ecCount (threshold mask),snu16_jc_jq1_ic50_24h,-8.02,-3.078694817658349,50.0,cond
Label Engine,snu16_jc_jq1_ic50_24h,-134.14,-51.49328214971209,50.0,cond
MIA,snu16_jc_jq1_ic50_24h,-158.72,-60.92898272552783,50.0,cond
Classic (after opt),snu16_jc_jq1_ic50_24h,-3.78,-1.4510556621881,50.0,cond
ecSeg,snu16_jc_jq1_ic50_24h,-241.82,-92.82917466410748,50.0,cond
Ground truth,colo320dm_qpcr_jq1_24h_ctrl,0.0,0.0,59.0,cond
ecCount (peaks),colo320dm_qpcr_jq1_24h_ctrl,-0.8305084745762712,-1.6746411483253587,59.0,cond
ecCount (threshold mask),colo320dm_qpcr_jq1_24h_ctrl,-2.067796610169492,-4.169514695830485,59.0,cond
Label Engine,colo320dm_qpcr_jq1_24h_ctrl,-8.135593220338983,-16.40464798359535,59.0,cond
MIA,colo320dm_qpcr_jq1_24h_ctrl,-8.389830508474576,-16.917293233082706,59.0,cond
Classic (after opt),colo320dm_qpcr_jq1_24h_ctrl,2.796610169491525,5.639097744360902,59.0,cond
ecSeg,colo320dm_qpcr_jq1_24h_ctrl,-39.05084745762712,-78.74231032125769,59.0,cond
Ground truth,ncih716_jc_ctrl_1,0.0,0.0,29.0,cond
ecCount (peaks),ncih716_jc_ctrl_1,12.310344827586206,6.38412017167382,29.0,cond
ecCount (threshold mask),ncih716_jc_ctrl_1,3.034482758620689,1.5736766809728184,29.0,cond
Label Engine,ncih716_jc_ctrl_1,-64.65517241379311,-33.53004291845494,29.0,cond
MIA,ncih716_jc_ctrl_1,-63.62068965517241,-32.993562231759654,29.0,cond
Classic (after opt),ncih716_jc_ctrl_1,21.86206896551724,11.337625178826896,29.0,cond
ecSeg,ncih716_jc_ctrl_1,-141.41379310344828,-73.33690987124464,29.0,cond
Ground truth,ncih716_jc_ctrl_2,0.0,0.0,35.0,cond
ecCount (peaks),ncih716_jc_ctrl_2,7.0,3.671512063539637,35.0,cond
ecCount (threshold mask),ncih716_jc_ctrl_2,-0.4285714285714285,-0.2247864528697737,35.0,cond
Label Engine,ncih716_jc_ctrl_2,-67.85714285714286,-35.59118837104751,35.0,cond
MIA,ncih716_jc_ctrl_2,-60.08571428571429,-31.51506069234228,35.0,cond
Classic (after opt),ncih716_jc_ctrl_2,0.0285714285714285,0.0149857635246515,35.0,cond
ecSeg,ncih716_jc_ctrl_2,-127.6,-66.92641990109396,35.0,cond
