row,column,mean_count,count_MAE,n_images,grouping,colour_metric
MIA,colo320dm_qpcr_jq1_24h_ctrl,41.20338983050848,9.983050847457626,59.0,cond,count_MAE
Classic (after opt),colo320dm_qpcr_jq1_24h_ctrl,52.389830508474574,7.677966101694915,59.0,cond,count_MAE
ecSeg,colo320dm_qpcr_jq1_24h_ctrl,10.542372881355933,39.96610169491525,59.0,cond,count_MAE
Ground truth,ncih716_jc_ctrl_1,192.8275862068965,0.0,29.0,cond,count_MAE
ecCount (peaks),ncih716_jc_ctrl_1,205.1379310344828,17.0,29.0,cond,count_MAE
ecCount (threshold mask),ncih716_jc_ctrl_1,195.86206896551724,13.93103448275862,29.0,cond,count_MAE
Label Engine,ncih716_jc_ctrl_1,128.17241379310346,64.65517241379311,29.0,cond,count_MAE
MIA,ncih716_jc_ctrl_1,129.20689655172413,63.62068965517241,29.0,cond,count_MAE
Classic (after opt),ncih716_jc_ctrl_1,214.68965517241375,25.86206896551724,29.0,cond,count_MAE
ecSeg,ncih716_jc_ctrl_1,51.41379310344828,141.41379310344828,29.0,cond,count_MAE
Ground truth,ncih716_jc_ctrl_2,190.65714285714284,0.0,35.0,cond,count_MAE
ecCount (peaks),ncih716_jc_ctrl_2,197.65714285714284,10.714285714285714,35.0,cond,count_MAE
ecCount (threshold mask),ncih716_jc_ctrl_2,190.22857142857143,7.857142857142857,35.0,cond,count_MAE
Label Engine,ncih716_jc_ctrl_2,122.8,68.54285714285714,35.0,cond,count_MAE
MIA,ncih716_jc_ctrl_2,130.57142857142858,60.71428571428572,35.0,cond,count_MAE
Classic (after opt),ncih716_jc_ctrl_2,190.68571428571428,15.4,35.0,cond,count_MAE
ecSeg,ncih716_jc_ctrl_2,63.05714285714286,127.71428571428572,35.0,cond,count_MAE
