Files	source_image	Annotation Type	Annotation Method	Cell Line	Condition	Subset	Split	ecDNA Count
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_113.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_113.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		20
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_114.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_114.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	107
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_115.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_115.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		15
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_12.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_12.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	16
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_13.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_13.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		49
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_14.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_14.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		24
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_15.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_15.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		13
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_16.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_16.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		65
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_17.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_17.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	13
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_18.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_18.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	51
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_19.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_19.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		31
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_2.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_2.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		24
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_21.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_21.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	40
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_22.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_22.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	65
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_23.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_23.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	57
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_24.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_24.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		137
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_25.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_25.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	53
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_26.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_26.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	22
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_27.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_27.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	18
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_28.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_28.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	35
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_29.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_29.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		23
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_3.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_3.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	144
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_30.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_30.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		40
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_31.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_31.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	143
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_32.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_32.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		61
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_33.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_33.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	24
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_34.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_34.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		55
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_35.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_35.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	57
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_36.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_36.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	59
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_37.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_37.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	12
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_38.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_38.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	41
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_39.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_39.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	41
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_4.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_4.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	46
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_40.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_40.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		75
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_41.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_41.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	101
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_42.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_42.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		83
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_43.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_43.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	44
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_44.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_44.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		71
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_45.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_45.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		130
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_46.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_46.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		64
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_47.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_47.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	22
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_48.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_48.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	32
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_49.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_49.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	74
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_5.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_5.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		20
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_50.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_50.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	7
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_51.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_51.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		93
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_52.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_52.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		26
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_53_a.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_53_a.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		31
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_53_b.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_53_b.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		10
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_54_a.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_54_a.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		78
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_54_b.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_54_b.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		29
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_55.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_55.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	34
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_56.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_56.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		3
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_57_a.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_57_a.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		30
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_57_b.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_57_b.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		3
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_58.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_58.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	15
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_59.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_59.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		35
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_6.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_6.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		106
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_60.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_60.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		79
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_62.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_62.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		213
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_63.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_63.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		94
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_64.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_64.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		48
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_65.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_65.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	30
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_66_a.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_66_a.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	61
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_66_b.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_66_b.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		6
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_67.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_67.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	91
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_68.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_68.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		9
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_69.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_69.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	54
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_7.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_7.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		27
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_70.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_70.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		3
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_71.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_71.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		5
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_72.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_72.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	37
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_73.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_73.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		19
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_74.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_74.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		83
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_75.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_75.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	47
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_76.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_76.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		20
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_77.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_77.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		57
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_78_a.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_78_a.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	26
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_78_b.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_78_b.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	52
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_79.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_79.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	10
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_8.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_8.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	36
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_80.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_80.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		5
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_81.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_81.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	59
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_82.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_82.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	30
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_83.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_83.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		17
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_84.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_84.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		54
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_85.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_85.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		7
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_86.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_86.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		6
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_87_a.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_87_a.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	31
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_87_b.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_87_b.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	45
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_88.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_88.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	53
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_89.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_89.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	15
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_9.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_9.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	23
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_90.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_90.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	89
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_91.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_91.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		5
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_92.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_92.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	55
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_93.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_93.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		24
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_94_a.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_94_a.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		46
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_94_b.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_94_b.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		23
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_95.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_95.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	32
