Files	source_image	Annotation Type	Annotation Method	Cell Line	Condition	Split
images/roi_mask/colo320dm_qpcr_jq1_24h_dmso_104.png	images/rgb/colo320dm_qpcr_jq1_24h_dmso_104.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_dmso	train
images/roi_mask/colo320dm_qpcr_jq1_24h_dmso_111.png	images/rgb/colo320dm_qpcr_jq1_24h_dmso_111.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_dmso	test
images/roi_mask/colo320dm_qpcr_jq1_24h_dmso_49.png	images/rgb/colo320dm_qpcr_jq1_24h_dmso_49.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_dmso	train
images/roi_mask/colo320dm_qpcr_jq1_24h_dmso_6.png	images/rgb/colo320dm_qpcr_jq1_24h_dmso_6.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_dmso	train
images/roi_mask/colo320dm_qpcr_jq1_24h_dmso_88.png	images/rgb/colo320dm_qpcr_jq1_24h_dmso_88.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_dmso	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_1.png	images/rgb/ncih2170_antibiotics_blank_ctrl_1.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_100.png	images/rgb/ncih2170_antibiotics_blank_ctrl_100.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_101.png	images/rgb/ncih2170_antibiotics_blank_ctrl_101.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_102.png	images/rgb/ncih2170_antibiotics_blank_ctrl_102.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_103.png	images/rgb/ncih2170_antibiotics_blank_ctrl_103.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_104.png	images/rgb/ncih2170_antibiotics_blank_ctrl_104.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_105.png	images/rgb/ncih2170_antibiotics_blank_ctrl_105.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_106.png	images/rgb/ncih2170_antibiotics_blank_ctrl_106.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_107.png	images/rgb/ncih2170_antibiotics_blank_ctrl_107.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_109.png	images/rgb/ncih2170_antibiotics_blank_ctrl_109.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_11.png	images/rgb/ncih2170_antibiotics_blank_ctrl_11.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_110.png	images/rgb/ncih2170_antibiotics_blank_ctrl_110.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_111.png	images/rgb/ncih2170_antibiotics_blank_ctrl_111.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_113.png	images/rgb/ncih2170_antibiotics_blank_ctrl_113.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_114.png	images/rgb/ncih2170_antibiotics_blank_ctrl_114.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_115.png	images/rgb/ncih2170_antibiotics_blank_ctrl_115.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_116.png	images/rgb/ncih2170_antibiotics_blank_ctrl_116.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_117.png	images/rgb/ncih2170_antibiotics_blank_ctrl_117.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_118.png	images/rgb/ncih2170_antibiotics_blank_ctrl_118.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_12.png	images/rgb/ncih2170_antibiotics_blank_ctrl_12.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_13.png	images/rgb/ncih2170_antibiotics_blank_ctrl_13.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_14.png	images/rgb/ncih2170_antibiotics_blank_ctrl_14.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_15.png	images/rgb/ncih2170_antibiotics_blank_ctrl_15.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_16.png	images/rgb/ncih2170_antibiotics_blank_ctrl_16.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_17.png	images/rgb/ncih2170_antibiotics_blank_ctrl_17.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_18.png	images/rgb/ncih2170_antibiotics_blank_ctrl_18.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_19.png	images/rgb/ncih2170_antibiotics_blank_ctrl_19.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_2.png	images/rgb/ncih2170_antibiotics_blank_ctrl_2.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_20.png	images/rgb/ncih2170_antibiotics_blank_ctrl_20.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_21.png	images/rgb/ncih2170_antibiotics_blank_ctrl_21.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_22.png	images/rgb/ncih2170_antibiotics_blank_ctrl_22.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_23.png	images/rgb/ncih2170_antibiotics_blank_ctrl_23.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_24.png	images/rgb/ncih2170_antibiotics_blank_ctrl_24.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_25.png	images/rgb/ncih2170_antibiotics_blank_ctrl_25.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_27.png	images/rgb/ncih2170_antibiotics_blank_ctrl_27.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_28.png	images/rgb/ncih2170_antibiotics_blank_ctrl_28.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_29.png	images/rgb/ncih2170_antibiotics_blank_ctrl_29.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_30.png	images/rgb/ncih2170_antibiotics_blank_ctrl_30.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_31.png	images/rgb/ncih2170_antibiotics_blank_ctrl_31.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_32.png	images/rgb/ncih2170_antibiotics_blank_ctrl_32.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_33.png	images/rgb/ncih2170_antibiotics_blank_ctrl_33.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_34.png	images/rgb/ncih2170_antibiotics_blank_ctrl_34.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_35.png	images/rgb/ncih2170_antibiotics_blank_ctrl_35.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_37.png	images/rgb/ncih2170_antibiotics_blank_ctrl_37.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_38.png	images/rgb/ncih2170_antibiotics_blank_ctrl_38.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_39.png	images/rgb/ncih2170_antibiotics_blank_ctrl_39.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_40.png	images/rgb/ncih2170_antibiotics_blank_ctrl_40.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_41.png	images/rgb/ncih2170_antibiotics_blank_ctrl_41.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_42.png	images/rgb/ncih2170_antibiotics_blank_ctrl_42.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_43.png	images/rgb/ncih2170_antibiotics_blank_ctrl_43.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_44.png	images/rgb/ncih2170_antibiotics_blank_ctrl_44.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_47.png	images/rgb/ncih2170_antibiotics_blank_ctrl_47.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	test
images/roi_mask/ncih2170_antibiotics_blank_ctrl_48.png	images/rgb/ncih2170_antibiotics_blank_ctrl_48.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_5.png	images/rgb/ncih2170_antibiotics_blank_ctrl_5.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_50.png	images/rgb/ncih2170_antibiotics_blank_ctrl_50.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	train
images/roi_mask/ncih2170_antibiotics_blank_ctrl_51.png	images/rgb/ncih2170_antibiotics_blank_ctrl_51.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
images/roi_mask/ncih2170_antibiotics_blank_ctrl_52.png	images/rgb/ncih2170_antibiotics_blank_ctrl_52.tif	Region of interest mask (metaphase spread, binary)	Manual	NCI-H2170	antibiotics_blank_ctrl	val
