Files	Data Type	Cell Line	Condition	Subset	Split	ecDNA Count
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_49.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	74
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_5.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		20
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_50.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	7
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_51.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		93
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_52.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		26
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_53_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		31
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_53_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		10
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_54_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		78
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_54_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		29
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_55.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	34
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_56.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_57_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		30
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_57_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_58.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	15
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_59.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		35
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_6.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		106
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_60.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		79
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_62.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		213
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_63.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		94
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_64.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		48
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_65.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	30
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_66_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	61
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_66_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		6
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_67.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	91
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_68.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		9
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_69.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	54
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_7.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		27
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_70.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_71.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_72.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	37
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_73.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		19
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_74.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		83
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_75.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	47
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_76.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		20
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_77.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		57
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_78_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	26
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_78_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	52
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_79.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	10
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_8.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	36
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_80.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_81.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	59
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_82.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	30
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_83.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		17
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_84.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		54
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_85.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		7
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_86.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		6
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_87_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	31
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_87_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	45
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_88.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	53
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_89.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	15
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_9.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	23
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_90.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	89
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_91.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_92.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	55
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_93.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		24
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_94_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		46
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_94_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		23
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_95.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	32
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_96.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	49
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_97.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	87
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_98.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		19
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_99.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	74
images/dapi/colo320dm_qpcr_jq1_24h_dmso_1.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		7
images/dapi/colo320dm_qpcr_jq1_24h_dmso_10.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_101_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_101_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_102.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_103.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_104.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	benchmark	train	4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_105.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_dmso_106.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		16
images/dapi/colo320dm_qpcr_jq1_24h_dmso_107.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_108.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_dmso_109.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_11.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		6
images/dapi/colo320dm_qpcr_jq1_24h_dmso_110_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		7
images/dapi/colo320dm_qpcr_jq1_24h_dmso_110_b.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_111.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	benchmark	test	4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_112.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		10
images/dapi/colo320dm_qpcr_jq1_24h_dmso_113.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_114.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_115.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_13.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_15.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_16.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_17.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_18.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_19.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_20.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_21.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_22.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		12
images/dapi/colo320dm_qpcr_jq1_24h_dmso_23.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_dmso_24.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_25.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_27.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		7
images/dapi/colo320dm_qpcr_jq1_24h_dmso_28.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_29.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_3.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_30.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_31.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		12
images/dapi/colo320dm_qpcr_jq1_24h_dmso_32_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		6
images/dapi/colo320dm_qpcr_jq1_24h_dmso_33.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_34.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_35.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_36.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_37.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_38_a.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_38_ab.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_4.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_dmso_40.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_41.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_42.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		9
images/dapi/colo320dm_qpcr_jq1_24h_dmso_43.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_44.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_45.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		14
images/dapi/colo320dm_qpcr_jq1_24h_dmso_46.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_48.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_49.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	benchmark	train	1
images/dapi/colo320dm_qpcr_jq1_24h_dmso_5.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_51.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_52.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_53.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		8
images/dapi/colo320dm_qpcr_jq1_24h_dmso_54.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_55.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_56.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_57.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		5
images/dapi/colo320dm_qpcr_jq1_24h_dmso_58.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_59.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_6.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	benchmark	train	4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_60.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_62.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_63.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_64.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_65.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_66.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		0
images/dapi/colo320dm_qpcr_jq1_24h_dmso_67.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_68.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_69.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		6
images/dapi/colo320dm_qpcr_jq1_24h_dmso_7.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_70.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_71.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_dmso_72.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		3
images/dapi/colo320dm_qpcr_jq1_24h_dmso_74.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_75.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		2
images/dapi/colo320dm_qpcr_jq1_24h_dmso_76.png	DAPI image	COLO320DM	qpcr_jq1_24h_dmso	extension		5
