model,split,policy,d_max,iou_min,tp,fp,fn,ignored,precision,recall,object_f1
Classic (before opt),test,OR,40.0,0.5,7806,422,25822,109,0.9487117160913952,0.2321279885809444,0.372993119266055
Classic (before opt),test,OR,50.0,0.0,7905,329,25723,103,0.9600437211561816,0.2350719638396574,0.3776694854522001
Classic (before opt),test,OR,50.0,0.05,7905,329,25723,103,0.9600437211561816,0.2350719638396574,0.3776694854522001
Classic (before opt),test,OR,50.0,0.1,7905,329,25723,103,0.9600437211561816,0.2350719638396574,0.3776694854522001
Classic (before opt),test,OR,50.0,0.2,7905,329,25723,103,0.9600437211561816,0.2350719638396574,0.3776694854522001
Classic (before opt),test,OR,50.0,0.3,7905,329,25723,103,0.9600437211561816,0.2350719638396574,0.3776694854522001
Classic (before opt),test,OR,50.0,0.4,7905,329,25723,103,0.9600437211561816,0.2350719638396574,0.3776694854522001
Classic (before opt),test,OR,50.0,0.5,7905,329,25723,103,0.9600437211561816,0.2350719638396574,0.3776694854522001
Classic (before opt),test,OR,75.0,0.0,8072,182,25556,83,0.977950084807366,0.2400380635184965,0.3854639224487847
Classic (before opt),test,OR,75.0,0.05,8072,182,25556,83,0.977950084807366,0.2400380635184965,0.3854639224487847
Classic (before opt),test,OR,75.0,0.1,8072,182,25556,83,0.977950084807366,0.2400380635184965,0.3854639224487847
Classic (before opt),test,OR,75.0,0.2,8072,182,25556,83,0.977950084807366,0.2400380635184965,0.3854639224487847
Classic (before opt),test,OR,75.0,0.3,8072,182,25556,83,0.977950084807366,0.2400380635184965,0.3854639224487847
Classic (before opt),test,OR,75.0,0.4,8072,182,25556,83,0.977950084807366,0.2400380635184965,0.3854639224487847
Classic (before opt),test,OR,75.0,0.5,8072,182,25556,83,0.977950084807366,0.2400380635184965,0.3854639224487847
Classic (before opt),test,OR,100.0,0.0,8165,108,25463,64,0.986945485313671,0.2428036160342571,0.3897281687787881
Classic (before opt),test,OR,100.0,0.05,8165,108,25463,64,0.986945485313671,0.2428036160342571,0.3897281687787881
Classic (before opt),test,OR,100.0,0.1,8165,108,25463,64,0.986945485313671,0.2428036160342571,0.3897281687787881
Classic (before opt),test,OR,100.0,0.2,8165,108,25463,64,0.986945485313671,0.2428036160342571,0.3897281687787881
Classic (before opt),test,OR,100.0,0.3,8165,108,25463,64,0.986945485313671,0.2428036160342571,0.3897281687787881
Classic (before opt),test,OR,100.0,0.4,8165,108,25463,64,0.986945485313671,0.2428036160342571,0.3897281687787881
Classic (before opt),test,OR,100.0,0.5,8165,108,25463,64,0.986945485313671,0.2428036160342571,0.3897281687787881
Classic (before opt),test,AND,5.0,0.0,6261,2075,27367,1,0.7510796545105566,0.1861841322707267,0.2983986273949099
Classic (before opt),test,AND,5.0,0.05,5623,2714,28005,0,0.6744632361760825,0.167211847270132,0.2679852257833909
Classic (before opt),test,AND,5.0,0.1,4280,4057,29348,0,0.5133741153892287,0.1272748899726418,0.2039795067318003
Classic (before opt),test,AND,5.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,5.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,5.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,5.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,10.0,0.0,7027,1309,26601,1,0.8429702495201535,0.2089627691209706,0.3349061099990468
Classic (before opt),test,AND,10.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,10.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,10.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,10.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,10.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,10.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,15.0,0.0,7099,1237,26529,1,0.8516074856046065,0.2111038420363982,0.3383376227242398
Classic (before opt),test,AND,15.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,15.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,15.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,15.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,15.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,15.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,20.0,0.0,7115,1221,26513,1,0.8535268714011516,0.2115796360176043,0.339100181107616
Classic (before opt),test,AND,20.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,20.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,20.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,20.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,20.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,20.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,25.0,0.0,7119,1217,26509,1,0.8540067178502879,0.2116985845129059,0.3392908207034601
Classic (before opt),test,AND,25.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,25.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,25.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,25.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,25.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,25.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,30.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,AND,30.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,30.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,30.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,30.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,30.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,30.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,40.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,AND,40.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,40.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,40.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,40.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,40.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,40.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,50.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,AND,50.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,50.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,50.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,50.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,50.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,50.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,75.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,AND,75.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,75.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,75.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,75.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,75.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,75.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (before opt),test,AND,100.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,AND,100.0,0.05,5836,2501,27792,0,0.7000119947223222,0.1735458546449387,0.2781365423567258
Classic (before opt),test,AND,100.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,AND,100.0,0.2,2213,6124,31415,0,0.2654432049898045,0.0658082550255739,0.1054688430835219
Classic (before opt),test,AND,100.0,0.3,1182,7155,32446,0,0.1417776178481468,0.0351492803616034,0.0563326581675205
Classic (before opt),test,AND,100.0,0.4,655,7682,32973,0,0.0785654312102674,0.0194778161056262,0.0312164899320862
Classic (before opt),test,AND,100.0,0.5,375,7962,33253,0,0.0449802087081684,0.0111514214345188,0.01787203622066
Classic (after opt),test,OR,5.0,0.0,22481,7876,11147,234,0.7405540731956386,0.6685202807184489,0.7026959443619598
Classic (after opt),test,OR,5.0,0.05,20688,9702,12940,201,0.6807502467917078,0.6152016176995361,0.6463182229997814
Classic (after opt),test,OR,5.0,0.1,19985,10408,13643,198,0.6575527259566347,0.5942964196502915,0.6243263929023289
Classic (after opt),test,OR,5.0,0.2,19927,10466,13701,198,0.6556443918007436,0.5925716664684192,0.6225144874338108
Classic (after opt),test,OR,5.0,0.3,19927,10468,13701,196,0.6556012502056259,0.5925716664684192,0.6224950408446964
Classic (after opt),test,OR,5.0,0.4,19927,10468,13701,196,0.6556012502056259,0.5925716664684192,0.6224950408446964
Classic (after opt),test,OR,5.0,0.5,19927,10468,13701,196,0.6556012502056259,0.5925716664684192,0.6224950408446964
Classic (after opt),test,OR,10.0,0.0,23641,6067,9987,883,0.7957789147704322,0.7030153443558939,0.7465264620437034
Classic (after opt),test,OR,10.0,0.05,23338,6388,10290,865,0.7851039494045616,0.6940049958368026,0.7367490608327809
Classic (after opt),test,OR,10.0,0.1,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,OR,10.0,0.2,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,OR,10.0,0.3,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,OR,10.0,0.4,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,OR,10.0,0.5,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,OR,15.0,0.0,23989,5425,9639,1177,0.8155640171346977,0.7133638634471274,0.7610481900954918
Classic (after opt),test,OR,15.0,0.05,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,OR,15.0,0.1,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,OR,15.0,0.2,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,OR,15.0,0.3,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,OR,15.0,0.4,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,OR,15.0,0.5,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,OR,20.0,0.0,24406,4715,9222,1470,0.838089351327221,0.7257642440823123,0.7778928747868492
Classic (after opt),test,OR,20.0,0.05,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,OR,20.0,0.1,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,OR,20.0,0.2,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,OR,20.0,0.3,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,OR,20.0,0.4,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,OR,20.0,0.5,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,OR,25.0,0.0,24848,4030,8780,1713,0.8604473994043909,0.7389080528131319,0.79505967427127
Classic (after opt),test,OR,25.0,0.05,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,OR,25.0,0.1,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,OR,25.0,0.2,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,OR,25.0,0.3,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,OR,25.0,0.4,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,OR,25.0,0.5,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,OR,30.0,0.0,25246,3394,8382,1951,0.8814944134078212,0.7507434280956345,0.8108819939615854
Classic (after opt),test,OR,30.0,0.05,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,OR,30.0,0.1,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,OR,30.0,0.2,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,OR,30.0,0.3,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,OR,30.0,0.4,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,OR,30.0,0.5,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,OR,40.0,0.0,26021,2333,7607,2237,0.9177188403752558,0.7737896990603069,0.8396308605724242
Classic (after opt),test,OR,40.0,0.05,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,OR,40.0,0.1,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,OR,40.0,0.2,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,OR,40.0,0.3,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,OR,40.0,0.4,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,OR,40.0,0.5,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,OR,50.0,0.0,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,OR,50.0,0.05,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,OR,50.0,0.1,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,OR,50.0,0.2,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,OR,50.0,0.3,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,OR,50.0,0.4,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,OR,50.0,0.5,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,OR,75.0,0.0,27549,859,6079,2183,0.9697620388622924,0.819228024265493,0.8881617125540009
Classic (after opt),test,OR,75.0,0.05,27549,859,6079,2183,0.9697620388622924,0.819228024265493,0.8881617125540009
Classic (after opt),test,OR,75.0,0.1,27549,859,6079,2183,0.9697620388622924,0.819228024265493,0.8881617125540009
Classic (after opt),test,OR,75.0,0.2,27549,859,6079,2183,0.9697620388622924,0.819228024265493,0.8881617125540009
Classic (after opt),test,OR,75.0,0.3,27549,859,6079,2183,0.9697620388622924,0.819228024265493,0.8881617125540009
Classic (after opt),test,OR,75.0,0.4,27549,859,6079,2183,0.9697620388622924,0.819228024265493,0.8881617125540009
Classic (after opt),test,OR,75.0,0.5,27549,859,6079,2183,0.9697620388622924,0.819228024265493,0.8881617125540009
Classic (after opt),test,OR,100.0,0.0,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703104
Classic (after opt),test,OR,100.0,0.05,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703104
Classic (after opt),test,OR,100.0,0.1,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703104
Classic (after opt),test,OR,100.0,0.2,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703104
Classic (after opt),test,OR,100.0,0.3,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703104
Classic (after opt),test,OR,100.0,0.4,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703104
Classic (after opt),test,OR,100.0,0.5,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703104
Classic (after opt),test,AND,5.0,0.0,19477,11067,14151,47,0.6376702462022001,0.5791899607469966,0.607024870660101
Classic (after opt),test,AND,5.0,0.05,18161,12396,15467,34,0.5943319043099781,0.5400559057927917,0.5658954584404456
Classic (after opt),test,AND,5.0,0.1,14161,16417,19467,13,0.4631107332068808,0.4211074104912573,0.4411114226084789
Classic (after opt),test,AND,5.0,0.2,7122,23465,26506,4,0.2328440187007552,0.211787795884382,0.2218173323989722
Classic (after opt),test,AND,5.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,5.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,5.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,10.0,0.0,21727,8798,11901,66,0.7117772317772317,0.6460984893541096,0.6773494614437361
Classic (after opt),test,AND,10.0,0.05,18925,11628,14703,38,0.6194154420187871,0.5627750683953848,0.5897383960985338
Classic (after opt),test,AND,10.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,10.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,10.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,10.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,10.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,15.0,0.0,21864,8659,11764,68,0.7163122890934704,0.6501724753181872,0.6816417514925722
Classic (after opt),test,AND,15.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,15.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,15.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,15.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,15.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,15.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,20.0,0.0,21938,8581,11690,72,0.7188308922310692,0.6523730224812656,0.6839914571219231
Classic (after opt),test,AND,20.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,20.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,20.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,20.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,20.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,20.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
