model,split,cell_line_display,density_bin,gt_count,pred_count,abs_error,signed_error,gt_count_plot,pred_count_plot,unique_id
Label Engine,train,COLO320DM,10-49,30,37,7,7,31,38,1178
Label Engine,train,NCI-H2170,10-49,30,23,7,-7,31,24,1179
Label Engine,test,COLO320DM,10-49,31,38,7,7,32,39,1180
Label Engine,test,COLO320DM,10-49,32,17,15,-15,33,18,1181
Label Engine,train,COLO320DM,10-49,32,25,7,-7,33,26,1182
Label Engine,train,NCI-H2170,10-49,32,42,10,10,33,43,1183
Label Engine,val,NCI-H2170,10-49,33,25,8,-8,34,26,1184
Label Engine,train,COLO320DM,10-49,34,20,14,-14,35,21,1185
Label Engine,train,NCI-H2170,10-49,34,24,10,-10,35,25,1186
Label Engine,train,COLO320DM,10-49,35,12,23,-23,36,13,1187
Label Engine,train,NCI-H2170,10-49,35,26,9,-9,36,27,1188
Label Engine,val,NCI-H2170,10-49,35,18,17,-17,36,19,1189
Label Engine,train,NCI-H2170,10-49,35,15,20,-20,36,16,1190
Label Engine,val,NCI-H2170,10-49,35,28,7,-7,36,29,1191
Label Engine,train,COLO320DM,10-49,36,25,11,-11,37,26,1192
Label Engine,test,NCI-H2170,10-49,36,30,6,-6,37,31,1193
Label Engine,train,NCI-H2170,10-49,36,32,4,-4,37,33,1194
Label Engine,train,COLO320DM,10-49,37,48,11,11,38,49,1195
Label Engine,test,NCI-H2170,10-49,38,28,10,-10,39,29,1196
Label Engine,train,COLO320DM,10-49,39,13,26,-26,40,14,1197
Label Engine,train,NCI-H2170,10-49,39,42,3,3,40,43,1198
Label Engine,val,COLO320DM,10-49,40,35,5,-5,41,36,1199
Label Engine,test,NCI-H2170,10-49,40,28,12,-12,41,29,1200
Label Engine,train,NCI-H2170,10-49,40,44,4,4,41,45,1201
Label Engine,train,COLO320DM,10-49,41,25,16,-16,42,26,1202
Label Engine,test,COLO320DM,10-49,41,24,17,-17,42,25,1203
Label Engine,train,NCI-H2170,10-49,41,43,2,2,42,44,1204
Label Engine,train,NCI-H2170,10-49,41,28,13,-13,42,29,1205
Label Engine,train,NCI-H2170,10-49,41,28,13,-13,42,29,1206
Label Engine,train,NCI-H2170,10-49,42,47,5,5,43,48,1207
Label Engine,train,NCI-H2170,10-49,43,42,1,-1,44,43,1208
Label Engine,train,NCI-H2170,10-49,43,15,28,-28,44,16,1209
Label Engine,train,NCI-H2170,10-49,43,29,14,-14,44,30,1210
Label Engine,train,COLO320DM,10-49,44,34,10,-10,45,35,1211
Label Engine,train,NCI-H2170,10-49,44,63,19,19,45,64,1212
Label Engine,test,NCI-H2170,10-49,44,32,12,-12,45,33,1213
Label Engine,train,COLO320DM,10-49,45,33,12,-12,46,34,1214
Label Engine,train,COLO320DM,10-49,45,43,2,-2,46,44,1215
Label Engine,train,NCI-H2170,10-49,45,43,2,-2,46,44,1216
Label Engine,train,COLO320DM,10-49,46,37,9,-9,47,38,1217
Label Engine,test,NCI-H2170,10-49,46,38,8,-8,47,39,1218
Label Engine,val,NCI-H2170,10-49,46,36,10,-10,47,37,1219
Label Engine,train,NCI-H2170,10-49,46,13,33,-33,47,14,1220
Label Engine,train,NCI-H2170,10-49,46,34,12,-12,47,35,1221
Label Engine,train,COLO320DM,10-49,47,36,11,-11,48,37,1222
Label Engine,train,NCI-H2170,10-49,47,40,7,-7,48,41,1223
Label Engine,train,NCI-H2170,10-49,47,42,5,-5,48,43,1224
Label Engine,val,NCI-H2170,10-49,47,44,3,-3,48,45,1225
Label Engine,test,NCI-H2170,10-49,48,19,29,-29,49,20,1226
Label Engine,val,NCI-H2170,10-49,48,24,24,-24,49,25,1227
Label Engine,val,NCI-H2170,10-49,48,44,4,-4,49,45,1228
Label Engine,test,COLO320DM,10-49,49,41,8,-8,50,42,1229
Label Engine,train,NCI-H2170,10-49,49,37,12,-12,50,38,1230
Label Engine,train,NCI-H2170,50-149,50,37,13,-13,51,38,1231
Label Engine,train,NCI-H2170,50-149,50,52,2,2,51,53,1232
Label Engine,train,COLO320DM,50-149,51,53,2,2,52,54,1233
Label Engine,test,NCI-H2170,50-149,51,25,26,-26,52,26,1234
Label Engine,train,NCI-H2170,50-149,51,49,2,-2,52,50,1235
Label Engine,val,NCI-H2170,50-149,51,51,0,0,52,52,1236
Label Engine,train,NCI-H2170,50-149,51,31,20,-20,52,32,1237
Label Engine,train,COLO320DM,50-149,52,37,15,-15,53,38,1238
Label Engine,val,NCI-H2170,50-149,52,59,7,7,53,60,1239
Label Engine,test,NCI-H2170,50-149,52,52,0,0,53,53,1240
Label Engine,test,NCI-H2170,50-149,52,25,27,-27,53,26,1241
Label Engine,val,NCI-H2170,50-149,52,41,11,-11,53,42,1242
Label Engine,train,COLO320DM,50-149,53,60,7,7,54,61,1243
Label Engine,train,COLO320DM,50-149,53,65,12,12,54,66,1244
Label Engine,train,NCI-H2170,50-149,53,51,2,-2,54,52,1245
Label Engine,train,NCI-H2170,50-149,53,26,27,-27,54,27,1246
Label Engine,train,NCI-H2170,50-149,53,57,4,4,54,58,1247
Label Engine,train,NCI-H2170,50-149,53,52,1,-1,54,53,1248
Label Engine,train,NCI-H2170,50-149,53,45,8,-8,54,46,1249
Label Engine,test,COLO320DM,50-149,54,50,4,-4,55,51,1250
Label Engine,train,NCI-H2170,50-149,54,44,10,-10,55,45,1251
Label Engine,train,NCI-H2170,50-149,54,36,18,-18,55,37,1252
Label Engine,train,NCI-H2170,50-149,54,54,0,0,55,55,1253
Label Engine,val,NCI-H2170,50-149,54,30,24,-24,55,31,1254
Label Engine,train,COLO320DM,50-149,55,57,2,2,56,58,1255
Label Engine,test,NCI-H2170,50-149,55,57,2,2,56,58,1256
Label Engine,test,NCI-H2170,50-149,55,55,0,0,56,56,1257
Label Engine,val,NCI-H2170,50-149,56,46,10,-10,57,47,1258
Label Engine,train,NCI-H2170,50-149,56,44,12,-12,57,45,1259
Label Engine,test,COLO320DM,50-149,57,33,24,-24,58,34,1260
Label Engine,val,COLO320DM,50-149,57,49,8,-8,58,50,1261
Label Engine,train,SNU16,50-149,57,25,32,-32,58,26,1262
Label Engine,val,NCI-H2170,50-149,58,67,9,9,59,68,1263
Label Engine,val,NCI-H2170,50-149,58,70,12,12,59,71,1264
Label Engine,train,NCI-H2170,50-149,58,52,6,-6,59,53,1265
Label Engine,train,NCI-H2170,50-149,58,44,14,-14,59,45,1266
Label Engine,val,COLO320DM,50-149,59,53,6,-6,60,54,1267
Label Engine,train,COLO320DM,50-149,59,48,11,-11,60,49,1268
Label Engine,train,COLO320DM,50-149,59,45,14,-14,60,46,1269
Label Engine,test,NCI-H2170,50-149,59,69,10,10,60,70,1270
Label Engine,train,NCI-H2170,50-149,60,24,36,-36,61,25,1271
Label Engine,train,NCI-H2170,50-149,60,39,21,-21,61,40,1272
Label Engine,train,COLO320DM,50-149,61,41,20,-20,62,42,1273
Label Engine,test,NCI-H2170,50-149,61,26,35,-35,62,27,1274
Label Engine,train,NCI-H2170,50-149,61,50,11,-11,62,51,1275
Label Engine,train,NCI-H2170,50-149,61,42,19,-19,62,43,1276
Label Engine,test,NCI-H2170,50-149,61,53,8,-8,62,54,1277
Label Engine,val,NCI-H2170,50-149,61,87,26,26,62,88,1278
Label Engine,test,NCI-H2170,50-149,62,74,12,12,63,75,1279
Label Engine,train,NCI-H2170,50-149,62,48,14,-14,63,49,1280
Label Engine,train,NCI-H2170,50-149,62,57,5,-5,63,58,1281
Label Engine,train,NCI-H2170,50-149,62,43,19,-19,63,44,1282
Label Engine,train,COLO320DM,50-149,63,29,34,-34,64,30,1283
Label Engine,train,NCI-H2170,50-149,63,69,6,6,64,70,1284
Label Engine,test,NCI-H2170,50-149,63,71,8,8,64,72,1285
Label Engine,train,NCI-H2170,50-149,63,47,16,-16,64,48,1286
Label Engine,train,NCI-H2170,50-149,64,61,3,-3,65,62,1287
Label Engine,train,NCI-H2170,50-149,64,58,6,-6,65,59,1288
Label Engine,train,NCI-H2170,50-149,64,61,3,-3,65,62,1289
Label Engine,test,NCI-H2170,50-149,64,63,1,-1,65,64,1290
Label Engine,train,COLO320DM,50-149,65,56,9,-9,66,57,1291
Label Engine,train,NCI-H2170,50-149,65,62,3,-3,66,63,1292
Label Engine,test,NCI-H2170,50-149,65,49,16,-16,66,50,1293
Label Engine,train,NCI-H2170,50-149,65,49,16,-16,66,50,1294
Label Engine,train,NCI-H2170,50-149,65,52,13,-13,66,53,1295
Label Engine,train,NCI-H2170,50-149,66,57,9,-9,67,58,1296
Label Engine,train,NCI-H2170,50-149,66,56,10,-10,67,57,1297
Label Engine,train,NCI-H2170,50-149,66,48,18,-18,67,49,1298
Label Engine,test,NCI-H2170,50-149,67,56,11,-11,68,57,1299
Label Engine,test,NCI-H2170,50-149,67,14,53,-53,68,15,1300
Label Engine,train,NCI-H2170,50-149,67,33,34,-34,68,34,1301
Label Engine,train,NCI-H2170,50-149,68,41,27,-27,69,42,1302
Label Engine,train,NCI-H2170,50-149,69,90,21,21,70,91,1303
Label Engine,train,NCI-H2170,50-149,69,76,7,7,70,77,1304
Label Engine,train,NCI-H2170,50-149,69,46,23,-23,70,47,1305
Label Engine,train,NCI-H2170,50-149,69,48,21,-21,70,49,1306
Label Engine,train,NCI-H2170,50-149,69,58,11,-11,70,59,1307
Label Engine,train,NCI-H2170,50-149,70,94,24,24,71,95,1308
Label Engine,train,NCI-H2170,50-149,70,59,11,-11,71,60,1309
Label Engine,val,NCI-H2170,50-149,70,63,7,-7,71,64,1310
Label Engine,train,NCI-H2170,50-149,70,59,11,-11,71,60,1311
Label Engine,train,NCI-H2170,50-149,70,48,22,-22,71,49,1312
Label Engine,val,COLO320DM,50-149,71,48,23,-23,72,49,1313
Label Engine,train,NCI-H2170,50-149,71,77,6,6,72,78,1314
Label Engine,val,NCI-H2170,50-149,71,66,5,-5,72,67,1315
Label Engine,train,NCI-H2170,50-149,71,82,11,11,72,83,1316
Label Engine,test,NCI-H2170,50-149,71,62,9,-9,72,63,1317
Label Engine,train,NCI-H2170,50-149,71,67,4,-4,72,68,1318
Label Engine,train,NCI-H2170,50-149,71,66,5,-5,72,67,1319
Label Engine,test,NCI-H716,50-149,71,46,25,-25,72,47,1320
Label Engine,train,NCI-H2170,50-149,72,71,1,-1,73,72,1321
Label Engine,test,NCI-H2170,50-149,72,59,13,-13,73,60,1322
Label Engine,train,NCI-H716,50-149,72,55,17,-17,73,56,1323
Label Engine,train,NCI-H2170,50-149,73,80,7,7,74,81,1324
Label Engine,train,NCI-H2170,50-149,73,34,39,-39,74,35,1325
Label Engine,train,NCI-H2170,50-149,73,72,1,-1,74,73,1326
Label Engine,train,COLO320DM,50-149,74,71,3,-3,75,72,1327
Label Engine,val,COLO320DM,50-149,74,59,15,-15,75,60,1328
Label Engine,train,NCI-H2170,50-149,74,54,20,-20,75,55,1329
Label Engine,train,NCI-H2170,50-149,74,25,49,-49,75,26,1330
Label Engine,train,NCI-H2170,50-149,74,21,53,-53,75,22,1331
Label Engine,train,NCI-H2170,50-149,74,52,22,-22,75,53,1332
Label Engine,train,NCI-H2170,50-149,75,67,8,-8,76,68,1333
Label Engine,train,NCI-H2170,50-149,75,68,7,-7,76,69,1334
Label Engine,train,NCI-H2170,50-149,75,43,32,-32,76,44,1335
Label Engine,val,NCI-H2170,50-149,75,72,3,-3,76,73,1336
Label Engine,train,NCI-H2170,50-149,75,71,4,-4,76,72,1337
Label Engine,train,NCI-H2170,50-149,75,66,9,-9,76,67,1338
Label Engine,train,NCI-H2170,50-149,75,69,6,-6,76,70,1339
Label Engine,train,NCI-H2170,50-149,76,70,6,-6,77,71,1340
Label Engine,train,NCI-H2170,50-149,76,87,11,11,77,88,1341
Label Engine,train,NCI-H2170,50-149,76,76,0,0,77,77,1342
Label Engine,train,NCI-H2170,50-149,76,77,1,1,77,78,1343
Label Engine,train,NCI-H2170,50-149,76,59,17,-17,77,60,1344
Label Engine,train,NCI-H2170,50-149,76,66,10,-10,77,67,1345
Label Engine,train,NCI-H716,50-149,76,59,17,-17,77,60,1346
Label Engine,train,NCI-H2170,50-149,77,83,6,6,78,84,1347
Label Engine,train,NCI-H2170,50-149,77,68,9,-9,78,69,1348
Label Engine,val,NCI-H2170,50-149,77,94,17,17,78,95,1349
Label Engine,train,SNU16,50-149,77,47,30,-30,78,48,1350
Label Engine,val,NCI-H2170,50-149,78,81,3,3,79,82,1351
Label Engine,test,NCI-H2170,50-149,78,75,3,-3,79,76,1352
Label Engine,train,NCI-H2170,50-149,78,69,9,-9,79,70,1353
Label Engine,train,NCI-H2170,50-149,78,62,16,-16,79,63,1354
Label Engine,train,NCI-H2170,50-149,78,82,4,4,79,83,1355
Label Engine,train,NCI-H2170,50-149,78,76,2,-2,79,77,1356
Label Engine,train,NCI-H2170,50-149,78,81,3,3,79,82,1357
Label Engine,train,NCI-H2170,50-149,78,118,40,40,79,119,1358
Label Engine,test,NCI-H2170,50-149,79,77,2,-2,80,78,1359
Label Engine,val,NCI-H2170,50-149,79,75,4,-4,80,76,1360
Label Engine,train,NCI-H2170,50-149,79,69,10,-10,80,70,1361
Label Engine,test,NCI-H2170,50-149,79,72,7,-7,80,73,1362
Label Engine,train,NCI-H2170,50-149,79,80,1,1,80,81,1363
Label Engine,train,COLO320DM,50-149,80,58,22,-22,81,59,1364
Label Engine,test,NCI-H2170,50-149,80,49,31,-31,81,50,1365
Label Engine,train,NCI-H2170,50-149,81,70,11,-11,82,71,1366
Label Engine,train,NCI-H2170,50-149,81,43,38,-38,82,44,1367
Label Engine,val,NCI-H2170,50-149,81,71,10,-10,82,72,1368
Label Engine,val,NCI-H2170,50-149,81,80,1,-1,82,81,1369
Label Engine,train,NCI-H2170,50-149,82,54,28,-28,83,55,1370
Label Engine,train,NCI-H2170,50-149,82,72,10,-10,83,73,1371
Label Engine,train,COLO320DM,50-149,83,59,24,-24,84,60,1372
Label Engine,test,NCI-H2170,50-149,83,71,12,-12,84,72,1373
Label Engine,train,NCI-H2170,50-149,83,82,1,-1,84,83,1374
Label Engine,train,NCI-H2170,50-149,83,80,3,-3,84,81,1375
Label Engine,test,NCI-H2170,50-149,84,64,20,-20,85,65,1376
Label Engine,train,NCI-H2170,50-149,84,87,3,3,85,88,1377
Label Engine,train,NCI-H2170,50-149,84,58,26,-26,85,59,1378
Label Engine,test,NCI-H2170,50-149,84,68,16,-16,85,69,1379
Label Engine,val,NCI-H2170,50-149,85,67,18,-18,86,68,1380
Label Engine,test,NCI-H2170,50-149,85,51,34,-34,86,52,1381
Label Engine,test,NCI-H2170,50-149,85,86,1,1,86,87,1382
Label Engine,train,NCI-H2170,50-149,85,72,13,-13,86,73,1383
Label Engine,train,NCI-H2170,50-149,86,90,4,4,87,91,1384
Label Engine,val,NCI-H2170,50-149,86,73,13,-13,87,74,1385
Label Engine,train,NCI-H2170,50-149,86,9,77,-77,87,10,1386
Label Engine,train,NCI-H2170,50-149,86,64,22,-22,87,65,1387
Label Engine,train,NCI-H2170,50-149,86,65,21,-21,87,66,1388
Label Engine,train,NCI-H2170,50-149,86,82,4,-4,87,83,1389
Label Engine,test,NCI-H2170,50-149,86,90,4,4,87,91,1390
Label Engine,train,COLO320DM,50-149,87,79,8,-8,88,80,1391
Label Engine,train,NCI-H2170,50-149,87,80,7,-7,88,81,1392
Label Engine,test,NCI-H2170,50-149,87,78,9,-9,88,79,1393
Label Engine,val,NCI-H2170,50-149,87,66,21,-21,88,67,1394
Label Engine,test,NCI-H2170,50-149,87,37,50,-50,88,38,1395
Label Engine,train,NCI-H2170,50-149,87,84,3,-3,88,85,1396
Label Engine,train,NCI-H2170,50-149,88,78,10,-10,89,79,1397
Label Engine,train,NCI-H2170,50-149,88,85,3,-3,89,86,1398
Label Engine,train,NCI-H2170,50-149,88,51,37,-37,89,52,1399
Label Engine,train,NCI-H2170,50-149,88,76,12,-12,89,77,1400
Label Engine,train,NCI-H2170,50-149,88,135,47,47,89,136,1401
Label Engine,train,COLO320DM,50-149,89,70,19,-19,90,71,1402
Label Engine,val,NCI-H2170,50-149,89,82,7,-7,90,83,1403
Label Engine,val,NCI-H2170,50-149,89,83,6,-6,90,84,1404
Label Engine,test,NCI-H2170,50-149,89,70,19,-19,90,71,1405
Label Engine,train,NCI-H2170,50-149,89,87,2,-2,90,88,1406
Label Engine,test,NCI-H2170,50-149,89,67,22,-22,90,68,1407
Label Engine,train,NCI-H716,50-149,89,50,39,-39,90,51,1408
Label Engine,train,NCI-H2170,50-149,90,87,3,-3,91,88,1409
Label Engine,train,NCI-H2170,50-149,90,67,23,-23,91,68,1410
Label Engine,test,NCI-H2170,50-149,90,90,0,0,91,91,1411
Label Engine,test,NCI-H2170,50-149,90,85,5,-5,91,86,1412
Label Engine,train,SNU16,50-149,90,94,4,4,91,95,1413
Label Engine,test,COLO320DM,50-149,91,75,16,-16,92,76,1414
Label Engine,train,NCI-H2170,50-149,91,91,0,0,92,92,1415
Label Engine,val,NCI-H2170,50-149,91,77,14,-14,92,78,1416
Label Engine,val,NCI-H2170,50-149,91,78,13,-13,92,79,1417
Label Engine,train,NCI-H2170,50-149,92,102,10,10,93,103,1418
Label Engine,val,NCI-H2170,50-149,92,76,16,-16,93,77,1419
Label Engine,val,NCI-H2170,50-149,92,67,25,-25,93,68,1420
Label Engine,train,NCI-H2170,50-149,93,100,7,7,94,101,1421
Label Engine,train,NCI-H2170,50-149,93,108,15,15,94,109,1422
Label Engine,train,NCI-H2170,50-149,93,89,4,-4,94,90,1423
Label Engine,test,NCI-H2170,50-149,93,62,31,-31,94,63,1424
Label Engine,train,NCI-H2170,50-149,93,88,5,-5,94,89,1425
Label Engine,test,NCI-H2170,50-149,93,87,6,-6,94,88,1426
Label Engine,train,NCI-H2170,50-149,93,79,14,-14,94,80,1427
Label Engine,train,NCI-H2170,50-149,93,78,15,-15,94,79,1428
Label Engine,val,NCI-H2170,50-149,94,100,6,6,95,101,1429
Label Engine,val,NCI-H2170,50-149,94,93,1,-1,95,94,1430
Label Engine,val,NCI-H2170,50-149,94,76,18,-18,95,77,1431
Label Engine,train,NCI-H2170,50-149,94,100,6,6,95,101,1432
Label Engine,train,NCI-H2170,50-149,94,114,20,20,95,115,1433
Label Engine,train,NCI-H2170,50-149,94,90,4,-4,95,91,1434
Label Engine,train,NCI-H2170,50-149,94,48,46,-46,95,49,1435
Label Engine,train,NCI-H2170,50-149,95,91,4,-4,96,92,1436
Label Engine,train,NCI-H2170,50-149,95,105,10,10,96,106,1437
Label Engine,train,NCI-H2170,50-149,96,94,2,-2,97,95,1438
Label Engine,train,NCI-H2170,50-149,96,97,1,1,97,98,1439
Label Engine,test,NCI-H2170,50-149,96,104,8,8,97,105,1440
Label Engine,val,NCI-H2170,50-149,96,85,11,-11,97,86,1441
Label Engine,train,NCI-H2170,50-149,96,119,23,23,97,120,1442
Label Engine,train,NCI-H2170,50-149,97,101,4,4,98,102,1443
Label Engine,train,NCI-H2170,50-149,97,101,4,4,98,102,1444
Label Engine,train,NCI-H2170,50-149,97,107,10,10,98,108,1445
Label Engine,test,NCI-H2170,50-149,97,70,27,-27,98,71,1446
Label Engine,train,NCI-H2170,50-149,97,67,30,-30,98,68,1447
Label Engine,train,NCI-H2170,50-149,97,100,3,3,98,101,1448
Label Engine,val,SNU16,50-149,97,116,19,19,98,117,1449
Label Engine,train,SNU16,50-149,97,60,37,-37,98,61,1450
Label Engine,train,NCI-H2170,50-149,98,84,14,-14,99,85,1451
Label Engine,train,NCI-H2170,50-149,98,109,11,11,99,110,1452
Label Engine,train,NCI-H2170,50-149,98,99,1,1,99,100,1453
Label Engine,train,NCI-H2170,50-149,98,92,6,-6,99,93,1454
Label Engine,train,NCI-H2170,50-149,99,95,4,-4,100,96,1455
Label Engine,train,NCI-H2170,50-149,99,27,72,-72,100,28,1456
Label Engine,train,NCI-H2170,50-149,99,61,38,-38,100,62,1457
Label Engine,train,NCI-H2170,50-149,99,43,56,-56,100,44,1458
Label Engine,train,NCI-H2170,50-149,99,67,32,-32,100,68,1459
Label Engine,train,NCI-H2170,50-149,99,113,14,14,100,114,1460
Label Engine,train,NCI-H2170,50-149,99,75,24,-24,100,76,1461
Label Engine,train,NCI-H2170,50-149,99,80,19,-19,100,81,1462
Label Engine,train,NCI-H2170,50-149,99,93,6,-6,100,94,1463
Label Engine,train,NCI-H2170,50-149,100,92,8,-8,101,93,1464
Label Engine,train,COLO320DM,50-149,101,85,16,-16,102,86,1465
Label Engine,train,NCI-H2170,50-149,101,99,2,-2,102,100,1466
Label Engine,train,NCI-H2170,50-149,101,92,9,-9,102,93,1467
Label Engine,test,NCI-H2170,50-149,101,94,7,-7,102,95,1468
Label Engine,train,NCI-H2170,50-149,101,73,28,-28,102,74,1469
Label Engine,train,NCI-H2170,50-149,101,62,39,-39,102,63,1470
Label Engine,train,NCI-H2170,50-149,101,65,36,-36,102,66,1471
Label Engine,test,NCI-H716,50-149,101,67,34,-34,102,68,1472
Label Engine,train,SNU16,50-149,101,11,90,-90,102,12,1473
Label Engine,train,SNU16,50-149,101,108,7,7,102,109,1474
Label Engine,test,NCI-H2170,50-149,102,96,6,-6,103,97,1475
Label Engine,train,NCI-H2170,50-149,102,94,8,-8,103,95,1476
Label Engine,val,NCI-H2170,50-149,102,104,2,2,103,105,1477
Label Engine,train,NCI-H2170,50-149,102,88,14,-14,103,89,1478
Label Engine,val,NCI-H2170,50-149,102,91,11,-11,103,92,1479
Label Engine,test,NCI-H2170,50-149,103,83,20,-20,104,84,1480
Label Engine,val,NCI-H2170,50-149,103,101,2,-2,104,102,1481
Label Engine,test,NCI-H2170,50-149,103,79,24,-24,104,80,1482
Label Engine,val,NCI-H2170,50-149,103,56,47,-47,104,57,1483
Label Engine,train,NCI-H2170,50-149,103,109,6,6,104,110,1484
Label Engine,train,NCI-H2170,50-149,103,87,16,-16,104,88,1485
Label Engine,train,NCI-H2170,50-149,104,107,3,3,105,108,1486
Label Engine,train,NCI-H2170,50-149,104,104,0,0,105,105,1487
Label Engine,val,NCI-H2170,50-149,104,71,33,-33,105,72,1488
Label Engine,train,NCI-H2170,50-149,105,115,10,10,106,116,1489
Label Engine,train,NCI-H2170,50-149,105,88,17,-17,106,89,1490
Label Engine,val,NCI-H2170,50-149,105,95,10,-10,106,96,1491
Label Engine,train,NCI-H2170,50-149,105,114,9,9,106,115,1492
Label Engine,train,NCI-H2170,50-149,105,75,30,-30,106,76,1493
Label Engine,test,NCI-H2170,50-149,105,71,34,-34,106,72,1494
Label Engine,train,SNU16,50-149,105,79,26,-26,106,80,1495
Label Engine,train,NCI-H2170,50-149,106,106,0,0,107,107,1496
Label Engine,train,NCI-H2170,50-149,106,93,13,-13,107,94,1497
Label Engine,train,NCI-H2170,50-149,106,84,22,-22,107,85,1498
Label Engine,val,NCI-H2170,50-149,106,118,12,12,107,119,1499
Label Engine,test,COLO320DM,50-149,107,92,15,-15,108,93,1500
Label Engine,train,NCI-H2170,50-149,107,101,6,-6,108,102,1501
Label Engine,val,NCI-H2170,50-149,107,28,79,-79,108,29,1502
Label Engine,train,NCI-H2170,50-149,107,104,3,-3,108,105,1503
Label Engine,train,NCI-H2170,50-149,107,101,6,-6,108,102,1504
Label Engine,test,NCI-H2170,50-149,107,74,33,-33,108,75,1505
Label Engine,train,NCI-H2170,50-149,107,81,26,-26,108,82,1506
Label Engine,train,NCI-H2170,50-149,108,85,23,-23,109,86,1507
Label Engine,val,NCI-H2170,50-149,108,91,17,-17,109,92,1508
Label Engine,train,NCI-H2170,50-149,109,99,10,-10,110,100,1509
Label Engine,train,NCI-H2170,50-149,109,115,6,6,110,116,1510
Label Engine,train,NCI-H2170,50-149,109,43,66,-66,110,44,1511
Label Engine,test,NCI-H2170,50-149,110,25,85,-85,111,26,1512
Label Engine,val,NCI-H2170,50-149,110,107,3,-3,111,108,1513
Label Engine,val,NCI-H2170,50-149,110,108,2,-2,111,109,1514
Label Engine,train,NCI-H2170,50-149,110,86,24,-24,111,87,1515
Label Engine,val,NCI-H2170,50-149,110,83,27,-27,111,84,1516
Label Engine,train,NCI-H2170,50-149,110,86,24,-24,111,87,1517
Label Engine,test,NCI-H716,50-149,110,70,40,-40,111,71,1518
Label Engine,train,SNU16,50-149,110,29,81,-81,111,30,1519
Label Engine,train,NCI-H2170,50-149,111,42,69,-69,112,43,1520
Label Engine,train,NCI-H2170,50-149,111,109,2,-2,112,110,1521
Label Engine,train,NCI-H2170,50-149,111,89,22,-22,112,90,1522
Label Engine,train,NCI-H2170,50-149,111,94,17,-17,112,95,1523
Label Engine,train,SNU16,50-149,111,71,40,-40,112,72,1524
Label Engine,train,NCI-H2170,50-149,112,113,1,1,113,114,1525
Label Engine,train,NCI-H2170,50-149,112,96,16,-16,113,97,1526
Label Engine,train,SNU16,50-149,112,82,30,-30,113,83,1527
Label Engine,train,NCI-H2170,50-149,113,76,37,-37,114,77,1528
Label Engine,val,NCI-H2170,50-149,113,116,3,3,114,117,1529
Label Engine,train,NCI-H2170,50-149,114,112,2,-2,115,113,1530
Label Engine,train,NCI-H2170,50-149,114,98,16,-16,115,99,1531
Label Engine,train,NCI-H2170,50-149,115,122,7,7,116,123,1532
Label Engine,train,NCI-H2170,50-149,115,109,6,-6,116,110,1533
Label Engine,val,NCI-H2170,50-149,115,123,8,8,116,124,1534
Label Engine,train,NCI-H2170,50-149,115,126,11,11,116,127,1535
