row_index,cell_line,unique_id,panel,model,path,path_exists,crop_x0,crop_y0,crop_x1,crop_y1,object_f1,pred_count,gt_count,foreground_pixels,mask_shape_matches_rgb
1,SNU16,snu16_jc_jq1_ic50_24h_67,GT-vs-pred overlay,ecSeg,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/ecseg/snu16_jc_jq1_ic50_24h_67.png,True,664,525,1730,1556,0.0,4.0,213,133.0,True
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,RGB crop,,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/rgb/colo320dm_qpcr_jq1_24h_ctrl_39.tif,True,780,648,1740,1413,,,41,,
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,GT only,Ground truth,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_39.tif,True,780,648,1740,1413,,,41,533.0,True
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,GT-vs-pred overlay,ecCount (peaks),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_39.png,True,780,648,1740,1413,0.9397590361445785,49.0,41,637.0,True
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,GT-vs-pred overlay,ecCount (threshold mask),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_threshold/colo320dm_qpcr_jq1_24h_ctrl_39.png,True,780,648,1740,1413,0.9397590361445785,49.0,41,2168.0,True
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,GT-vs-pred overlay,Label Engine,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/label_engine/colo320dm_qpcr_jq1_24h_ctrl_39.png,True,780,648,1740,1413,0.5806451612903226,24.0,41,619.0,True
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,GT-vs-pred overlay,MIA,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/mia/colo320dm_qpcr_jq1_24h_ctrl_39.png,True,780,648,1740,1413,0.6129032258064516,25.0,41,1224.0,True
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,GT-vs-pred overlay,Classic (after opt),/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_39.png,True,780,648,1740,1413,0.8860759493670886,47.0,41,3826.0,True
2,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl_39,GT-vs-pred overlay,ecSeg,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/ecseg/colo320dm_qpcr_jq1_24h_ctrl_39.png,True,780,648,1740,1413,0.0,0.0,41,0.0,True
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,RGB crop,,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/rgb/ncih716_jc_alo_8nm_24h_13.tif,True,545,305,1944,1648,,,163,,
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,GT only,Ground truth,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/ncih716_jc_alo_8nm_24h_13.tif,True,545,305,1944,1648,,,163,2119.0,True
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,GT-vs-pred overlay,ecCount (peaks),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/ncih716_jc_alo_8nm_24h_13.png,True,545,305,1944,1648,0.9554896142433236,187.0,163,2431.0,True
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,GT-vs-pred overlay,ecCount (threshold mask),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_threshold/ncih716_jc_alo_8nm_24h_13.png,True,545,305,1944,1648,0.9554896142433236,184.0,163,8488.0,True
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,GT-vs-pred overlay,Label Engine,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/label_engine/ncih716_jc_alo_8nm_24h_13.png,True,545,305,1944,1648,0.4366812227074236,67.0,163,1342.0,True
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,GT-vs-pred overlay,MIA,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/mia/ncih716_jc_alo_8nm_24h_13.png,True,545,305,1944,1648,0.3888888888888889,55.0,163,2099.0,True
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,GT-vs-pred overlay,Classic (after opt),/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/ncih716_jc_alo_8nm_24h_13.png,True,545,305,1944,1648,0.9182389937106918,182.0,163,8378.0,True
3,NCI-H716,ncih716_jc_alo_8nm_24h_13,GT-vs-pred overlay,ecSeg,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/ecseg/ncih716_jc_alo_8nm_24h_13.png,True,545,305,1944,1648,0.2461538461538461,32.0,163,1900.0,True
