unique_id,cell_line,coord_count_npy,ecDNA_gt,delta_coord_minus_gt,abs_delta
colo320dm_qpcr_jq1_24h_ctrl_60,COLO320DM,79,79,0,0
colo320dm_qpcr_jq1_24h_ctrl_62,COLO320DM,213,213,0,0
colo320dm_qpcr_jq1_24h_ctrl_63,COLO320DM,94,94,0,0
colo320dm_qpcr_jq1_24h_ctrl_64,COLO320DM,48,48,0,0
colo320dm_qpcr_jq1_24h_ctrl_65,COLO320DM,30,30,0,0
colo320dm_qpcr_jq1_24h_ctrl_66_a,COLO320DM,61,61,0,0
colo320dm_qpcr_jq1_24h_ctrl_66_b,COLO320DM,6,6,0,0
colo320dm_qpcr_jq1_24h_ctrl_67,COLO320DM,91,91,0,0
colo320dm_qpcr_jq1_24h_ctrl_68,COLO320DM,9,9,0,0
colo320dm_qpcr_jq1_24h_ctrl_69,COLO320DM,54,54,0,0
colo320dm_qpcr_jq1_24h_ctrl_7,COLO320DM,27,27,0,0
colo320dm_qpcr_jq1_24h_ctrl_70,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_ctrl_71,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_ctrl_72,COLO320DM,37,37,0,0
colo320dm_qpcr_jq1_24h_ctrl_73,COLO320DM,19,19,0,0
colo320dm_qpcr_jq1_24h_ctrl_74,COLO320DM,83,83,0,0
colo320dm_qpcr_jq1_24h_ctrl_75,COLO320DM,47,47,0,0
colo320dm_qpcr_jq1_24h_ctrl_76,COLO320DM,20,20,0,0
colo320dm_qpcr_jq1_24h_ctrl_77,COLO320DM,57,57,0,0
colo320dm_qpcr_jq1_24h_ctrl_78_a,COLO320DM,26,26,0,0
colo320dm_qpcr_jq1_24h_ctrl_78_b,COLO320DM,53,52,1,1
colo320dm_qpcr_jq1_24h_ctrl_79,COLO320DM,10,10,0,0
colo320dm_qpcr_jq1_24h_ctrl_8,COLO320DM,36,36,0,0
colo320dm_qpcr_jq1_24h_ctrl_80,COLO320DM,6,5,1,1
colo320dm_qpcr_jq1_24h_ctrl_81,COLO320DM,59,59,0,0
colo320dm_qpcr_jq1_24h_ctrl_82,COLO320DM,30,30,0,0
colo320dm_qpcr_jq1_24h_ctrl_83,COLO320DM,17,17,0,0
colo320dm_qpcr_jq1_24h_ctrl_84,COLO320DM,54,54,0,0
colo320dm_qpcr_jq1_24h_ctrl_85,COLO320DM,7,7,0,0
colo320dm_qpcr_jq1_24h_ctrl_86,COLO320DM,6,6,0,0
colo320dm_qpcr_jq1_24h_ctrl_87_a,COLO320DM,31,31,0,0
colo320dm_qpcr_jq1_24h_ctrl_87_b,COLO320DM,45,45,0,0
colo320dm_qpcr_jq1_24h_ctrl_88,COLO320DM,53,53,0,0
colo320dm_qpcr_jq1_24h_ctrl_89,COLO320DM,15,15,0,0
colo320dm_qpcr_jq1_24h_ctrl_9,COLO320DM,23,23,0,0
colo320dm_qpcr_jq1_24h_ctrl_90,COLO320DM,89,89,0,0
colo320dm_qpcr_jq1_24h_ctrl_91,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_ctrl_92,COLO320DM,55,55,0,0
colo320dm_qpcr_jq1_24h_ctrl_93,COLO320DM,24,24,0,0
colo320dm_qpcr_jq1_24h_ctrl_94_a,COLO320DM,46,46,0,0
colo320dm_qpcr_jq1_24h_ctrl_94_b,COLO320DM,35,23,12,12
colo320dm_qpcr_jq1_24h_ctrl_95,COLO320DM,32,32,0,0
colo320dm_qpcr_jq1_24h_ctrl_96,COLO320DM,49,49,0,0
colo320dm_qpcr_jq1_24h_ctrl_97,COLO320DM,87,87,0,0
colo320dm_qpcr_jq1_24h_ctrl_98,COLO320DM,19,19,0,0
colo320dm_qpcr_jq1_24h_ctrl_99,COLO320DM,74,74,0,0
colo320dm_qpcr_jq1_24h_dmso_1,COLO320DM,7,7,0,0
colo320dm_qpcr_jq1_24h_dmso_10,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_101_a,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_101_b,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_102,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_103,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_104,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_105,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_dmso_106,COLO320DM,16,16,0,0
colo320dm_qpcr_jq1_24h_dmso_107,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_108,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_dmso_109,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_11,COLO320DM,6,6,0,0
colo320dm_qpcr_jq1_24h_dmso_110_a,COLO320DM,7,7,0,0
colo320dm_qpcr_jq1_24h_dmso_110_b,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_111,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_112,COLO320DM,10,10,0,0
colo320dm_qpcr_jq1_24h_dmso_113,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_114,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_115,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_13,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_15,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_16,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_17,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_18,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_19,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_20,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_21,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_22,COLO320DM,12,12,0,0
colo320dm_qpcr_jq1_24h_dmso_23,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_dmso_24,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_25,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_27,COLO320DM,7,7,0,0
colo320dm_qpcr_jq1_24h_dmso_28,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_29,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_3,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_30,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_31,COLO320DM,12,12,0,0
colo320dm_qpcr_jq1_24h_dmso_32_a,COLO320DM,6,6,0,0
colo320dm_qpcr_jq1_24h_dmso_33,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_34,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_35,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_36,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_37,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_38_a,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_38_ab,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_4,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_dmso_40,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_41,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_42,COLO320DM,9,9,0,0
colo320dm_qpcr_jq1_24h_dmso_43,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_44,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_45,COLO320DM,14,14,0,0
colo320dm_qpcr_jq1_24h_dmso_46,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_48,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_49,COLO320DM,1,1,0,0
colo320dm_qpcr_jq1_24h_dmso_5,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_51,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_52,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_53,COLO320DM,8,8,0,0
colo320dm_qpcr_jq1_24h_dmso_54,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_55,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_56,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_57,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_dmso_58,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_59,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_6,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_60,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_62,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_63,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_64,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_65,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_66,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_67,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_68,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_69,COLO320DM,6,6,0,0
colo320dm_qpcr_jq1_24h_dmso_7,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_70,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_71,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_72,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_74,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_75,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_76,COLO320DM,5,5,0,0
colo320dm_qpcr_jq1_24h_dmso_77,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_78,COLO320DM,22,22,0,0
colo320dm_qpcr_jq1_24h_dmso_79,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_8,COLO320DM,7,7,0,0
colo320dm_qpcr_jq1_24h_dmso_80,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_81_a,COLO320DM,6,6,0,0
colo320dm_qpcr_jq1_24h_dmso_81_b,COLO320DM,3,2,1,1
colo320dm_qpcr_jq1_24h_dmso_82,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_dmso_84,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_85,COLO320DM,10,10,0,0
colo320dm_qpcr_jq1_24h_dmso_86,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_87,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_88,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_9,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_dmso_90,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_91,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_92,COLO320DM,1,0,1,1
colo320dm_qpcr_jq1_24h_dmso_93,COLO320DM,8,8,0,0
colo320dm_qpcr_jq1_24h_dmso_94,COLO320DM,9,9,0,0
colo320dm_qpcr_jq1_24h_dmso_95,COLO320DM,7,7,0,0
colo320dm_qpcr_jq1_24h_dmso_97,COLO320DM,2,2,0,0
colo320dm_qpcr_jq1_24h_dmso_98,COLO320DM,2,2,0,0
ncih2170_antibiotics_blank_ctrl_1,NCI-H2170,235,235,0,0
ncih2170_antibiotics_blank_ctrl_100,NCI-H2170,102,102,0,0
ncih2170_antibiotics_blank_ctrl_101,NCI-H2170,266,266,0,0
ncih2170_antibiotics_blank_ctrl_102,NCI-H2170,407,402,5,5
ncih2170_antibiotics_blank_ctrl_103,NCI-H2170,228,228,0,0
ncih2170_antibiotics_blank_ctrl_104,NCI-H2170,316,316,0,0
ncih2170_antibiotics_blank_ctrl_105,NCI-H2170,175,175,0,0
ncih2170_antibiotics_blank_ctrl_106,NCI-H2170,102,101,1,1
ncih2170_antibiotics_blank_ctrl_107,NCI-H2170,560,559,1,1
ncih2170_antibiotics_blank_ctrl_108,NCI-H2170,196,196,0,0
ncih2170_antibiotics_blank_ctrl_109,NCI-H2170,182,182,0,0
ncih2170_antibiotics_blank_ctrl_10_a,NCI-H2170,111,111,0,0
ncih2170_antibiotics_blank_ctrl_10_b,NCI-H2170,237,209,28,28
ncih2170_antibiotics_blank_ctrl_11,NCI-H2170,181,181,0,0
ncih2170_antibiotics_blank_ctrl_110,NCI-H2170,413,411,2,2
ncih2170_antibiotics_blank_ctrl_111,NCI-H2170,108,108,0,0
ncih2170_antibiotics_blank_ctrl_112,NCI-H2170,457,455,2,2
ncih2170_antibiotics_blank_ctrl_113,NCI-H2170,341,341,0,0
ncih2170_antibiotics_blank_ctrl_114,NCI-H2170,154,154,0,0
ncih2170_antibiotics_blank_ctrl_115,NCI-H2170,125,125,0,0
ncih2170_antibiotics_blank_ctrl_116,NCI-H2170,297,282,15,15
ncih2170_antibiotics_blank_ctrl_117,NCI-H2170,310,307,3,3
ncih2170_antibiotics_blank_ctrl_118,NCI-H2170,453,453,0,0
ncih2170_antibiotics_blank_ctrl_119,NCI-H2170,153,149,4,4
ncih2170_antibiotics_blank_ctrl_12,NCI-H2170,122,122,0,0
ncih2170_antibiotics_blank_ctrl_13,NCI-H2170,86,86,0,0
ncih2170_antibiotics_blank_ctrl_14,NCI-H2170,329,329,0,0
ncih2170_antibiotics_blank_ctrl_15,NCI-H2170,211,210,1,1
ncih2170_antibiotics_blank_ctrl_16,NCI-H2170,91,91,0,0
ncih2170_antibiotics_blank_ctrl_17,NCI-H2170,609,604,5,5
ncih2170_antibiotics_blank_ctrl_18,NCI-H2170,157,157,0,0
ncih2170_antibiotics_blank_ctrl_19,NCI-H2170,92,92,0,0
ncih2170_antibiotics_blank_ctrl_2,NCI-H2170,373,373,0,0
ncih2170_antibiotics_blank_ctrl_20,NCI-H2170,129,128,1,1
ncih2170_antibiotics_blank_ctrl_21,NCI-H2170,224,224,0,0
ncih2170_antibiotics_blank_ctrl_22,NCI-H2170,377,375,2,2
ncih2170_antibiotics_blank_ctrl_23,NCI-H2170,281,281,0,0
ncih2170_antibiotics_blank_ctrl_24,NCI-H2170,153,153,0,0
ncih2170_antibiotics_blank_ctrl_25,NCI-H2170,42,42,0,0
ncih2170_antibiotics_blank_ctrl_26,NCI-H2170,72,72,0,0
ncih2170_antibiotics_blank_ctrl_27,NCI-H2170,318,318,0,0
ncih2170_antibiotics_blank_ctrl_28,NCI-H2170,265,256,9,9
ncih2170_antibiotics_blank_ctrl_29,NCI-H2170,105,104,1,1
ncih2170_antibiotics_blank_ctrl_30,NCI-H2170,339,339,0,0
ncih2170_antibiotics_blank_ctrl_31,NCI-H2170,88,88,0,0
ncih2170_antibiotics_blank_ctrl_32,NCI-H2170,138,138,0,0
ncih2170_antibiotics_blank_ctrl_33,NCI-H2170,208,207,1,1
ncih2170_antibiotics_blank_ctrl_34,NCI-H2170,91,91,0,0
ncih2170_antibiotics_blank_ctrl_35,NCI-H2170,84,84,0,0
ncih2170_antibiotics_blank_ctrl_36,NCI-H2170,121,121,0,0
ncih2170_antibiotics_blank_ctrl_37,NCI-H2170,539,539,0,0
ncih2170_antibiotics_blank_ctrl_38,NCI-H2170,402,402,0,0
ncih2170_antibiotics_blank_ctrl_39,NCI-H2170,407,391,16,16
ncih2170_antibiotics_blank_ctrl_4,NCI-H2170,292,292,0,0
ncih2170_antibiotics_blank_ctrl_40,NCI-H2170,248,248,0,0
ncih2170_antibiotics_blank_ctrl_41,NCI-H2170,76,76,0,0
ncih2170_antibiotics_blank_ctrl_42,NCI-H2170,154,153,1,1
ncih2170_antibiotics_blank_ctrl_43,NCI-H2170,243,239,4,4
ncih2170_antibiotics_blank_ctrl_44,NCI-H2170,181,181,0,0
ncih2170_antibiotics_blank_ctrl_45,NCI-H2170,298,297,1,1
ncih2170_antibiotics_blank_ctrl_46,NCI-H2170,102,102,0,0
ncih2170_antibiotics_blank_ctrl_47,NCI-H2170,297,296,1,1
ncih2170_antibiotics_blank_ctrl_48,NCI-H2170,71,71,0,0
ncih2170_antibiotics_blank_ctrl_49,NCI-H2170,126,126,0,0
ncih2170_antibiotics_blank_ctrl_5,NCI-H2170,604,597,7,7
ncih2170_antibiotics_blank_ctrl_50,NCI-H2170,197,197,0,0
ncih2170_antibiotics_blank_ctrl_51,NCI-H2170,159,159,0,0
ncih2170_antibiotics_blank_ctrl_52,NCI-H2170,324,324,0,0
ncih2170_antibiotics_blank_ctrl_53,NCI-H2170,303,302,1,1
ncih2170_antibiotics_blank_ctrl_54,NCI-H2170,419,417,2,2
ncih2170_antibiotics_blank_ctrl_55,NCI-H2170,256,254,2,2
ncih2170_antibiotics_blank_ctrl_56,NCI-H2170,241,240,1,1
ncih2170_antibiotics_blank_ctrl_57,NCI-H2170,214,214,0,0
ncih2170_antibiotics_blank_ctrl_58,NCI-H2170,182,181,1,1
ncih2170_antibiotics_blank_ctrl_59,NCI-H2170,208,207,1,1
ncih2170_antibiotics_blank_ctrl_6,NCI-H2170,405,402,3,3
ncih2170_antibiotics_blank_ctrl_60,NCI-H2170,314,314,0,0
ncih2170_antibiotics_blank_ctrl_61,NCI-H2170,260,259,1,1
ncih2170_antibiotics_blank_ctrl_62,NCI-H2170,299,299,0,0
ncih2170_antibiotics_blank_ctrl_63,NCI-H2170,766,763,3,3
ncih2170_antibiotics_blank_ctrl_64,NCI-H2170,124,124,0,0
ncih2170_antibiotics_blank_ctrl_65,NCI-H2170,139,139,0,0
ncih2170_antibiotics_blank_ctrl_66,NCI-H2170,334,329,5,5
ncih2170_antibiotics_blank_ctrl_67,NCI-H2170,253,250,3,3
ncih2170_antibiotics_blank_ctrl_68,NCI-H2170,331,328,3,3
ncih2170_antibiotics_blank_ctrl_69,NCI-H2170,349,335,14,14
ncih2170_antibiotics_blank_ctrl_7,NCI-H2170,329,328,1,1
ncih2170_antibiotics_blank_ctrl_70,NCI-H2170,461,446,15,15
ncih2170_antibiotics_blank_ctrl_71,NCI-H2170,331,330,1,1
ncih2170_antibiotics_blank_ctrl_72,NCI-H2170,476,472,4,4
ncih2170_antibiotics_blank_ctrl_73,NCI-H2170,195,195,0,0
ncih2170_antibiotics_blank_ctrl_74,NCI-H2170,377,375,2,2
ncih2170_antibiotics_blank_ctrl_75,NCI-H2170,134,133,1,1
ncih2170_antibiotics_blank_ctrl_76,NCI-H2170,456,456,0,0
ncih2170_antibiotics_blank_ctrl_77,NCI-H2170,261,261,0,0
ncih2170_antibiotics_blank_ctrl_78,NCI-H2170,301,300,1,1
ncih2170_antibiotics_blank_ctrl_79,NCI-H2170,338,337,1,1
ncih2170_antibiotics_blank_ctrl_8,NCI-H2170,307,307,0,0
ncih2170_antibiotics_blank_ctrl_80,NCI-H2170,146,146,0,0
ncih2170_antibiotics_blank_ctrl_81,NCI-H2170,93,93,0,0
ncih2170_antibiotics_blank_ctrl_82,NCI-H2170,99,99,0,0
ncih2170_antibiotics_blank_ctrl_83,NCI-H2170,280,280,0,0
ncih2170_antibiotics_blank_ctrl_84,NCI-H2170,281,281,0,0
ncih2170_antibiotics_blank_ctrl_85,NCI-H2170,276,276,0,0
ncih2170_antibiotics_blank_ctrl_86,NCI-H2170,287,287,0,0
ncih2170_antibiotics_blank_ctrl_87,NCI-H2170,90,90,0,0
ncih2170_antibiotics_blank_ctrl_88_a,NCI-H2170,349,343,6,6
ncih2170_antibiotics_blank_ctrl_88_b,NCI-H2170,315,310,5,5
ncih2170_antibiotics_blank_ctrl_89,NCI-H2170,94,94,0,0
ncih2170_antibiotics_blank_ctrl_9,NCI-H2170,777,769,8,8
ncih2170_antibiotics_blank_ctrl_90,NCI-H2170,183,183,0,0
ncih2170_antibiotics_blank_ctrl_91,NCI-H2170,274,271,3,3
ncih2170_antibiotics_blank_ctrl_92,NCI-H2170,414,411,3,3
ncih2170_antibiotics_blank_ctrl_93,NCI-H2170,307,304,3,3
ncih2170_antibiotics_blank_ctrl_94,NCI-H2170,556,545,11,11
ncih2170_antibiotics_blank_ctrl_95,NCI-H2170,240,238,2,2
ncih2170_antibiotics_blank_ctrl_96,NCI-H2170,106,106,0,0
ncih2170_antibiotics_blank_ctrl_97,NCI-H2170,151,146,5,5
ncih2170_antibiotics_blank_ctrl_98,NCI-H2170,226,219,7,7
ncih2170_antibiotics_blank_ctrl_99,NCI-H2170,219,219,0,0
ncih2170_antibiotics_ps_10,NCI-H2170,165,160,5,5
ncih2170_antibiotics_ps_100,NCI-H2170,162,162,0,0
ncih2170_antibiotics_ps_101,NCI-H2170,211,211,0,0
ncih2170_antibiotics_ps_102_a,NCI-H2170,107,107,0,0
ncih2170_antibiotics_ps_102_b,NCI-H2170,252,252,0,0
ncih2170_antibiotics_ps_103,NCI-H2170,188,187,1,1
ncih2170_antibiotics_ps_104,NCI-H2170,158,158,0,0
ncih2170_antibiotics_ps_105,NCI-H2170,238,237,1,1
ncih2170_antibiotics_ps_106,NCI-H2170,123,122,1,1
ncih2170_antibiotics_ps_107_a,NCI-H2170,248,246,2,2
ncih2170_antibiotics_ps_107_b,NCI-H2170,213,205,8,8
