model,split,policy,d_max,iou_min,tp,fp,fn,ignored,precision,recall,f1
Classic (after opt),test,or,5.0,0.3,19927,10468,13701,196,0.6556012502056259,0.5925716664684192,0.6224950408446964
Classic (after opt),test,or,5.0,0.4,19927,10468,13701,196,0.6556012502056259,0.5925716664684192,0.6224950408446964
Classic (after opt),test,or,5.0,0.5,19927,10468,13701,196,0.6556012502056259,0.5925716664684192,0.6224950408446964
Classic (after opt),test,or,10.0,0.0,23641,6067,9987,883,0.7957789147704322,0.7030153443558939,0.7465264620437034
Classic (after opt),test,or,10.0,0.05,23338,6388,10290,865,0.7851039494045616,0.6940049958368026,0.7367490608327809
Classic (after opt),test,or,10.0,0.1,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,or,10.0,0.2,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,or,10.0,0.3,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,or,10.0,0.4,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,or,10.0,0.5,23336,6390,10292,865,0.7850366682365606,0.6939455215891519,0.7366859235407394
Classic (after opt),test,or,15.0,0.0,23989,5425,9639,1177,0.8155640171346977,0.7133638634471274,0.7610481900954918
Classic (after opt),test,or,15.0,0.05,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,or,15.0,0.1,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,or,15.0,0.2,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,or,15.0,0.3,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,or,15.0,0.4,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,or,15.0,0.5,23822,5606,9806,1163,0.80950115536224,0.7083977637682883,0.7555823395077391
Classic (after opt),test,or,20.0,0.0,24406,4715,9222,1470,0.838089351327221,0.7257642440823123,0.7778928747868492
Classic (after opt),test,or,20.0,0.05,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,or,20.0,0.1,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,or,20.0,0.2,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,or,20.0,0.3,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,or,20.0,0.4,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,or,20.0,0.5,24312,4819,9316,1460,0.8345748515327315,0.7229689544427264,0.7747733392820153
Classic (after opt),test,or,25.0,0.0,24848,4030,8780,1713,0.8604473994043909,0.7389080528131319,0.79505967427127
Classic (after opt),test,or,25.0,0.05,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,or,25.0,0.1,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,or,25.0,0.2,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,or,25.0,0.3,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,or,25.0,0.4,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,or,25.0,0.5,24815,4067,8813,1709,0.8591856519631604,0.7379267277268943,0.793952967525196
Classic (after opt),test,or,30.0,0.0,25246,3394,8382,1951,0.8814944134078212,0.7507434280956345,0.8108819939615854
Classic (after opt),test,or,30.0,0.05,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,or,30.0,0.1,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,or,30.0,0.2,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,or,30.0,0.3,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,or,30.0,0.4,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,or,30.0,0.5,25233,3411,8395,1947,0.880917469627147,0.7503568454859046,0.8104123843782117
Classic (after opt),test,or,40.0,0.0,26021,2333,7607,2237,0.9177188403752558,0.7737896990603069,0.8396308605724242
Classic (after opt),test,or,40.0,0.05,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,or,40.0,0.1,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,or,40.0,0.2,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,or,40.0,0.3,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,or,40.0,0.4,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,or,40.0,0.5,26020,2334,7608,2237,0.917683571982789,0.7737599619364816,0.8395985931399439
Classic (after opt),test,or,50.0,0.0,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,or,50.0,0.05,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,or,50.0,0.1,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,or,50.0,0.2,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,or,50.0,0.3,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,or,50.0,0.4,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,or,50.0,0.5,26611,1663,7017,2317,0.9411827120322558,0.7913346021172832,0.859778359342186
Classic (after opt),test,or,75.0,0.0,27549,859,6079,2183,0.9697620388622923,0.819228024265493,0.8881617125540009
Classic (after opt),test,or,75.0,0.05,27549,859,6079,2183,0.9697620388622923,0.819228024265493,0.8881617125540009
Classic (after opt),test,or,75.0,0.1,27549,859,6079,2183,0.9697620388622923,0.819228024265493,0.8881617125540009
Classic (after opt),test,or,75.0,0.2,27549,859,6079,2183,0.9697620388622923,0.819228024265493,0.8881617125540009
Classic (after opt),test,or,75.0,0.3,27549,859,6079,2183,0.9697620388622923,0.819228024265493,0.8881617125540009
Classic (after opt),test,or,75.0,0.4,27549,859,6079,2183,0.9697620388622923,0.819228024265493,0.8881617125540009
Classic (after opt),test,or,75.0,0.5,27549,859,6079,2183,0.9697620388622923,0.819228024265493,0.8881617125540009
Classic (after opt),test,or,100.0,0.0,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703105
Classic (after opt),test,or,100.0,0.05,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703105
Classic (after opt),test,or,100.0,0.1,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703105
Classic (after opt),test,or,100.0,0.2,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703105
Classic (after opt),test,or,100.0,0.3,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703105
Classic (after opt),test,or,100.0,0.4,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703105
Classic (after opt),test,or,100.0,0.5,27990,495,5638,2106,0.9826224328593997,0.8323420958724872,0.9012606056703105
Classic (before opt),test,and,5.0,0.0,6261,2075,27367,1,0.7510796545105566,0.18618413227072678,0.2983986273949099
Classic (before opt),test,and,5.0,0.05,5623,2714,28005,0,0.6744632361760825,0.16721184727013202,0.2679852257833909
Classic (before opt),test,and,5.0,0.1,4280,4057,29348,0,0.5133741153892287,0.12727488997264186,0.20397950673180032
Classic (before opt),test,and,5.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,5.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,5.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,5.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,10.0,0.0,7027,1309,26601,1,0.8429702495201535,0.20896276912097062,0.3349061099990468
Classic (before opt),test,and,10.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,10.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,10.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,10.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,10.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,10.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,15.0,0.0,7099,1237,26529,1,0.8516074856046065,0.21110384203639823,0.33833762272423984
Classic (before opt),test,and,15.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,15.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,15.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,15.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,15.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,15.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,20.0,0.0,7115,1221,26513,1,0.8535268714011516,0.21157963601760438,0.339100181107616
Classic (before opt),test,and,20.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,20.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,20.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,20.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,20.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,20.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,25.0,0.0,7119,1217,26509,1,0.8540067178502879,0.2116985845129059,0.3392908207034601
Classic (before opt),test,and,25.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,25.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,25.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,25.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,25.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,25.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,30.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,and,30.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,30.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,30.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,30.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,30.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,30.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,40.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,and,40.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,40.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,40.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,40.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,40.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,40.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,50.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,and,50.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,50.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,50.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,50.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,50.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,50.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,75.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,and,75.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,75.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,75.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,75.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,75.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,75.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,and,100.0,0.0,7120,1216,26508,1,0.8541266794625719,0.2117283216367313,0.3393384806024211
Classic (before opt),test,and,100.0,0.05,5836,2501,27792,0,0.7000119947223222,0.17354585464493874,0.27813654235672586
Classic (before opt),test,and,100.0,0.1,4295,4042,29333,0,0.5151733237375554,0.1277209468300226,0.2046943881806267
Classic (before opt),test,and,100.0,0.2,2213,6124,31415,0,0.2654432049898045,0.06580825502557393,0.10546884308352199
Classic (before opt),test,and,100.0,0.3,1182,7155,32446,0,0.14177761784814683,0.035149280361603426,0.056332658167520554
Classic (before opt),test,and,100.0,0.4,655,7682,32973,0,0.07856543121026749,0.019477816105626263,0.031216489932086262
Classic (before opt),test,and,100.0,0.5,375,7962,33253,0,0.04498020870816841,0.011151421434518853,0.017872036220660074
Classic (before opt),test,or,5.0,0.0,7207,1128,26421,2,0.8646670665866827,0.21431545140953967,0.3434930772347068
Classic (before opt),test,or,5.0,0.05,6560,1775,27068,2,0.7870425914817036,0.19507553229451646,0.3126563877701785
Classic (before opt),test,or,5.0,0.1,6363,1972,27265,2,0.7634073185362927,0.1892173189009159,0.3032671639301289
Classic (before opt),test,or,5.0,0.2,6348,1987,27280,2,0.7616076784643071,0.18877126204353514,0.30255224840931294
Classic (before opt),test,or,5.0,0.3,6348,1987,27280,2,0.7616076784643071,0.18877126204353514,0.30255224840931294
Classic (before opt),test,or,5.0,0.4,6348,1987,27280,2,0.7616076784643071,0.18877126204353514,0.30255224840931294
Classic (before opt),test,or,5.0,0.5,6348,1987,27280,2,0.7616076784643071,0.18877126204353514,0.30255224840931294
Classic (before opt),test,or,10.0,0.0,7450,853,26178,34,0.8972660484162351,0.22154157249910789,0.3553456869619136
Classic (before opt),test,or,10.0,0.05,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,or,10.0,0.1,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,or,10.0,0.2,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,or,10.0,0.3,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,or,10.0,0.4,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,or,10.0,0.5,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,or,15.0,0.0,7484,794,26144,59,0.9040831118627688,0.22255263470917092,0.3571803560349353
Classic (before opt),test,or,15.0,0.05,7463,815,26165,59,0.901546267214303,0.22192815510883787,0.356178112919391
Classic (before opt),test,or,15.0,0.1,7463,815,26165,59,0.901546267214303,0.22192815510883787,0.356178112919391
Classic (before opt),test,or,15.0,0.2,7463,815,26165,59,0.901546267214303,0.22192815510883787,0.356178112919391
Classic (before opt),test,or,15.0,0.3,7463,815,26165,59,0.901546267214303,0.22192815510883787,0.356178112919391
Classic (before opt),test,or,15.0,0.4,7463,815,26165,59,0.901546267214303,0.22192815510883787,0.356178112919391
Classic (before opt),test,or,15.0,0.5,7463,815,26165,59,0.901546267214303,0.22192815510883787,0.356178112919391
Classic (before opt),test,or,20.0,0.0,7534,729,26094,74,0.911775384243011,0.22403949090044012,0.35969539996657995
Classic (before opt),test,or,20.0,0.05,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,or,20.0,0.1,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,or,20.0,0.2,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,or,20.0,0.3,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,or,20.0,0.4,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,or,20.0,0.5,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,or,25.0,0.0,7605,648,26023,84,0.9214830970556162,0.22615082669204234,0.36317184403428765
Classic (before opt),test,or,25.0,0.05,7604,649,26024,84,0.9213619289955168,0.22612108956821697,0.36312408968267235
Classic (before opt),test,or,25.0,0.1,7604,649,26024,84,0.9213619289955168,0.22612108956821697,0.36312408968267235
