unique_id,cell_line,gt_mask_relpath,coord_file_relpath,ecDNA_gt,coord_count_npy,count_delta,count_source
colo320dm_qpcr_jq1_24h_ctrl_14,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_14.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_14.npy,24,24,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_15,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_15.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_15.npy,13,13,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_16,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_16.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_16.npy,65,65,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_17,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_17.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_17.npy,13,13,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_18,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_18.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_18.npy,51,51,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_19,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_19.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_19.npy,31,31,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_2,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_2.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_2.npy,24,24,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_21,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_21.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_21.npy,40,40,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_22,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_22.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_22.npy,65,65,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_23,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_23.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_23.npy,57,57,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_24,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_24.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_24.npy,137,137,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_25,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_25.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_25.npy,53,53,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_26,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_26.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_26.npy,22,22,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_27,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_27.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_27.npy,18,18,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_28,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_28.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_28.npy,35,35,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_29,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_29.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_29.npy,23,23,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_3,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_3.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_3.npy,144,144,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_30,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_30.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_30.npy,40,40,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_31,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_31.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_31.npy,143,146,3,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_32,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_32.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_32.npy,61,61,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_33,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_33.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_33.npy,24,24,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_34,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_34.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_34.npy,55,55,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_35,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_35.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_35.npy,57,57,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_36,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_36.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_36.npy,59,59,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_37,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_37.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_37.npy,12,12,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_38,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_38.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_38.npy,41,41,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_39,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_39.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_39.npy,41,41,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_4,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_4.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_4.npy,46,46,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_40,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_40.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_40.npy,75,75,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_41,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_41.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_41.npy,101,101,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_42,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_42.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_42.npy,83,83,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_43,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_43.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_43.npy,44,44,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_44,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_44.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_44.npy,71,71,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_45,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_45.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_45.npy,130,130,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_46,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_46.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_46.npy,64,64,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_47,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_47.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_47.npy,22,22,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_48,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_48.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_48.npy,32,32,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_49,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_49.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_49.npy,74,74,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_5,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_5.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_5.npy,20,20,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_50,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_50.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_50.npy,7,7,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_51,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_51.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_51.npy,93,93,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_52,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_52.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_52.npy,26,26,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_53_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_53_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_53_a.npy,31,31,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_53_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_53_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_53_b.npy,10,10,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_54_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_54_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_54_a.npy,78,78,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_54_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_54_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_54_b.npy,29,29,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_55,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_55.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_55.npy,34,34,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_56,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_56.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_56.npy,3,3,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_57_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_57_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_57_a.npy,30,30,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_57_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_57_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_57_b.npy,3,3,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_58,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_58.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_58.npy,15,15,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_59,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_59.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_59.npy,35,35,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_6,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_6.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_6.npy,106,106,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_60,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_60.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_60.npy,79,79,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_62,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_62.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_62.npy,213,213,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_63,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_63.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_63.npy,94,94,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_64,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_64.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_64.npy,48,48,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_65,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_65.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_65.npy,30,30,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_66_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_66_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_66_a.npy,61,61,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_66_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_66_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_66_b.npy,6,6,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_67,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_67.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_67.npy,91,91,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_68,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_68.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_68.npy,9,9,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_69,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_69.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_69.npy,54,54,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_7,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_7.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_7.npy,27,27,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_70,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_70.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_70.npy,3,3,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_71,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_71.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_71.npy,5,5,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_72,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_72.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_72.npy,37,37,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_73,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_73.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_73.npy,19,19,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_74,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_74.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_74.npy,83,83,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_75,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_75.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_75.npy,47,47,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_76,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_76.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_76.npy,20,20,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_77,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_77.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_77.npy,57,57,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_78_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_78_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_78_a.npy,26,26,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_78_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_78_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_78_b.npy,52,53,1,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_79,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_79.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_79.npy,10,10,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_8,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_8.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_8.npy,36,36,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_80,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_80.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_80.npy,5,6,1,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_81,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_81.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_81.npy,59,59,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_82,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_82.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_82.npy,30,30,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_83,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_83.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_83.npy,17,17,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_84,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_84.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_84.npy,54,54,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_85,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_85.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_85.npy,7,7,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_86,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_86.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_86.npy,6,6,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_87_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_87_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_87_a.npy,31,31,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_87_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_87_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_87_b.npy,45,45,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_88,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_88.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_88.npy,53,53,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_89,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_89.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_89.npy,15,15,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_9,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_9.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_9.npy,23,23,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_90,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_90.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_90.npy,89,89,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_91,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_91.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_91.npy,5,5,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_92,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_92.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_92.npy,55,55,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_93,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_93.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_93.npy,24,24,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_94_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_94_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_94_a.npy,46,46,0,gt_mask_cc_conn8_min3
