unique_id,cell_line,split,ecDNA_gt,coord_count_npy,count_source
colo320dm_qpcr_jq1_24h_ctrl_41,COLO320DM,train,101,101,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_43,COLO320DM,train,44,44,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_49,COLO320DM,train,74,74,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_50,COLO320DM,train,7,7,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_55,COLO320DM,train,34,34,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_58,COLO320DM,train,15,15,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_65,COLO320DM,train,30,30,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_66_a,COLO320DM,train,61,61,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_72,COLO320DM,train,37,37,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_75,COLO320DM,train,47,47,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_78_a,COLO320DM,train,26,26,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_78_b,COLO320DM,train,52,53,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_79,COLO320DM,train,10,10,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_8,COLO320DM,train,36,36,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_81,COLO320DM,train,59,59,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_82,COLO320DM,train,30,30,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_87_b,COLO320DM,train,45,45,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_88,COLO320DM,train,53,53,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_89,COLO320DM,train,15,15,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_9,COLO320DM,train,23,23,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_90,COLO320DM,train,89,89,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_92,COLO320DM,train,55,55,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_95,COLO320DM,train,32,32,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_97,COLO320DM,train,87,87,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_dmso_104,COLO320DM,train,4,4,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_dmso_49,COLO320DM,train,1,1,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_dmso_6,COLO320DM,train,4,4,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_1,NCI-H2170,train,235,235,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_102,NCI-H2170,train,402,407,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_106,NCI-H2170,train,101,102,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_111,NCI-H2170,train,108,108,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_114,NCI-H2170,train,154,154,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_116,NCI-H2170,train,282,297,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_117,NCI-H2170,train,307,310,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_118,NCI-H2170,train,453,453,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_12,NCI-H2170,train,122,122,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_13,NCI-H2170,train,86,86,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_14,NCI-H2170,train,329,329,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_15,NCI-H2170,train,210,211,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_16,NCI-H2170,train,91,91,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_17,NCI-H2170,train,604,609,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_19,NCI-H2170,train,92,92,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_2,NCI-H2170,train,373,373,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_20,NCI-H2170,train,128,129,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_21,NCI-H2170,train,224,224,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_22,NCI-H2170,train,375,377,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_24,NCI-H2170,train,153,153,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_25,NCI-H2170,train,42,42,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_27,NCI-H2170,train,318,318,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_28,NCI-H2170,train,256,265,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_29,NCI-H2170,train,104,105,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_30,NCI-H2170,train,339,339,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_31,NCI-H2170,train,88,88,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_32,NCI-H2170,train,138,138,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_33,NCI-H2170,train,207,208,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_38,NCI-H2170,train,402,402,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_39,NCI-H2170,train,391,407,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_41,NCI-H2170,train,76,76,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_42,NCI-H2170,train,153,154,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_44,NCI-H2170,train,181,181,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_48,NCI-H2170,train,71,71,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_5,NCI-H2170,train,597,604,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_50,NCI-H2170,train,197,197,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_55,NCI-H2170,train,254,256,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_56,NCI-H2170,train,240,241,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_57,NCI-H2170,train,214,214,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_58,NCI-H2170,train,181,182,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_59,NCI-H2170,train,207,208,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_60,NCI-H2170,train,314,314,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_61,NCI-H2170,train,259,260,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_62,NCI-H2170,train,299,299,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_64,NCI-H2170,train,124,124,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_65,NCI-H2170,train,139,139,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_66,NCI-H2170,train,329,334,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_67,NCI-H2170,train,250,253,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_69,NCI-H2170,train,335,349,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_7,NCI-H2170,train,328,329,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_74,NCI-H2170,train,375,377,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_75,NCI-H2170,train,133,134,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_76,NCI-H2170,train,456,456,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_77,NCI-H2170,train,261,261,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_79,NCI-H2170,train,337,338,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_80,NCI-H2170,train,146,146,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_81,NCI-H2170,train,93,93,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_82,NCI-H2170,train,99,99,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_86,NCI-H2170,train,287,287,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_87,NCI-H2170,train,90,90,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_9,NCI-H2170,train,769,777,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_96,NCI-H2170,train,106,106,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_97,NCI-H2170,train,146,151,gt_mask_cc_conn8_min3
ncih2170_antibiotics_blank_ctrl_98,NCI-H2170,train,219,226,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_10,NCI-H2170,train,160,165,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_106,NCI-H2170,train,122,123,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_107_b,NCI-H2170,train,205,213,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_111,NCI-H2170,train,186,186,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_113_b,NCI-H2170,train,142,142,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_13,NCI-H2170,train,398,398,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_14,NCI-H2170,train,65,66,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_16,NCI-H2170,train,236,237,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_17,NCI-H2170,train,197,200,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_18,NCI-H2170,train,132,133,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_19,NCI-H2170,train,201,201,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_20,NCI-H2170,train,69,69,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_21,NCI-H2170,train,70,70,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_22,NCI-H2170,train,95,95,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_23,NCI-H2170,train,115,115,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_24,NCI-H2170,train,133,133,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_28,NCI-H2170,train,121,121,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_29_a,NCI-H2170,train,93,93,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_30,NCI-H2170,train,95,95,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_31,NCI-H2170,train,305,305,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_33,NCI-H2170,train,141,141,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_34_b,NCI-H2170,train,76,98,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_35,NCI-H2170,train,96,96,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_37,NCI-H2170,train,81,81,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_38,NCI-H2170,train,354,362,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_39,NCI-H2170,train,131,132,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_40,NCI-H2170,train,75,75,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_41,NCI-H2170,train,150,150,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_42,NCI-H2170,train,96,96,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_43,NCI-H2170,train,63,68,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_44,NCI-H2170,train,829,845,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_45,NCI-H2170,train,90,92,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_46,NCI-H2170,train,211,211,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_47,NCI-H2170,train,220,221,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_48,NCI-H2170,train,76,76,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_49,NCI-H2170,train,109,111,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_5,NCI-H2170,train,235,239,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_50,NCI-H2170,train,147,148,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_54,NCI-H2170,train,125,125,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_56_b,NCI-H2170,train,434,454,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_57,NCI-H2170,train,70,70,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_58,NCI-H2170,train,212,212,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_61,NCI-H2170,train,246,246,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_62,NCI-H2170,train,458,458,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_63,NCI-H2170,train,862,868,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_65,NCI-H2170,train,131,131,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_67,NCI-H2170,train,153,154,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_69,NCI-H2170,train,190,192,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_7,NCI-H2170,train,191,191,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_73,NCI-H2170,train,370,370,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_75,NCI-H2170,train,88,88,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_76,NCI-H2170,train,209,209,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_77,NCI-H2170,train,264,287,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_79,NCI-H2170,train,505,543,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_8,NCI-H2170,train,69,69,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_80,NCI-H2170,train,286,287,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_81,NCI-H2170,train,462,467,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_82,NCI-H2170,train,125,125,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_83,NCI-H2170,train,126,126,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_85,NCI-H2170,train,181,181,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_86,NCI-H2170,train,119,119,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_87,NCI-H2170,train,150,152,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_88,NCI-H2170,train,425,431,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_89,NCI-H2170,train,117,117,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_9,NCI-H2170,train,243,251,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_94,NCI-H2170,train,147,148,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_95,NCI-H2170,train,350,353,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_97,NCI-H2170,train,136,136,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_98_a,NCI-H2170,train,98,98,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_98_b,NCI-H2170,train,229,302,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_100,NCI-H2170,train,274,274,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_101,NCI-H2170,train,93,93,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_103,NCI-H2170,train,801,804,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_106,NCI-H2170,train,246,246,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_108,NCI-H2170,train,83,83,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_110,NCI-H2170,train,66,66,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_111,NCI-H2170,train,152,152,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_112,NCI-H2170,train,184,184,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_116,NCI-H2170,train,107,108,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_37,NCI-H2170,train,283,283,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_40,NCI-H2170,train,98,98,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_43,NCI-H2170,train,491,496,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_46,NCI-H2170,train,148,149,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_47,NCI-H2170,train,506,513,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_48,NCI-H2170,train,362,363,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_49,NCI-H2170,train,446,449,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_50,NCI-H2170,train,285,285,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_55,NCI-H2170,train,375,375,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_60,NCI-H2170,train,76,76,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_61,NCI-H2170,train,181,181,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_62,NCI-H2170,train,244,244,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_66,NCI-H2170,train,79,79,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_71,NCI-H2170,train,157,157,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_74,NCI-H2170,train,213,213,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_77,NCI-H2170,train,112,112,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_81,NCI-H2170,train,150,150,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_85,NCI-H2170,train,289,289,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_88_a,NCI-H2170,train,115,117,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_88_b,NCI-H2170,train,121,123,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_90,NCI-H2170,train,127,127,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_91,NCI-H2170,train,560,570,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_92,NCI-H2170,train,145,145,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_94,NCI-H2170,train,235,235,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_95,NCI-H2170,train,180,180,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_97,NCI-H2170,train,252,252,gt_mask_cc_conn8_min3
ncih2170_antibiotics_ps_g_98,NCI-H2170,train,167,167,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_19,NCI-H2170,train,210,211,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_28,NCI-H2170,train,191,200,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_32,NCI-H2170,train,99,118,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_34,NCI-H2170,train,88,92,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_35,NCI-H2170,train,168,173,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_36,NCI-H2170,train,86,86,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_38,NCI-H2170,train,156,161,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_39,NCI-H2170,train,189,197,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_50,NCI-H2170,train,149,176,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_55,NCI-H2170,train,56,56,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_56,NCI-H2170,train,132,132,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_57,NCI-H2170,train,75,77,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_61,NCI-H2170,train,47,47,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_64,NCI-H2170,train,47,47,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_7,NCI-H2170,train,196,196,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_71,NCI-H2170,train,133,133,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_74,NCI-H2170,train,43,43,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_8,NCI-H2170,train,132,136,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_80,NCI-H2170,train,76,76,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_82,NCI-H2170,train,105,105,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_83,NCI-H2170,train,35,35,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_89,NCI-H2170,train,238,238,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_92,NCI-H2170,train,176,176,gt_mask_cc_conn8_min3
ncih2170_cart_72h_blank_ctrl_98,NCI-H2170,train,257,258,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_1,NCI-H2170,train,75,75,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_100,NCI-H2170,train,664,671,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_16,NCI-H2170,train,16,16,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_17,NCI-H2170,train,44,44,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_20,NCI-H2170,train,53,53,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_22,NCI-H2170,train,15,15,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_27,NCI-H2170,train,71,71,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_31,NCI-H2170,train,119,119,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_32,NCI-H2170,train,74,75,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_33,NCI-H2170,train,117,117,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_4,NCI-H2170,train,41,44,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_40,NCI-H2170,train,22,22,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_47,NCI-H2170,train,81,81,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_49,NCI-H2170,train,18,18,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_5,NCI-H2170,train,27,27,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_57,NCI-H2170,train,99,99,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_60,NCI-H2170,train,30,30,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_64,NCI-H2170,train,78,78,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_73,NCI-H2170,train,73,73,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_78,NCI-H2170,train,112,112,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_80,NCI-H2170,train,244,245,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_82,NCI-H2170,train,69,69,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_83,NCI-H2170,train,102,102,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_88,NCI-H2170,train,111,112,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_89,NCI-H2170,train,497,511,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_90,NCI-H2170,train,175,187,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_91,NCI-H2170,train,382,390,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_93,NCI-H2170,train,184,188,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_95,NCI-H2170,train,318,325,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_96,NCI-H2170,train,105,105,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_97,NCI-H2170,train,181,183,gt_mask_cc_conn8_min3
ncih2170_cart_72h_cart_99,NCI-H2170,train,179,184,gt_mask_cc_conn8_min3
ncih2170_cart_72h_nt_ctrl_10,NCI-H2170,train,76,76,gt_mask_cc_conn8_min3
ncih2170_cart_72h_nt_ctrl_100,NCI-H2170,train,143,143,gt_mask_cc_conn8_min3
ncih2170_cart_72h_nt_ctrl_12,NCI-H2170,train,209,209,gt_mask_cc_conn8_min3
ncih2170_cart_72h_nt_ctrl_13,NCI-H2170,train,78,78,gt_mask_cc_conn8_min3
ncih2170_cart_72h_nt_ctrl_16,NCI-H2170,train,74,74,gt_mask_cc_conn8_min3
ncih2170_cart_72h_nt_ctrl_21,NCI-H2170,train,186,186,gt_mask_cc_conn8_min3
ncih2170_cart_72h_nt_ctrl_24,NCI-H2170,train,35,35,gt_mask_cc_conn8_min3
