unique_id,cell_line,gt_mask_relpath,coord_file_relpath
colo320dm_qpcr_jq1_24h_ctrl_111,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_111.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_111.npy
colo320dm_qpcr_jq1_24h_ctrl_112,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_112.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_112.npy
colo320dm_qpcr_jq1_24h_ctrl_113,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_113.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_113.npy
colo320dm_qpcr_jq1_24h_ctrl_114,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_114.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_114.npy
colo320dm_qpcr_jq1_24h_ctrl_115,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_115.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_115.npy
colo320dm_qpcr_jq1_24h_ctrl_12,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_12.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_12.npy
colo320dm_qpcr_jq1_24h_ctrl_13,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_13.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_13.npy
colo320dm_qpcr_jq1_24h_ctrl_14,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_14.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_14.npy
colo320dm_qpcr_jq1_24h_ctrl_15,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_15.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_15.npy
colo320dm_qpcr_jq1_24h_ctrl_16,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_16.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_16.npy
colo320dm_qpcr_jq1_24h_ctrl_17,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_17.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_17.npy
colo320dm_qpcr_jq1_24h_ctrl_18,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_18.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_18.npy
colo320dm_qpcr_jq1_24h_ctrl_19,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_19.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_19.npy
colo320dm_qpcr_jq1_24h_ctrl_2,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_2.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_2.npy
colo320dm_qpcr_jq1_24h_ctrl_21,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_21.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_21.npy
colo320dm_qpcr_jq1_24h_ctrl_22,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_22.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_22.npy
colo320dm_qpcr_jq1_24h_ctrl_23,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_23.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_23.npy
colo320dm_qpcr_jq1_24h_ctrl_24,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_24.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_24.npy
colo320dm_qpcr_jq1_24h_ctrl_25,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_25.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_25.npy
colo320dm_qpcr_jq1_24h_ctrl_26,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_26.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_26.npy
colo320dm_qpcr_jq1_24h_ctrl_27,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_27.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_27.npy
colo320dm_qpcr_jq1_24h_ctrl_28,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_28.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_28.npy
colo320dm_qpcr_jq1_24h_ctrl_29,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_29.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_29.npy
colo320dm_qpcr_jq1_24h_ctrl_3,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_3.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_3.npy
colo320dm_qpcr_jq1_24h_ctrl_30,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_30.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_30.npy
colo320dm_qpcr_jq1_24h_ctrl_31,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_31.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_31.npy
colo320dm_qpcr_jq1_24h_ctrl_32,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_32.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_32.npy
colo320dm_qpcr_jq1_24h_ctrl_33,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_33.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_33.npy
colo320dm_qpcr_jq1_24h_ctrl_34,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_34.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_34.npy
colo320dm_qpcr_jq1_24h_ctrl_35,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_35.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_35.npy
colo320dm_qpcr_jq1_24h_ctrl_36,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_36.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_36.npy
colo320dm_qpcr_jq1_24h_ctrl_37,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_37.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_37.npy
colo320dm_qpcr_jq1_24h_ctrl_38,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_38.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_38.npy
colo320dm_qpcr_jq1_24h_ctrl_39,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_39.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_39.npy
colo320dm_qpcr_jq1_24h_ctrl_4,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_4.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_4.npy
colo320dm_qpcr_jq1_24h_ctrl_40,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_40.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_40.npy
colo320dm_qpcr_jq1_24h_ctrl_41,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_41.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_41.npy
colo320dm_qpcr_jq1_24h_ctrl_42,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_42.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_42.npy
colo320dm_qpcr_jq1_24h_ctrl_43,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_43.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_43.npy
colo320dm_qpcr_jq1_24h_ctrl_44,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_44.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_44.npy
colo320dm_qpcr_jq1_24h_ctrl_45,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_45.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_45.npy
colo320dm_qpcr_jq1_24h_ctrl_46,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_46.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_46.npy
colo320dm_qpcr_jq1_24h_ctrl_47,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_47.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_47.npy
colo320dm_qpcr_jq1_24h_ctrl_48,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_48.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_48.npy
colo320dm_qpcr_jq1_24h_ctrl_49,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_49.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_49.npy
colo320dm_qpcr_jq1_24h_ctrl_5,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_5.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_5.npy
colo320dm_qpcr_jq1_24h_ctrl_50,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_50.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_50.npy
colo320dm_qpcr_jq1_24h_ctrl_51,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_51.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_51.npy
colo320dm_qpcr_jq1_24h_ctrl_52,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_52.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_52.npy
colo320dm_qpcr_jq1_24h_ctrl_53_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_53_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_53_a.npy
colo320dm_qpcr_jq1_24h_ctrl_53_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_53_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_53_b.npy
colo320dm_qpcr_jq1_24h_ctrl_54_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_54_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_54_a.npy
colo320dm_qpcr_jq1_24h_ctrl_54_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_54_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_54_b.npy
colo320dm_qpcr_jq1_24h_ctrl_55,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_55.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_55.npy
colo320dm_qpcr_jq1_24h_ctrl_56,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_56.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_56.npy
colo320dm_qpcr_jq1_24h_ctrl_57_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_57_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_57_a.npy
colo320dm_qpcr_jq1_24h_ctrl_57_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_57_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_57_b.npy
colo320dm_qpcr_jq1_24h_ctrl_58,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_58.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_58.npy
colo320dm_qpcr_jq1_24h_ctrl_59,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_59.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_59.npy
colo320dm_qpcr_jq1_24h_ctrl_6,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_6.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_6.npy
colo320dm_qpcr_jq1_24h_ctrl_60,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_60.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_60.npy
colo320dm_qpcr_jq1_24h_ctrl_62,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_62.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_62.npy
colo320dm_qpcr_jq1_24h_ctrl_63,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_63.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_63.npy
colo320dm_qpcr_jq1_24h_ctrl_64,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_64.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_64.npy
colo320dm_qpcr_jq1_24h_ctrl_65,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_65.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_65.npy
colo320dm_qpcr_jq1_24h_ctrl_66_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_66_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_66_a.npy
colo320dm_qpcr_jq1_24h_ctrl_66_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_66_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_66_b.npy
colo320dm_qpcr_jq1_24h_ctrl_67,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_67.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_67.npy
colo320dm_qpcr_jq1_24h_ctrl_68,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_68.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_68.npy
colo320dm_qpcr_jq1_24h_ctrl_69,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_69.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_69.npy
colo320dm_qpcr_jq1_24h_ctrl_7,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_7.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_7.npy
colo320dm_qpcr_jq1_24h_ctrl_70,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_70.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_70.npy
colo320dm_qpcr_jq1_24h_ctrl_71,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_71.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_71.npy
colo320dm_qpcr_jq1_24h_ctrl_72,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_72.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_72.npy
colo320dm_qpcr_jq1_24h_ctrl_73,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_73.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_73.npy
colo320dm_qpcr_jq1_24h_ctrl_74,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_74.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_74.npy
colo320dm_qpcr_jq1_24h_ctrl_75,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_75.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_75.npy
colo320dm_qpcr_jq1_24h_ctrl_76,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_76.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_76.npy
colo320dm_qpcr_jq1_24h_ctrl_77,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_77.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_77.npy
colo320dm_qpcr_jq1_24h_ctrl_78_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_78_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_78_a.npy
colo320dm_qpcr_jq1_24h_ctrl_78_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_78_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_78_b.npy
colo320dm_qpcr_jq1_24h_ctrl_79,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_79.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_79.npy
colo320dm_qpcr_jq1_24h_ctrl_8,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_8.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_8.npy
colo320dm_qpcr_jq1_24h_ctrl_80,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_80.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_80.npy
colo320dm_qpcr_jq1_24h_ctrl_81,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_81.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_81.npy
colo320dm_qpcr_jq1_24h_ctrl_82,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_82.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_82.npy
colo320dm_qpcr_jq1_24h_ctrl_83,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_83.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_83.npy
colo320dm_qpcr_jq1_24h_ctrl_84,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_84.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_84.npy
colo320dm_qpcr_jq1_24h_ctrl_85,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_85.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_85.npy
colo320dm_qpcr_jq1_24h_ctrl_86,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_86.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_86.npy
colo320dm_qpcr_jq1_24h_ctrl_87_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_87_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_87_a.npy
colo320dm_qpcr_jq1_24h_ctrl_87_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_87_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_87_b.npy
colo320dm_qpcr_jq1_24h_ctrl_88,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_88.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_88.npy
colo320dm_qpcr_jq1_24h_ctrl_89,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_89.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_89.npy
colo320dm_qpcr_jq1_24h_ctrl_9,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_9.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_9.npy
colo320dm_qpcr_jq1_24h_ctrl_90,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_90.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_90.npy
colo320dm_qpcr_jq1_24h_ctrl_91,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_91.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_91.npy
colo320dm_qpcr_jq1_24h_ctrl_92,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_92.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_92.npy
colo320dm_qpcr_jq1_24h_ctrl_93,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_93.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_93.npy
colo320dm_qpcr_jq1_24h_ctrl_94_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_94_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_94_a.npy
colo320dm_qpcr_jq1_24h_ctrl_94_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_94_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_94_b.npy
colo320dm_qpcr_jq1_24h_ctrl_95,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_95.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_95.npy
colo320dm_qpcr_jq1_24h_ctrl_96,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_96.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_96.npy
colo320dm_qpcr_jq1_24h_ctrl_97,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_97.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_97.npy
colo320dm_qpcr_jq1_24h_ctrl_98,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_98.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_98.npy
colo320dm_qpcr_jq1_24h_ctrl_99,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_99.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_99.npy
colo320dm_qpcr_jq1_24h_dmso_1,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_1.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_1.npy
colo320dm_qpcr_jq1_24h_dmso_10,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_10.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_10.npy
colo320dm_qpcr_jq1_24h_dmso_101_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_101_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_101_a.npy
colo320dm_qpcr_jq1_24h_dmso_101_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_101_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_101_b.npy
colo320dm_qpcr_jq1_24h_dmso_102,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_102.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_102.npy
colo320dm_qpcr_jq1_24h_dmso_103,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_103.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_103.npy
colo320dm_qpcr_jq1_24h_dmso_104,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_104.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_104.npy
colo320dm_qpcr_jq1_24h_dmso_105,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_105.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_105.npy
colo320dm_qpcr_jq1_24h_dmso_106,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_106.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_106.npy
colo320dm_qpcr_jq1_24h_dmso_107,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_107.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_107.npy
colo320dm_qpcr_jq1_24h_dmso_108,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_108.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_108.npy
colo320dm_qpcr_jq1_24h_dmso_109,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_109.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_109.npy
colo320dm_qpcr_jq1_24h_dmso_11,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_11.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_11.npy
colo320dm_qpcr_jq1_24h_dmso_110_a,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_110_a.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_110_a.npy
colo320dm_qpcr_jq1_24h_dmso_110_b,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_110_b.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_110_b.npy
colo320dm_qpcr_jq1_24h_dmso_111,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_111.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_111.npy
colo320dm_qpcr_jq1_24h_dmso_112,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_112.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_112.npy
colo320dm_qpcr_jq1_24h_dmso_113,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_113.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_113.npy
colo320dm_qpcr_jq1_24h_dmso_114,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_114.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_114.npy
colo320dm_qpcr_jq1_24h_dmso_115,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_dmso_115.tif,gt_coords/colo320dm_qpcr_jq1_24h_dmso_115.npy
